"X","Y","gene"
235.1131,-2054.816,"accB-accC"
235.39384,-2050.9575,"accB-accC"
203.7421,-2057.9001,"accB-accC"
207.80241,-2063.1401,"accB-accC"
210.80003,-2061.2336,"accB-accC"
204.08298,-2059.8804,"accB-accC"
244.66069,-2054.0908,"pdhR-aceE-aceF-lpd"
215.36015,-2055.001,"pdhR-aceE-aceF-lpd"
189.84116,-2065.5332,"pdhR-aceE-aceF-lpd"
200.97229,-2063.6804,"pdhR-aceE-aceF-lpd"
246.38405,-2054.505,"ackA-pta"
247.39911,-2059.139,"ackA-pta"
191.49188,-2067.3484,"ackA-pta"
224.62173,-2058.9758,"ackA-pta"
263.3345,-2056.0095,"ackA-pta"
237.17873,-2055.227,"adeD"
200.58414,-2060.833,"arcB"
190.33255,-2071.379,"arcB"
197.86833,-2064.1243,"argS"
254.47742,-2048.6384,"aroL-yaiA-aroM"
173.55424,-2071.574,"arsR-arsB-arsC"
233.81592,-2055.3875,"asnS"
201.53894,-2059.4849,"asnS"
190.78995,-2067.1558,"aspS"
248.8948,-2054.7908,"aspS"
203.01894,-2065.461,"aspS"
207.48633,-2057.443,"atpI-atpB-atpE-atpF-atpH-atpA-atpG-atpD-atpC"
195.22092,-2062.9402,"betI-betB-betA"
242.0458,-2054.0493,"betI-betB-betA"
177.35965,-2072.1611,"bglA"
199.87538,-2067.231,"bipA"
260.2921,-2051.7104,"btsT"
260.11932,-2048.0798,"cadB-cadA"
192.14566,-2062.2202,"tar-tap-cheR-cheB-cheY-cheZ"
242.20561,-2054.645,"tar-tap-cheR-cheB-cheY-cheZ"
208.06413,-2058.6401,"cydA-cydB"
247.89505,-2050.959,"cydA-cydB"
213.73807,-2053.996,"cydA-cydB"
186.0874,-2060.7078,"cyoA-cyoB-cyoC-cyoD-cyoE"
213.32297,-2064.4111,"cyoA-cyoB-cyoC-cyoD-cyoE"
196.68951,-2060.904,"cysS"
204.12695,-2061.523,"dacA"
251.7011,-2050.9038,"dacA"
209.02025,-2056.641,"dacB"
248.87234,-2056.6162,"folC-dedD"
175.46344,-2071.7156,"dnaK-dnaJ"
255.66524,-2048.0913,"dnaK-dnaJ"
205.59804,-2053.208,"dnaK-dnaJ"
188.69417,-2069.5583,"dnaK-dnaJ"
219.76863,-2059.9673,"dnaK-dnaJ"
251.46645,-2054.6392,"dusB-fis"
254.62077,-2057.6213,"dusB-fis"
204.42268,-2056.4211,"dxr-ispZ-ispU-cdsA"
232.10373,-2055.5176,"edd-eda"
265.15234,-2051.055,"pyrG-eno"
205.07585,-2059.0151,"pyrG-eno"
178.64856,-2070.5652,"pyrG-eno"
220.73349,-2055.3167,"pyrG-eno"
204.72763,-2055.862,"ettA"
212.20341,-2053.9646,"exbB-exbD"
213.39726,-2056.498,"epd-pgk-fbaA"
185.3819,-2070.038,"epd-pgk-fbaA"
207.73581,-2062.3396,"epd-pgk-fbaA"
259.0573,-2053.773,"fdoG-fdoH-fdoI-fdhE"
234.40338,-2055.1292,"fdoG-fdoH-fdoI-fdhE"
263.8817,-2056.2644,"fdoG-fdoH-fdoI-fdhE"
239.20148,-2059.0115,"ffh"
227.389,-2054.6404,"ffh"
245.47606,-2055.5168,"ffh"
193.10052,-2065.1724,"flgB-flgC-flgD-flgE-flgF-flgG-flgH-flgI-flgJ"
197.4856,-2059.4485,"flgB-flgC-flgD-flgE-flgF-flgG-flgH-flgI-flgJ"
198.9803,-2060.2915,"flgB-flgC-flgD-flgE-flgF-flgG-flgH-flgI-flgJ"
199.18568,-2056.7415,"flgK-flgL-flgO"
232.60356,-2053.355,"fliC-fliX"
225.68503,-2057.5864,"fliC-fliX"
180.80151,-2070.3787,"fliC-fliX"
191.75291,-2068.084,"fliC-fliX"
259.39532,-2056.399,"fliC-fliX"
265.84082,-2053.7427,"fliC-fliX"
203.38185,-2065.5647,"fliC-fliX"
179.66277,-2070.8213,"fliC-fliX"
176.52287,-2065.6162,"fliC-fliX"
226.73257,-2057.9812,"fliC-fliX"
191.50536,-2066.299,"fliC-fliX"
199.03558,-2064.4536,"fliC-fliX"
226.91042,-2057.6343,"fliD-fliS-fliT"
224.92488,-2056.4385,"fliD-fliS-fliT"
244.11438,-2053.3372,"pcnB-folK"
267.0221,-2051.2593,"rlmE-ftsH"
203.39322,-2054.4775,"rlmE-ftsH"
211.67844,-2059.239,"rlmE-ftsH"
231.65538,-2058.5544,"rlmE-ftsH"
247.18425,-2050.814,"ftsK"
262.21704,-2050.6997,"ftsY-ftsE-ftsX"
233.61328,-2049.522,"galE-galT-galK-galM"
245.7583,-2050.7698,"gapA-yeaD"
200.91885,-2057.8745,"glnS"
229.0256,-2059.2236,"glpT-glpQ"
259.56918,-2057.8645,"glpF-glpK-glpX"
224.93811,-2053.14,"gltA"
218.07094,-2055.6436,"gltX"
259.12396,-2049.4622,"gltX"
183.88786,-2067.6702,"gltX"
175.76945,-2067.192,"glyA"
228.74922,-2054.9814,"gpmM-envC-yibQ"
205.88208,-2057.1255,"gpp"
253.32791,-2056.9312,"yibN-grxC-secB-gpsA"
209.39154,-2055.4038,"groS-groL"
204.45413,-2061.0718,"guaB-guaA"
191.26208,-2062.256,"helD"
238.22672,-2060.799,"hisS"
182.25064,-2069.4277,"hisS"
179.63928,-2069.4106,"hslV-hslU"
264.82892,-2056.425,"icd"
201.2273,-2063.2627,"ilvI-ilvH"
225.14044,-2057.9495,"iscR-iscS-iscU-iscA"
191.51631,-2064.4443,"yrbG-kdsD-kdsC-lptC-lptA-lptB-rpoN-hpf-ptsN-rapZ-npr"
184.96951,-2069.3765,"kgtP"
181.66086,-2064.0034,"malE-malF-malG-malH"
204.30035,-2062.77,"malK-lamB-malM"
217.67563,-2060.5483,"metG"
208.52939,-2064.9333,"mlaF-mlaE-mlaD-mlaC-mlaB"
178.36478,-2072.5315,"mpl"
231.58551,-2056.8245,"mpl"
194.93947,-2068.5989,"mrcA"
250.24223,-2051.365,"mreB-mreC-mreD"
255.32632,-2052.5288,"leuS-lptE-holA-nadD-cobC"
251.46623,-2052.975,"ndh"
233.83417,-2053.5837,"nupC"
199.95775,-2066.313,"ompA"
226.66664,-2057.3647,"ompA"
250.79799,-2056.4355,"ompA"
202.4963,-2056.3071,"ompA"
200.29286,-2066.1238,"ompA"
222.63042,-2052.7566,"ompA"
214.02068,-2056.6313,"ompA"
243.64731,-2059.5366,"ompA"
231.25671,-2059.753,"ompA"
260.7699,-2054.396,"ompA"
194.35843,-2068.9653,"ompA"
208.95103,-2058.2854,"ompA"
233.18515,-2057.4187,"ompA"
184.27824,-2065.5325,"ompA"
250.94037,-2051.2693,"ompA"
260.09576,-2049.4033,"ompA"
192.07663,-2066.386,"ompA"
227.99342,-2053.0544,"ompA"
237.77711,-2056.0916,"ompA"
197.4249,-2059.9795,"ompA"
267.9964,-2052.8772,"ompC"
185.43102,-2071.5103,"ompC"
203.24228,-2053.6519,"ompC"
246.73453,-2058.6255,"ompC"
225.40263,-2052.4087,"ompC"
195.43053,-2063.6338,"ompF"
202.48341,-2064.4402,"ompF"
199.45132,-2065.6714,"ompF"
220.39651,-2050.874,"yhfG-fic-pabA"
250.75581,-2047.204,"yhfG-fic-pabA"
186.27504,-2060.3342,"yhfG-fic-pabA"
195.61568,-2061.6658,"yhfG-fic-pabA"
210.9032,-2061.0796,"yhfG-fic-pabA"
251.25626,-2051.7327,"yhfG-fic-pabA"
251.05148,-2058.1597,"yhfG-fic-pabA"
215.86296,-2062.7275,"yhfG-fic-pabA"
253.98026,-2052.3213,"yhfG-fic-pabA"
197.97621,-2061.2085,"yhfG-fic-pabA"
199.63257,-2059.1128,"yhfG-fic-pabA"
237.28542,-2048.3843,"yhfG-fic-pabA"
220.88048,-2058.1072,"pck"
253.15201,-2052.1301,"focA-pflB"
233.99684,-2055.2937,"focA-pflB"
266.93375,-2056.2651,"rluD-pgeF"
257.5822,-2056.137,"pgi"
196.15916,-2068.3914,"plaP"
239.53702,-2054.8748,"plaP"
179.2465,-2062.629,"pldB-yigL"
244.54485,-2059.9165,"ppsA"
181.01949,-2064.9258,"proS"
214.82979,-2059.9539,"ptsG"
194.15073,-2064.4607,"ptsH-ptsI-crr"
239.34242,-2053.888,"purA"
247.97636,-2053.42,"purA"
205.01283,-2063.1729,"purA"
218.1974,-2058.0261,"purA"
195.99413,-2060.6365,"purA"
247.60281,-2058.2769,"purA"
212.8501,-2054.0925,"purH-purD"
250.55357,-2051.5078,"putP"
215.12941,-2055.555,"rcsD-rcsB"
201.69379,-2067.5168,"recQ"
205.42657,-2057.5085,"rfaD-waaF-waaC-waaL"
233.47417,-2053.1565,"rhlB"
253.80013,-2053.7979,"rhoL-rho"
208.7815,-2064.1936,"rlmL-uup"
191.07808,-2061.392,"rapA-rluA"
197.23799,-2061.7024,"rapA-rluA"
178.4856,-2063.126,"rmuC"
222.37248,-2055.3486,"rnb"
262.5362,-2050.1042,"rnb"
204.39836,-2066.8386,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
179.0526,-2070.3733,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
264.8051,-2053.1562,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
204.62315,-2066.8906,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
188.77585,-2070.0664,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
227.05644,-2053.795,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
207.38791,-2059.703,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
223.86842,-2058.3418,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
239.33412,-2057.7236,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
193.92052,-2064.1624,"thrS-infC-rpmI-rplT-pheM-pheS-pheT-ihfA"
202.54929,-2060.0186,"rpoZ-spoT-trmH-recG"
202.55695,-2052.87,"cmk-rpsA-ihfB"
210.52412,-2058.9155,"cmk-rpsA-ihfB"
189.72815,-2066.5872,"cmk-rpsA-ihfB"
215.87326,-2056.5093,"cmk-rpsA-ihfB"
188.06871,-2064.6494,"cmk-rpsA-ihfB"
212.08612,-2058.6338,"cmk-rpsA-ihfB"
246.55217,-2058.4429,"cmk-rpsA-ihfB"
180.90408,-2070.0273,"cmk-rpsA-ihfB"
177.51668,-2067.3955,"cmk-rpsA-ihfB"
229.19597,-2054.1074,"cmk-rpsA-ihfB"
215.37755,-2055.5327,"cmk-rpsA-ihfB"
177.19064,-2066.3313,"cmk-rpsA-ihfB"
196.39346,-2060.8862,"cmk-rpsA-ihfB"
202.60867,-2060.1208,"cmk-rpsA-ihfB"
220.72003,-2057.9614,"cmk-rpsA-ihfB"
193.57747,-2066.5317,"cmk-rpsA-ihfB"
219.46368,-2057.918,"cmk-rpsA-ihfB"
194.14566,-2063.7446,"menA-rraA"
193.08534,-2056.3516,"prlC-rsmJ"
247.39574,-2054.5107,"rstA-rstB"
239.48659,-2055.9133,"rstA-rstB"
254.37427,-2053.7344,"rstA-rstB"
213.31851,-2056.219,"rtcB-rtcA"
207.5588,-2059.1091,"sdaA"
239.38184,-2059.9739,"sdaC-sdaB"
211.05336,-2057.2705,"sdaC-sdaB"
201.98936,-2066.335,"serS"
212.08075,-2061.2446,"shiA"
175.30795,-2070.7507,"srkA-dsbA"
198.80406,-2063.608,"srlA-srlE-srlB-srlD-gutM-srlR-gutQ"
215.92291,-2056.1304,"tff-rpsB-tsf"
265.56268,-2054.512,"tff-rpsB-tsf"
235.23833,-2055.8596,"tff-rpsB-tsf"
248.68306,-2052.2595,"tff-rpsB-tsf"
241.78505,-2049.9426,"tff-rpsB-tsf"
248.39478,-2053.576,"tff-rpsB-tsf"
222.03828,-2054.3982,"tff-rpsB-tsf"
191.10237,-2065.8496,"tff-rpsB-tsf"
204.11949,-2057.868,"tff-rpsB-tsf"
187.87645,-2069.331,"tff-rpsB-tsf"
198.28412,-2065.7473,"tff-rpsB-tsf"
253.16624,-2059.9211,"tff-rpsB-tsf"
195.02052,-2063.352,"tff-rpsB-tsf"
200.64246,-2060.1304,"tff-rpsB-tsf"
232.0668,-2052.0815,"tff-rpsB-tsf"
175.17188,-2069.0742,"tff-rpsB-tsf"
206.35434,-2062.5044,"tff-rpsB-tsf"
249.96028,-2059.8035,"tff-rpsB-tsf"
200.7632,-2067.6318,"tff-rpsB-tsf"
220.32487,-2055.4705,"tig"
250.76413,-2054.5913,"tig"
205.0268,-2055.4775,"tig"
205.03183,-2053.926,"tig"
251.21806,-2055.11,"tig"
253.91583,-2056.4858,"tig"
175.88966,-2070.468,"tig"
221.47589,-2059.274,"tig"
225.82191,-2058.0073,"tldD"
207.42816,-2059.5793,"tldD"
192.98495,-2060.3718,"topA"
183.82643,-2072.4148,"ydjA-selD-topB"
206.21194,-2052.291,"tsr"
213.76384,-2063.711,"tsr"
205.02167,-2052.702,"tsr"
232.49762,-2052.868,"tsr"
204.73982,-2053.9263,"tsr"
205.23543,-2052.783,"tsr"
192.88405,-2062.1995,"tsr"
262.42807,-2050.5457,"tsr"
250.46376,-2045.4467,"tsr"
267.99435,-2056.9458,"yheO-tusD-tusC-tusB"
188.12288,-2065.6453,"upp-uraA"
217.21736,-2057.5022,"uxuA-uxuB"
246.846,-2052.7908,"holC-valS"
222.48787,-2056.6648,"holC-valS"
223.78568,-2051.2942,"holC-valS"
171.64374,-2065.4893,"wza-wzb-wzc-wcaA-wcaB"
197.57697,-2056.1047,"ybjO-rlmC"
249.92935,-2049.8408,"ycaO"
202.00327,-2066.268,"pth-ychF"
201.55331,-2059.224,"ychO"
259.2624,-2048.8115,"ydcR"
265.27695,-2056.9282,"osmF-yehY-yehX-yehW"
197.58301,-2066.2954,"osmF-yehY-yehX-yehW"
179.83742,-2067.307,"osmF-yehY-yehX-yehW"
198.14293,-2062.0906,"osmF-yehY-yehX-yehW"
200.99937,-2060.7805,"yfeY-yfeX"
198.6349,-2060.9116,"ygbJ-ygbK"
206.75676,-2056.0608,"yghS-yghR"
189.15337,-2070.229,"yheS-yheT-yheU"
232.89622,-2058.1523,"yhgF"
197.57602,-2061.5486,"yojI"
196.93747,-2061.7551,"ligA-ypeB"
214.14183,-2059.528,"yrfG-hslR-hslO"
206.67303,-2058.9163,"yrfG-hslR-hslO"
