"X","Y"
10390,43437
10391,43434
10391,43435
10391,43436
10391,43437
10391,43438
10391,43439
10391,43440
10391,43442
10391,43446
10391,43447
10392,43433
10392,43434
10392,43435
10392,43436
10392,43437
10392,43438
10392,43439
10392,43440
10392,43441
10392,43442
10392,43443
10392,43444
10392,43445
10392,43446
10392,43447
10392,43448
10392,43449
10392,43450
10393,43432
10393,43433
10393,43434
10393,43435
10393,43436
10393,43437
10393,43438
10393,43439
10393,43440
10393,43441
10393,43442
10393,43443
10393,43444
10393,43445
10393,43446
10393,43447
10393,43448
10393,43449
10393,43450
10393,43451
10394,43431
10394,43432
10394,43433
10394,43434
10394,43435
10394,43436
10394,43437
10394,43438
10394,43439
10394,43440
10394,43441
10394,43442
10394,43443
10394,43444
10394,43445
10394,43446
10394,43447
10394,43448
10394,43449
10394,43450
10394,43451
10394,43452
10395,43430
10395,43431
10395,43432
10395,43433
10395,43434
10395,43435
10395,43436
10395,43437
10395,43438
10395,43439
10395,43440
10395,43441
10395,43442
10395,43443
10395,43444
10395,43445
10395,43446
10395,43447
10395,43448
10395,43449
10395,43450
10395,43451
10395,43452
10396,43429
10396,43430
10396,43431
10396,43432
10396,43433
10396,43434
10396,43435
10396,43436
10396,43437
10396,43438
10396,43439
10396,43440
10396,43441
10396,43442
10396,43443
10396,43444
10396,43445
10396,43446
10396,43447
10396,43448
10396,43449
10396,43450
10396,43451
10396,43452
10397,43429
10397,43430
10397,43431
10397,43432
10397,43433
10397,43434
10397,43435
10397,43436
10397,43437
10397,43438
10397,43439
10397,43440
10397,43441
10397,43442
10397,43443
10397,43444
10397,43445
10397,43446
10397,43447
10397,43448
10397,43449
10397,43450
10397,43451
10397,43452
10397,43453
10398,43429
10398,43430
10398,43431
10398,43432
10398,43433
10398,43434
10398,43435
10398,43436
10398,43437
10398,43438
10398,43439
10398,43440
10398,43441
10398,43442
10398,43443
10398,43444
10398,43445
10398,43446
10398,43447
10398,43448
10398,43449
10398,43450
10398,43451
10398,43452
10399,43428
10399,43429
10399,43430
10399,43431
10399,43432
10399,43433
10399,43434
10399,43435
10399,43436
10399,43437
10399,43438
10399,43439
10399,43440
10399,43441
10399,43442
10399,43443
10399,43444
10399,43445
10399,43446
