"X","Y"
9823,12220
9852,12338
9761,12205
9736,12169
9819,12200
9676,12226
9688,12134
9685,12156
9784,12283
9700,12251
9747,12276
9802,12361
9796,12167
9771,12191
9799,12313
9875,12290
9808,12335
9677,12190
9833,12345
9767,12137
9686,12180
9723,12186
9701,12261
9834,12266
9773,12250
9809,12276
9748,12188
9784,12343
9763,12157
9744,12121
9682,12136
9797,12257
9831,12189
9735,12137
9772,12277
9749,12290
9696,12230
9687,12236
9702,12175
9720,12223
9835,12230
9711,12215
9810,12236
9844,12216
9783,12168
9798,12227
9837,12342
9856,12310
9805,12301
9679,12130
9812,12149
9830,12319
9654,12176
9787,12141
9706,12152
9821,12257
9721,12257
9788,12346
9775,12142
9694,12135
9793,12286
9813,12334
9731,12130
9669,12159
9768,12280
9746,12185
9684,12248
9799,12193
9718,12140
9817,12261
9870,12275
9792,12177
9743,12142
9698,12186
9847,12243
9673,12180
9822,12227
9794,12246
9846,12232
9769,12248
9871,12241
9818,12239
9860,12297
9827,12183
9818,12322
9708,12200
9801,12347
9662,12195
9758,12180
9795,12202
9714,12123
9829,12242
9733,12206
9770,12216
9804,12196
9704,12220
9867,12305
9685,12161
9768,12309
9793,12339
9808,12175
9842,12287
9759,12284
9681,12165
9777,12136
9825,12341
9830,12274
9867,12266
9776,12324
9850,12343
9690,12157
9805,12228
9854,12235
9740,12145
9741,12309
9710,12184
9843,12197
9729,12211
9782,12199
9744,12244
9716,12207
9735,12258
9772,12136
9806,12252
9855,12265
9741,12175
9772,12312
9797,12320
9820,12186
9822,12344
9780,12319
9668,12164
9764,12145
9854,12322
9745,12212
9779,12184
9816,12174
9850,12254
9754,12170
9807,12164
9878,12252
9825,12224
9751,12125
9706,12271
9721,12142
9756,12231
9694,12242
9731,12271
9768,12131
9802,12267
9780,12280
9718,12283
9804,12365
9814,12172
9851,12274
9755,12262
9693,12267
9789,12150
9727,12155
9792,12140
9826,12256
9879,12276
9743,12275
9810,12343
9736,12131
9707,12229
9835,12357
9803,12316
9757,12193
9791,12205
9732,12213
9766,12209
9803,12217
9781,12248
9719,12249
9786,12335
9811,12317
9712,12169
9728,12241
9762,12205
9737,12165
9680,12190
9776,12227
9714,12238
9671,12196
9767,12243
9689,12256
9785,12155
9723,12132
9838,12271
9875,12281
9701,12123
9800,12252
9842,12328
9739,12236
9828,12192
9748,12150
9763,12247
9858,12318
9807,12321
9709,12157
9759,12129
9777,12261
9715,12242
9790,12346
9734,12157
9752,12241
9690,12224
9805,12153
9724,12188
9815,12310
9702,12149
9801,12284
9740,12260
9774,12192
9749,12178
9872,12267
9782,12338
9778,12223
9812,12239
9846,12319
9753,12215
9787,12215
9824,12219
9765,12331
9839,12340
9775,12224
9862,12309
9848,12324
9705,12146
9730,12136
9764,12260
9779,12133
9717,12190
9698,12128
9813,12265
9655,12186
9692,12160
9673,12146
9726,12228
9788,12269
9722,12121
9742,12188
9760,12256
9794,12156
9751,12246
9769,12150
9859,12276
9770,12321
9795,12347
9765,12164
9699,12160
9753,12312
9827,12321
9755,12147
9674,12178
9727,12268
9778,12336
9852,12335
9761,12160
9736,12270
9770,12126
9860,12252
9651,12183
9688,12171
9685,12135
9784,12256
9815,12217
9738,12203
9790,12213
9834,12301
9747,12251
9663,12219
9726,12298
9796,12204
9771,12210
9799,12340
9808,12356
9776,12158
9686,12169
9723,12273
9667,12188
9701,12224
9834,12279
9773,12277
9713,12196
9710,12150
9775,12332
9809,12175
9748,12281
9856,12239
9784,12316
9744,12158
9806,12154
9880,12280
9811,12210
9864,12323
9786,12192
9702,12256
9720,12196
9835,12253
9659,12196
9711,12178
9810,12265
9831,12331
9783,12199
9840,12337
9798,12260
9856,12299
9679,12169
9697,12253
9725,12209
9821,12188
9721,12228
9788,12311
9756,12137
9813,12297
9746,12210
9684,12229
9799,12220
9817,12168
9714,12288
9792,12214
9813,12158
9847,12238
9788,12128
9707,12143
9822,12260
9819,12316
9722,12268
9837,12181
9844,12300
9794,12275
9846,12269
9732,12143
9769,12259
9781,12158
9719,12131
9818,12264
9871,12284
9860,12310
9818,12367
9728,12155
9823,12236
9801,12318
9758,12217
9795,12209
9829,12221
9770,12229
9804,12161
9819,12248
