"X","Y"
10623,39399
10623,39400
10623,39401
10623,39402
10624,39396
10624,39397
10624,39398
10624,39399
10624,39400
10624,39401
10624,39402
10624,39403
10624,39404
10624,39405
10625,39395
10625,39396
10625,39397
10625,39398
10625,39399
10625,39400
10625,39401
10625,39402
10625,39403
10625,39404
10625,39405
10625,39406
10625,39407
10626,39394
10626,39395
10626,39396
10626,39397
10626,39398
10626,39399
10626,39400
10626,39401
10626,39402
10626,39403
10626,39404
10626,39405
10626,39406
10626,39407
10626,39408
10627,39393
10627,39394
10627,39395
10627,39396
10627,39397
10627,39398
10627,39399
10627,39400
10627,39401
10627,39402
10627,39403
10627,39404
10627,39405
10627,39406
10627,39407
10627,39408
10627,39409
10628,39390
10628,39391
10628,39392
10628,39393
10628,39394
10628,39395
10628,39396
10628,39397
10628,39398
10628,39399
10628,39400
10628,39401
10628,39402
10628,39403
10628,39404
10628,39405
10628,39406
10628,39407
10628,39408
10628,39409
10628,39528
10629,39389
10629,39390
10629,39391
10629,39392
10629,39393
10629,39394
10629,39395
10629,39396
10629,39397
10629,39398
10629,39399
10629,39400
10629,39401
10629,39402
10629,39403
10629,39404
10629,39405
10629,39406
10629,39407
10629,39408
10629,39409
10629,39410
10629,39526
10629,39527
10629,39528
10629,39529
10629,39530
10629,39531
10629,39534
10630,39355
10630,39356
10630,39388
10630,39389
10630,39390
10630,39391
10630,39392
10630,39393
10630,39394
10630,39395
10630,39396
10630,39397
10630,39398
10630,39399
10630,39400
10630,39401
10630,39402
10630,39403
10630,39404
10630,39405
10630,39406
10630,39407
10630,39408
10630,39409
10630,39410
10630,39525
10630,39526
10630,39527
10630,39528
10630,39529
10630,39530
10630,39531
10630,39532
10630,39533
10630,39534
10630,39535
10630,39536
10630,39537
10630,39539
10631,39353
10631,39354
10631,39355
10631,39356
10631,39357
10631,39358
10631,39359
10631,39388
10631,39389
10631,39390
10631,39391
10631,39392
10631,39393
10631,39394
10631,39395
10631,39396
10631,39397
10631,39398
10631,39399
10631,39400
10631,39401
10631,39402
10631,39403
10631,39404
10631,39405
10631,39406
10631,39407
10631,39408
10631,39409
10631,39410
10631,39524
10631,39525
10631,39526
10631,39527
10631,39528
10631,39529
10631,39530
10631,39531
10631,39532
10631,39533
10631,39534
10631,39535
10631,39536
10631,39537
10631,39538
10631,39539
10631,39540
10631,39541
10631,39542
10632,39352
10632,39353
10632,39354
10632,39355
10632,39356
10632,39357
10632,39358
10632,39359
10632,39360
10632,39388
10632,39389
10632,39390
10632,39391
10632,39392
10632,39393
10632,39394
10632,39395
10632,39396
10632,39397
10632,39398
10632,39399
10632,39400
10632,39401
10632,39402
10632,39403
10632,39404
10632,39405
10632,39406
10632,39407
10632,39408
10632,39409
10632,39410
10632,39411
10632,39524
10632,39525
10632,39526
10632,39527
10632,39528
10632,39529
10632,39530
10632,39531
10632,39532
10632,39533
10632,39534
10632,39535
10632,39536
10632,39537
10632,39538
10632,39539
10632,39540
10632,39541
10632,39542
10632,39543
10633,39351
10633,39352
10633,39353
10633,39354
10633,39355
10633,39356
10633,39357
10633,39358
10633,39359
10633,39360
10633,39361
10633,39387
10633,39388
10633,39389
10633,39390
10633,39391
10633,39392
10633,39393
10633,39394
10633,39395
10633,39396
10633,39397
10633,39398
10633,39399
10633,39400
10633,39401
10633,39402
10633,39403
10633,39404
10633,39405
10633,39406
10633,39407
10633,39408
10633,39409
10633,39410
10633,39411
10633,39523
10633,39524
10633,39525
10633,39526
10633,39527
10633,39528
10633,39529
10633,39530
10633,39531
10633,39532
10633,39533
10633,39534
10633,39535
10633,39536
10633,39537
10633,39538
10633,39539
10633,39540
10633,39541
10633,39542
10633,39543
10633,39544
10634,39351
10634,39352
10634,39353
10634,39354
10634,39355
10634,39356
10634,39357
10634,39358
10634,39359
10634,39360
10634,39361
10634,39387
10634,39388
10634,39389
10634,39390
10634,39391
10634,39392
10634,39393
10634,39394
10634,39395
10634,39396
10634,39397
10634,39398
10634,39399
10634,39400
10634,39401
10634,39402
10634,39403
10634,39404
10634,39405
10634,39406
10634,39407
10634,39408
10634,39409
10634,39410
10634,39411
10634,39521
10634,39522
10634,39523
10634,39524
10634,39525
10634,39526
10634,39527
10634,39528
10634,39529
10634,39530
10634,39531
10634,39532
10634,39533
10634,39534
10634,39535
10634,39536
10634,39537
10634,39538
10634,39539
10634,39540
10634,39541
10634,39542
10634,39543
10634,39544
10634,39545
10635,39350
10635,39351
10635,39352
10635,39353
10635,39354
10635,39355
10635,39356
10635,39357
10635,39358
10635,39359
10635,39360
10635,39361
10635,39362
10635,39387
10635,39388
10635,39389
10635,39390
10635,39391
10635,39392
10635,39393
10635,39394
10635,39395
10635,39396
10635,39397
10635,39398
10635,39399
10635,39400
10635,39401
10635,39402
10635,39403
10635,39404
10635,39405
10635,39406
10635,39407
10635,39408
10635,39409
10635,39410
10635,39411
10635,39520
10635,39521
10635,39522
10635,39523
10635,39524
10635,39525
10635,39526
10635,39527
10635,39528
10635,39529
10635,39530
10635,39531
10635,39532
10635,39533
10635,39534
10635,39535
10635,39536
10635,39537
10635,39538
10635,39539
10635,39540
10635,39541
10635,39542
10635,39543
10635,39544
10635,39545
10636,39350
10636,39351
10636,39352
10636,39353
10636,39354
10636,39355
10636,39356
10636,39357
10636,39358
10636,39359
10636,39360
10636,39361
10636,39362
10636,39388
10636,39389
10636,39390
10636,39391
10636,39392
10636,39393
10636,39394
10636,39395
10636,39396
10636,39397
10636,39398
10636,39399
10636,39400
10636,39401
10636,39402
10636,39403
10636,39404
10636,39405
10636,39406
10636,39407
10636,39408
10636,39409
10636,39410
10636,39519
10636,39520
10636,39521
10636,39522
10636,39523
10636,39524
10636,39525
10636,39526
10636,39527
10636,39528
10636,39529
10636,39530
10636,39531
10636,39532
10636,39533
10636,39534
10636,39535
10636,39536
10636,39537
10636,39538
10636,39539
10636,39540
10636,39541
10636,39542
10636,39543
10636,39544
10636,39545
10636,39546
10637,39350
10637,39351
10637,39352
10637,39353
10637,39354
10637,39355
10637,39356
10637,39357
10637,39358
10637,39359
10637,39360
10637,39361
10637,39362
10637,39388
10637,39389
10637,39390
10637,39391
10637,39392
10637,39393
10637,39394
10637,39395
10637,39396
10637,39397
10637,39398
10637,39399
10637,39400
10637,39401
10637,39402
10637,39403
10637,39404
10637,39405
10637,39406
10637,39407
10637,39408
10637,39409
10637,39410
10637,39416
10637,39517
10637,39518
10637,39519
10637,39520
10637,39521
10637,39522
10637,39523
10637,39524
10637,39525
10637,39526
10637,39527
10637,39528
10637,39529
10637,39530
10637,39531
10637,39532
10637,39533
10637,39534
10637,39535
10637,39536
10637,39537
10637,39538
10637,39539
10637,39540
10637,39541
10637,39542
10637,39543
10637,39544
10637,39545
10638,39322
10638,39323
10638,39324
10638,39351
10638,39352
10638,39353
10638,39354
10638,39355
10638,39356
10638,39357
10638,39358
10638,39359
10638,39360
10638,39361
10638,39362
10638,39363
10638,39369
10638,39388
10638,39389
10638,39390
10638,39391
10638,39392
10638,39393
10638,39394
10638,39395
10638,39396
10638,39397
10638,39398
10638,39399
10638,39400
10638,39401
10638,39402
10638,39403
10638,39404
10638,39405
10638,39406
10638,39407
10638,39408
10638,39409
10638,39410
10638,39413
10638,39414
10638,39415
10638,39416
10638,39417
10638,39418
10638,39419
10638,39515
10638,39516
10638,39517
10638,39518
10638,39519
10638,39520
10638,39521
10638,39522
10638,39523
10638,39524
10638,39525
10638,39526
10638,39527
10638,39528
10638,39529
10638,39530
10638,39531
10638,39532
10638,39533
10638,39534
10638,39535
10638,39536
10638,39537
10638,39538
10638,39539
10638,39540
10638,39541
10638,39542
10638,39543
10638,39544
10638,39545
10638,39546
10638,39547
10638,39548
10639,39319
10639,39320
10639,39321
10639,39322
10639,39323
10639,39324
10639,39325
10639,39326
10639,39327
10639,39351
10639,39352
10639,39353
10639,39354
10639,39355
10639,39356
10639,39357
10639,39358
10639,39359
10639,39360
10639,39361
10639,39362
10639,39367
10639,39368
10639,39369
10639,39370
10639,39371
10639,39372
10639,39374
10639,39389
10639,39390
10639,39391
10639,39392
10639,39393
10639,39394
10639,39395
10639,39396
10639,39397
10639,39398
10639,39399
10639,39400
10639,39401
10639,39402
10639,39403
10639,39404
10639,39405
10639,39406
10639,39407
10639,39408
10639,39409
10639,39412
10639,39413
10639,39414
10639,39415
10639,39416
10639,39417
10639,39418
10639,39419
10639,39420
10639,39514
10639,39515
10639,39516
10639,39517
10639,39518
10639,39519
10639,39520
10639,39521
10639,39522
10639,39523
10639,39524
10639,39525
10639,39526
10639,39527
10639,39528
10639,39529
10639,39530
10639,39531
10639,39532
10639,39533
10639,39534
10639,39535
10639,39536
10639,39537
10639,39538
10639,39539
10639,39540
10639,39541
10639,39542
10639,39543
10639,39544
10639,39545
10639,39546
10639,39547
10639,39548
10639,39549
10639,39550
10640,39318
10640,39319
10640,39320
10640,39321
10640,39322
10640,39323
10640,39324
10640,39325
10640,39326
10640,39327
10640,39328
10640,39329
10640,39351
10640,39352
10640,39353
10640,39354
10640,39355
10640,39356
10640,39357
10640,39358
10640,39359
10640,39360
10640,39361
10640,39362
10640,39366
10640,39367
10640,39368
10640,39369
10640,39370
10640,39371
10640,39372
10640,39373
10640,39374
10640,39375
10640,39376
10640,39377
10640,39389
10640,39390
10640,39391
10640,39392
10640,39393
10640,39394
10640,39395
10640,39396
10640,39397
10640,39398
10640,39399
10640,39400
10640,39401
10640,39402
10640,39403
10640,39404
10640,39405
10640,39406
10640,39407
10640,39408
10640,39411
10640,39412
10640,39413
10640,39414
10640,39415
10640,39416
10640,39417
10640,39418
10640,39419
10640,39420
10640,39421
10640,39474
10640,39475
10640,39513
10640,39514
10640,39515
10640,39516
10640,39517
10640,39518
10640,39519
10640,39520
10640,39521
10640,39522
10640,39523
10640,39524
10640,39525
10640,39526
10640,39527
10640,39528
10640,39529
10640,39530
10640,39531
10640,39532
10640,39533
10640,39534
10640,39535
10640,39536
10640,39537
10640,39538
10640,39539
10640,39540
10640,39541
10640,39542
10640,39543
10640,39544
10640,39545
10640,39546
10640,39547
10640,39548
10640,39549
10640,39550
10640,39551
10640,39555
10641,39317
10641,39318
10641,39319
10641,39320
10641,39321
10641,39322
10641,39323
10641,39324
10641,39325
10641,39326
10641,39327
10641,39328
10641,39329
10641,39330
10641,39331
10641,39332
10641,39333
10641,39334
10641,39344
10641,39345
10641,39346
10641,39347
10641,39351
10641,39352
10641,39353
10641,39354
10641,39355
10641,39356
10641,39357
10641,39358
10641,39359
10641,39360
10641,39361
10641,39362
10641,39365
10641,39366
10641,39367
10641,39368
10641,39369
10641,39370
10641,39371
10641,39372
10641,39373
10641,39374
10641,39375
10641,39376
10641,39377
10641,39378
10641,39390
10641,39391
10641,39392
10641,39393
10641,39394
10641,39395
10641,39396
10641,39397
10641,39398
10641,39399
10641,39400
10641,39401
10641,39402
10641,39403
10641,39404
10641,39405
10641,39406
10641,39407
10641,39408
10641,39410
10641,39411
10641,39412
10641,39413
10641,39414
10641,39415
10641,39416
10641,39417
10641,39418
10641,39419
10641,39420
10641,39421
10641,39471
10641,39472
10641,39473
10641,39474
10641,39475
10641,39476
10641,39477
10641,39478
10641,39513
10641,39514
10641,39515
10641,39516
10641,39517
10641,39518
10641,39519
10641,39520
10641,39521
10641,39522
10641,39523
10641,39524
10641,39525
10641,39526
10641,39527
10641,39528
10641,39529
10641,39530
10641,39531
10641,39532
10641,39533
10641,39534
10641,39535
10641,39536
10641,39537
10641,39538
10641,39539
10641,39540
10641,39541
10641,39542
10641,39543
10641,39544
10641,39545
10641,39546
10641,39547
10641,39548
10641,39549
10641,39550
10641,39551
10641,39552
10641,39553
10641,39554
10641,39555
10641,39556
10641,39557
10642,39316
