"X","Y"
22844,6693
22844,6694
22844,6695
22845,6683
22845,6684
22845,6685
22845,6686
22845,6688
22845,6689
22845,6690
22845,6691
22845,6692
22845,6693
22845,6694
22845,6695
22845,6696
22845,6697
22845,6698
22845,6699
22845,6700
22845,6701
22846,6494
22846,6569
22846,6570
22846,6680
22846,6681
22846,6682
22846,6683
22846,6684
22846,6685
22846,6686
22846,6687
22846,6688
22846,6689
22846,6690
22846,6691
22846,6692
22846,6693
22846,6694
22846,6695
22846,6696
22846,6697
22846,6698
22846,6699
22846,6700
22846,6701
22846,6702
22846,6703
22846,6704
22847,6491
22847,6492
22847,6493
22847,6494
22847,6495
22847,6496
22847,6497
22847,6566
22847,6567
22847,6568
22847,6569
22847,6570
22847,6571
22847,6572
22847,6573
22847,6679
22847,6680
22847,6681
22847,6682
22847,6683
22847,6684
22847,6685
22847,6686
22847,6687
22847,6688
22847,6689
22847,6690
22847,6691
22847,6692
22847,6693
22847,6694
22847,6695
22847,6696
22847,6697
22847,6698
22847,6699
22847,6700
22847,6701
22847,6702
22847,6703
22847,6704
22847,6705
22847,6706
22848,6489
22848,6490
22848,6491
22848,6492
22848,6493
22848,6494
22848,6495
22848,6496
22848,6497
22848,6498
22848,6500
22848,6564
22848,6565
22848,6566
22848,6567
22848,6568
22848,6569
22848,6570
22848,6571
22848,6572
22848,6573
22848,6574
22848,6678
22848,6679
22848,6680
22848,6681
22848,6682
22848,6683
22848,6684
22848,6685
22848,6686
22848,6687
22848,6688
22848,6689
22848,6690
22848,6691
22848,6692
22848,6693
22848,6694
22848,6695
22848,6696
22848,6697
22848,6698
22848,6699
22848,6700
22848,6701
22848,6702
22848,6703
22848,6704
22848,6705
22848,6706
22848,6707
22849,6486
22849,6487
22849,6488
22849,6489
22849,6490
22849,6491
22849,6492
22849,6493
22849,6494
22849,6495
22849,6496
22849,6497
22849,6498
22849,6499
22849,6500
22849,6501
22849,6502
22849,6553
22849,6554
22849,6555
22849,6556
22849,6557
22849,6558
22849,6561
22849,6562
22849,6563
22849,6564
