"X","Y"
11349,16239
11330,16243
11317,16239
11351,16127
11387,16152
11434,16178
11431,16164
11375,16102
11331,16177
11374,16254
11355,16216
11402,16178
11364,16087
11411,16119
11318,16193
11345,16156
11342,16254
11384,16119
11341,16106
11356,16184
11313,16220
11365,16113
11427,16169
11389,16088
11399,16232
11346,16244
11343,16218
11299,16205
11370,16141
11367,16237
11414,16169
11314,16244
11357,16137
11338,16205
11409,16107
11390,16104
11310,16186
11328,16266
11301,16194
11408,16209
11371,16231
11352,16179
11325,16201
11439,16178
11395,16229
11358,16251
11339,16231
11311,16222
11348,16084
11382,16144
11363,16254
11409,16183
11326,16251
11397,16105
11344,16107
11350,16208
11368,16116
11396,16195
11349,16116
11420,16196
11383,16240
11364,16134
11321,16198
11320,16239
11435,16207
11407,16246
11351,16240
11369,16084
11378,16167
11375,16235
11421,16164
11322,16238
11389,16169
11436,16165
11417,16109
11392,16222
11308,16257
11416,16199
11379,16253
11360,16153
11332,16154
11384,16258
11323,16258
11446,16181
11403,16203
11347,16253
11319,16180
11417,16169
11333,16230
11385,16166
11432,16168
11376,16090
11404,16233
11335,16102
11372,16236
11443,16164
11328,16133
11406,16093
11415,16220
11359,16142
11377,16126
11315,16185
11395,16110
11358,16102
11429,16158
11410,16192
11373,16204
11329,16251
11382,16111
11419,16121
11353,16226
11400,16228
11397,16222
11344,16230
11368,16255
11340,16176
11364,16265
11411,16209
11354,16194
11327,16130
11398,16182
11351,16261
11422,16207
11369,16193
11425,16131
11341,16208
11365,16215
11393,16195
11309,16144
11343,16124
11380,16234
11336,16187
11423,16149
11367,16087
11414,16119
11366,16249
11323,16159
11394,16165
11390,16198
11347,16262
11418,16218
11381,16214
11337,16221
11334,16249
11361,16180
11405,16248
11333,16107
11376,16213
11391,16226
11348,16174
11419,16182
11335,16219
11362,16236
11406,16168
11386,16213
11430,16225
11377,16235
11349,16202
11330,16236
11444,16151
11327,16115
11401,16245
11317,16138
11351,16090
11387,16255
11375,16077
11316,16098
11331,16212
11374,16227
11355,16255
11402,16159
11411,16090
11318,16250
11336,16106
11345,16183
11342,16227
11360,16099
11440,16170
11384,16092
11413,16226
11356,16213
11313,16183
11365,16092
11412,16122
11427,16140
11309,16261
11399,16135
11343,16193
11299,16208
11370,16150
11367,16200
11385,16124
11414,16130
11314,16209
11366,16116
11357,16164
11338,16214
11390,16077
11310,16159
11408,16246
11371,16250
11352,16216
11325,16164
11439,16153
11395,16136
11339,16250
11311,16197
11382,16181
11363,16197
11338,16106
11409,16202
11326,16220
11397,16116
11350,16181
11396,16232
11448,16176
11349,16095
11420,16225
11383,16239
11364,16227
11321,16169
11320,16212
11388,16228
11398,16092
11345,16096
11407,16157
11351,16239
11422,16101
11369,16127
11378,16128
11375,16214
11421,16223
11365,16269
11322,16203
11374,16110
11445,16198
11389,16132
11436,16194
11321,16101
11392,16243
11370,16089
11416,16236
11379,16224
11360,16254
11332,16167
11384,16231
11446,16174
11403,16174
11347,16224
11346,16132
11417,16204
11405,16094
11333,16257
11385,16137
11432,16205
11404,16198
11348,16256
11428,16223
11335,16125
11372,16137
