"X","Y"
14585,14123
14586,14118
14586,14119
14586,14120
14586,14121
14586,14122
14586,14123
14586,14124
14586,14125
14586,14126
14587,14106
14587,14107
14587,14108
14587,14109
14587,14110
14587,14111
14587,14114
14587,14115
14587,14116
14587,14117
14587,14118
14587,14119
14587,14120
14587,14121
14587,14122
14587,14123
14587,14124
14587,14125
14587,14126
14587,14127
14587,14128
14588,14104
14588,14105
14588,14106
14588,14107
14588,14108
14588,14109
14588,14110
14588,14111
14588,14112
14588,14113
14588,14114
14588,14115
14588,14116
14588,14117
14588,14118
14588,14119
14588,14120
14588,14121
14588,14122
14588,14123
14588,14124
14588,14125
14588,14126
14588,14127
14588,14128
14588,14129
14589,14103
14589,14104
14589,14105
14589,14106
14589,14107
14589,14108
14589,14109
14589,14110
14589,14111
14589,14112
14589,14113
14589,14114
14589,14115
14589,14116
14589,14117
14589,14118
14589,14119
14589,14120
14589,14121
14589,14122
14589,14123
14589,14124
14589,14125
14589,14126
14589,14127
14589,14128
14589,14129
14589,14130
14590,14091
14590,14092
14590,14102
14590,14103
14590,14104
14590,14105
14590,14106
14590,14107
14590,14108
14590,14109
14590,14110
14590,14111
14590,14112
14590,14113
14590,14114
14590,14115
14590,14116
14590,14117
14590,14118
14590,14119
14590,14120
14590,14121
14590,14122
14590,14123
14590,14124
14590,14125
14590,14126
14590,14127
14590,14128
14590,14129
14590,14130
14590,14131
14591,14086
14591,14087
14591,14088
14591,14089
14591,14090
14591,14091
14591,14092
14591,14093
14591,14094
14591,14095
14591,14099
14591,14100
14591,14101
14591,14102
14591,14103
14591,14104
14591,14105
14591,14106
14591,14107
14591,14108
14591,14109
14591,14110
14591,14111
14591,14112
14591,14113
14591,14114
14591,14115
14591,14116
14591,14117
14591,14118
14591,14119
14591,14120
14591,14121
14591,14122
14591,14123
14591,14124
14591,14125
14591,14126
14591,14127
14591,14128
14591,14129
14591,14130
14591,14131
14591,14132
14592,14083
14592,14084
14592,14085
14592,14086
14592,14087
14592,14088
14592,14089
14592,14090
14592,14091
14592,14092
14592,14093
14592,14094
14592,14095
14592,14096
14592,14097
14592,14098
14592,14099
14592,14100
14592,14101
14592,14102
14592,14103
14592,14104
14592,14105
14592,14106
14592,14107
14592,14108
14592,14109
14592,14110
14592,14111
14592,14112
14592,14113
14592,14114
14592,14115
14592,14116
14592,14117
14592,14118
14592,14119
14592,14120
14592,14121
14592,14122
14592,14123
14592,14124
14592,14125
14592,14126
14592,14127
14592,14128
14592,14129
14592,14130
14592,14131
14592,14132
14593,14081
14593,14082
14593,14083
14593,14084
14593,14085
14593,14086
14593,14087
14593,14088
14593,14089
14593,14090
14593,14091
14593,14092
14593,14093
14593,14094
14593,14095
14593,14096
14593,14097
14593,14098
14593,14099
14593,14100
14593,14101
14593,14102
14593,14103
14593,14104
14593,14105
14593,14106
14593,14107
14593,14108
14593,14109
14593,14110
14593,14111
14593,14112
14593,14113
14593,14114
14593,14115
14593,14116
14593,14117
14593,14118
14593,14119
14593,14120
14593,14121
14593,14122
14593,14123
14593,14124
14593,14125
14593,14126
14593,14127
14593,14128
14593,14129
14593,14130
14593,14131
14593,14132
14593,14133
14594,14079
14594,14080
14594,14081
14594,14082
14594,14083
14594,14084
14594,14085
14594,14086
14594,14087
14594,14088
14594,14089
14594,14090
14594,14091
14594,14092
14594,14093
14594,14094
14594,14095
14594,14096
14594,14097
14594,14098
14594,14099
14594,14100
14594,14101
14594,14102
14594,14103
14594,14104
14594,14105
14594,14106
14594,14107
14594,14108
14594,14109
14594,14110
14594,14111
14594,14112
14594,14113
14594,14114
14594,14115
14594,14116
14594,14117
14594,14118
14594,14119
14594,14120
14594,14121
14594,14122
14594,14123
14594,14124
14594,14125
14594,14126
14594,14127
14594,14128
14594,14129
14594,14130
14594,14131
14594,14132
14594,14133
14594,14134
14595,14078
14595,14079
14595,14080
14595,14081
14595,14082
14595,14083
14595,14084
14595,14085
14595,14086
14595,14087
14595,14088
14595,14089
14595,14090
14595,14091
14595,14092
14595,14093
14595,14094
14595,14095
14595,14096
14595,14097
14595,14098
14595,14099
14595,14100
14595,14101
14595,14102
14595,14103
14595,14104
14595,14105
14595,14106
14595,14107
14595,14108
14595,14109
14595,14110
14595,14111
14595,14112
14595,14113
14595,14114
14595,14115
14595,14116
14595,14117
14595,14118
14595,14119
14595,14120
14595,14121
14595,14122
14595,14123
14595,14124
14595,14125
14595,14126
14595,14127
14595,14128
14595,14129
14595,14130
14595,14131
14595,14132
14595,14133
14595,14134
14595,14135
14596,14077
14596,14078
14596,14079
14596,14080
14596,14081
14596,14082
14596,14083
14596,14084
14596,14085
14596,14086
14596,14087
14596,14088
14596,14089
14596,14090
14596,14091
14596,14092
14596,14093
14596,14094
14596,14095
14596,14096
14596,14097
14596,14098
14596,14099
14596,14100
14596,14101
14596,14102
14596,14103
14596,14104
14596,14105
14596,14106
14596,14107
14596,14108
14596,14109
14596,14110
14596,14111
14596,14112
14596,14113
14596,14114
14596,14115
14596,14116
14596,14117
14596,14118
14596,14119
14596,14120
14596,14121
14596,14122
14596,14123
14596,14124
14596,14125
14596,14126
14596,14127
14596,14128
14596,14129
14596,14130
14596,14131
14596,14132
14596,14133
14596,14134
14596,14135
14596,14136
14597,14077
14597,14078
14597,14079
14597,14080
14597,14081
14597,14082
14597,14083
14597,14084
14597,14085
14597,14086
14597,14087
14597,14088
14597,14089
14597,14090
14597,14091
14597,14092
14597,14093
14597,14094
14597,14095
14597,14096
14597,14097
14597,14098
14597,14099
14597,14100
14597,14101
14597,14102
14597,14103
14597,14104
14597,14105
14597,14106
14597,14107
14597,14108
14597,14109
14597,14110
14597,14111
14597,14112
14597,14113
14597,14114
14597,14115
14597,14116
14597,14117
14597,14118
14597,14119
14597,14120
14597,14121
14597,14122
14597,14123
14597,14124
14597,14125
14597,14126
14597,14127
14597,14128
14597,14129
14597,14130
14597,14131
14597,14132
14597,14133
14597,14134
14597,14135
14597,14136
14598,14077
14598,14078
14598,14079
14598,14080
14598,14081
14598,14082
14598,14083
14598,14084
14598,14085
14598,14086
14598,14087
14598,14088
14598,14089
14598,14090
14598,14091
14598,14092
14598,14093
14598,14094
14598,14095
14598,14096
14598,14097
14598,14098
14598,14099
14598,14100
14598,14101
14598,14102
14598,14103
14598,14104
14598,14105
14598,14106
14598,14107
14598,14108
14598,14109
14598,14110
14598,14111
14598,14112
14598,14113
14598,14114
14598,14115
14598,14116
14598,14117
14598,14118
14598,14119
14598,14120
14598,14121
14598,14122
14598,14123
14598,14124
14598,14125
14598,14126
14598,14127
14598,14128
14598,14129
14598,14130
14598,14131
14598,14132
14598,14133
14598,14134
14598,14135
14598,14136
14599,14077
14599,14078
14599,14079
14599,14080
14599,14081
14599,14082
14599,14083
14599,14084
14599,14085
14599,14086
14599,14087
14599,14088
14599,14089
14599,14090
14599,14091
14599,14092
14599,14093
14599,14094
14599,14095
14599,14096
14599,14097
14599,14098
14599,14099
14599,14100
14599,14101
14599,14102
14599,14103
14599,14104
14599,14105
14599,14106
14599,14107
14599,14108
14599,14109
14599,14110
14599,14111
14599,14112
14599,14113
14599,14114
14599,14115
14599,14116
14599,14117
14599,14118
14599,14119
14599,14120
14599,14121
14599,14122
14599,14123
14599,14124
14599,14125
14599,14126
14599,14127
14599,14128
14599,14129
14599,14130
14599,14131
14599,14132
14599,14133
14599,14134
14599,14135
14599,14136
14599,14137
14600,14077
14600,14078
14600,14079
14600,14080
14600,14081
14600,14082
14600,14083
14600,14084
14600,14085
14600,14086
14600,14087
14600,14088
14600,14089
14600,14090
14600,14091
14600,14092
14600,14093
14600,14094
14600,14095
14600,14096
14600,14097
14600,14098
14600,14099
14600,14100
14600,14101
14600,14102
14600,14103
14600,14104
14600,14105
14600,14106
14600,14107
14600,14108
14600,14109
14600,14110
14600,14111
14600,14112
14600,14113
14600,14114
14600,14115
14600,14116
14600,14117
14600,14118
14600,14119
14600,14120
14600,14121
14600,14122
14600,14123
14600,14124
14600,14125
14600,14126
14600,14127
14600,14128
14600,14129
14600,14130
14600,14131
14600,14132
14600,14133
14600,14134
14600,14135
14600,14136
14600,14137
14600,14138
14601,14077
14601,14078
14601,14079
14601,14080
14601,14081
14601,14082
14601,14083
14601,14084
14601,14085
14601,14086
14601,14087
14601,14088
14601,14089
14601,14090
14601,14091
14601,14092
14601,14093
14601,14094
14601,14095
14601,14096
14601,14097
14601,14098
14601,14099
14601,14100
14601,14101
14601,14102
14601,14103
14601,14104
14601,14105
14601,14106
14601,14107
14601,14108
14601,14109
14601,14110
14601,14111
14601,14112
14601,14113
14601,14114
14601,14115
14601,14116
14601,14117
14601,14118
14601,14119
14601,14120
14601,14121
14601,14122
14601,14123
14601,14124
14601,14125
14601,14126
14601,14127
14601,14128
14601,14129
14601,14130
14601,14131
14601,14132
14601,14133
14601,14134
14601,14135
14601,14136
14601,14137
14601,14138
14601,14139
14602,14077
14602,14078
14602,14079
14602,14080
14602,14081
14602,14082
14602,14083
14602,14084
14602,14085
14602,14086
14602,14087
14602,14088
14602,14089
14602,14090
14602,14091
14602,14092
14602,14093
14602,14094
14602,14095
14602,14096
14602,14097
14602,14098
14602,14099
14602,14100
14602,14101
14602,14102
14602,14103
14602,14104
14602,14105
14602,14106
14602,14107
14602,14108
14602,14109
14602,14110
14602,14111
14602,14112
14602,14113
14602,14114
14602,14115
14602,14116
14602,14117
14602,14118
14602,14119
14602,14120
14602,14121
14602,14122
14602,14123
14602,14124
14602,14125
14602,14126
14602,14127
14602,14128
14602,14129
14602,14130
14602,14131
14602,14132
14602,14133
14602,14134
14602,14135
14602,14136
14602,14137
14602,14138
14602,14139
14603,14077
14603,14078
14603,14079
14603,14080
14603,14081
14603,14082
14603,14083
14603,14084
14603,14085
14603,14086
14603,14087
14603,14088
14603,14089
14603,14090
14603,14091
14603,14092
14603,14093
14603,14094
14603,14095
14603,14096
14603,14097
14603,14098
14603,14099
14603,14100
14603,14101
14603,14102
14603,14103
14603,14104
14603,14105
14603,14106
14603,14107
14603,14108
14603,14109
14603,14110
14603,14111
14603,14112
14603,14113
14603,14114
14603,14115
14603,14116
14603,14117
14603,14118
14603,14119
14603,14120
14603,14121
14603,14122
14603,14123
14603,14124
14603,14125
14603,14126
14603,14127
14603,14128
14603,14129
14603,14130
14603,14131
14603,14132
14603,14133
14603,14134
14603,14135
14603,14136
14603,14137
14603,14138
14603,14139
14603,14140
14604,14077
14604,14078
14604,14079
14604,14080
14604,14081
14604,14082
14604,14083
14604,14084
14604,14085
14604,14086
14604,14087
14604,14088
14604,14089
14604,14090
14604,14091
14604,14092
14604,14093
14604,14094
14604,14095
14604,14096
14604,14097
14604,14098
14604,14099
14604,14100
14604,14101
14604,14102
14604,14103
14604,14104
14604,14105
14604,14106
14604,14107
14604,14108
14604,14109
14604,14110
14604,14111
14604,14112
14604,14113
14604,14114
14604,14115
14604,14116
14604,14117
14604,14118
14604,14119
14604,14120
14604,14121
14604,14122
14604,14123
14604,14124
14604,14125
14604,14126
14604,14127
14604,14128
14604,14129
14604,14130
14604,14131
14604,14132
14604,14133
14604,14134
14604,14135
14604,14136
14604,14137
14604,14138
14604,14139
14604,14140
14604,14141
14604,14142
14605,14077
