"X","Y"
19469,15622
19470,15596
19470,15618
19470,15619
19470,15620
19470,15621
19470,15622
19470,15623
19470,15624
19470,15625
19470,15626
19471,15593
19471,15594
19471,15595
19471,15596
19471,15597
19471,15598
19471,15615
19471,15616
19471,15617
19471,15618
19471,15619
19471,15620
19471,15621
19471,15622
19471,15623
19471,15624
19471,15625
19471,15626
19471,15627
19471,15628
19471,15629
19471,15637
19472,15590
19472,15591
19472,15592
19472,15593
19472,15594
19472,15595
19472,15596
19472,15597
19472,15598
19472,15599
19472,15613
19472,15614
19472,15615
19472,15616
19472,15617
19472,15618
19472,15619
19472,15620
19472,15621
19472,15622
19472,15623
19472,15624
19472,15625
19472,15626
19472,15627
19472,15628
19472,15629
19472,15630
19472,15634
19472,15635
19472,15636
19472,15637
19472,15638
19472,15639
19472,15640
19472,15645
19473,15587
19473,15588
19473,15589
19473,15590
19473,15591
19473,15592
19473,15593
19473,15594
19473,15595
19473,15596
19473,15597
19473,15598
19473,15599
19473,15600
19473,15612
19473,15613
19473,15614
19473,15615
19473,15616
19473,15617
19473,15618
19473,15619
19473,15620
19473,15621
19473,15622
19473,15623
19473,15624
19473,15625
19473,15626
19473,15627
19473,15628
19473,15629
19473,15630
19473,15631
19473,15632
19473,15633
19473,15634
19473,15635
19473,15636
19473,15637
19473,15638
19473,15639
19473,15640
19473,15641
19473,15642
19473,15643
19473,15644
19473,15645
19473,15646
19473,15647
19473,15648
19474,15586
19474,15587
19474,15588
19474,15589
19474,15590
19474,15591
19474,15592
19474,15593
19474,15594
19474,15595
19474,15596
19474,15597
19474,15598
19474,15599
19474,15600
19474,15611
19474,15612
19474,15613
19474,15614
19474,15615
19474,15616
19474,15617
19474,15618
19474,15619
19474,15620
19474,15621
19474,15622
19474,15623
19474,15624
19474,15625
19474,15626
19474,15627
19474,15628
19474,15629
19474,15630
19474,15631
19474,15632
19474,15633
19474,15634
19474,15635
19474,15636
19474,15637
19474,15638
19474,15639
19474,15640
19474,15641
19474,15642
19474,15643
19474,15644
19474,15645
19474,15646
19474,15647
19474,15648
19474,15649
19475,15585
19475,15586
19475,15587
19475,15588
19475,15589
19475,15590
19475,15591
19475,15592
19475,15593
19475,15594
19475,15595
19475,15596
19475,15597
19475,15598
19475,15599
19475,15600
19475,15601
19475,15610
19475,15611
19475,15612
19475,15613
19475,15614
19475,15615
19475,15616
19475,15617
19475,15618
19475,15619
19475,15620
19475,15621
