"X","Y"
12097,22120
12098,22117
12098,22118
12098,22119
12098,22120
12098,22121
12098,22122
12098,22123
12099,22114
12099,22115
12099,22116
12099,22117
12099,22118
12099,22119
12099,22120
12099,22121
12099,22122
12099,22123
12099,22124
12100,22111
12100,22112
12100,22113
12100,22114
12100,22115
12100,22116
12100,22117
12100,22118
12100,22119
12100,22120
12100,22121
12100,22122
12100,22123
12100,22124
12100,22125
12101,22109
12101,22110
12101,22111
12101,22112
12101,22113
12101,22114
12101,22115
12101,22116
12101,22117
12101,22118
12101,22119
12101,22120
12101,22121
12101,22122
12101,22123
12101,22124
12101,22125
12101,22126
12101,22127
12101,22128
12101,22129
12101,22130
12102,22108
12102,22109
12102,22110
12102,22111
12102,22112
12102,22113
12102,22114
12102,22115
12102,22116
12102,22117
12102,22118
12102,22119
12102,22120
12102,22121
12102,22122
12102,22123
12102,22124
12102,22125
12102,22126
12102,22127
12102,22128
12102,22129
12102,22130
12102,22131
12102,22132
12102,22133
12103,22099
12103,22100
12103,22102
12103,22103
12103,22105
12103,22106
12103,22107
12103,22108
12103,22109
12103,22110
12103,22111
12103,22112
12103,22113
12103,22114
12103,22115
12103,22116
12103,22117
12103,22118
12103,22119
12103,22120
12103,22121
12103,22122
12103,22123
12103,22124
12103,22125
12103,22126
12103,22127
12103,22128
12103,22129
12103,22130
12103,22131
12103,22132
12103,22133
12103,22134
12103,22135
12104,22096
12104,22097
12104,22098
12104,22099
12104,22100
12104,22101
12104,22102
12104,22103
12104,22104
12104,22105
12104,22106
12104,22107
12104,22108
12104,22109
12104,22110
12104,22111
12104,22112
12104,22113
12104,22114
12104,22115
12104,22116
12104,22117
12104,22118
12104,22119
12104,22120
12104,22121
12104,22122
12104,22123
12104,22124
12104,22125
12104,22126
12104,22127
12104,22128
12104,22129
12104,22130
12104,22131
12104,22132
12104,22133
12104,22134
12104,22135
12104,22136
12104,22137
12104,22138
12105,22095
12105,22096
12105,22097
12105,22098
12105,22099
12105,22100
12105,22101
12105,22102
12105,22103
12105,22104
12105,22105
12105,22106
12105,22107
12105,22108
12105,22109
12105,22110
12105,22111
12105,22112
12105,22113
12105,22114
12105,22115
12105,22116
12105,22117
12105,22118
12105,22119
12105,22120
12105,22121
12105,22122
12105,22123
12105,22124
12105,22125
12105,22126
12105,22127
12105,22128
12105,22129
12105,22130
12105,22131
12105,22132
12105,22133
12105,22134
12105,22135
12105,22136
12105,22137
12105,22138
12105,22139
12105,22140
12105,22141
12106,22094
12106,22095
12106,22096
12106,22097
12106,22098
12106,22099
12106,22100
12106,22101
12106,22102
12106,22103
12106,22104
12106,22105
12106,22106
12106,22107
12106,22108
12106,22109
12106,22110
12106,22111
12106,22112
12106,22113
