"X","Y"
5013,45849
5013,45850
5013,45852
5013,45855
5014,45843
5014,45844
5014,45845
5014,45846
5014,45847
5014,45848
5014,45849
5014,45850
5014,45851
5014,45852
5014,45853
5014,45854
5014,45855
5014,45856
5014,45857
5014,45858
5014,45859
5015,45840
5015,45841
5015,45842
5015,45843
5015,45844
5015,45845
5015,45846
5015,45847
5015,45848
5015,45849
5015,45850
5015,45851
5015,45852
5015,45853
5015,45854
5015,45855
5015,45856
5015,45857
5015,45858
5015,45859
5015,45860
5015,45861
5015,45862
5016,45837
5016,45838
5016,45839
5016,45840
5016,45841
5016,45842
5016,45843
5016,45844
5016,45845
5016,45846
5016,45847
5016,45848
5016,45849
5016,45850
5016,45851
5016,45852
5016,45853
5016,45854
5016,45855
5016,45856
5016,45857
5016,45858
5016,45859
5016,45860
5016,45861
5016,45862
5016,45863
5016,45864
5016,45865
5017,45835
5017,45836
5017,45837
5017,45838
5017,45839
5017,45840
5017,45841
5017,45842
5017,45843
5017,45844
5017,45845
5017,45846
5017,45847
5017,45848
5017,45849
5017,45850
5017,45851
5017,45852
5017,45853
5017,45854
5017,45855
5017,45856
5017,45857
5017,45858
5017,45859
5017,45860
5017,45861
5017,45862
5017,45863
5017,45864
5017,45865
5017,45866
5017,45867
5017,45868
5017,45869
5017,45871
5018,45834
5018,45835
5018,45836
5018,45837
5018,45838
5018,45839
5018,45840
5018,45841
5018,45842
5018,45843
5018,45844
5018,45845
5018,45846
5018,45847
5018,45848
5018,45849
5018,45850
5018,45851
5018,45852
5018,45853
5018,45854
5018,45855
5018,45856
5018,45857
5018,45858
5018,45859
5018,45860
5018,45861
5018,45862
5018,45863
5018,45864
5018,45865
5018,45866
5018,45867
5018,45868
5018,45869
5018,45870
5018,45871
5018,45872
5018,45873
5018,45874
5019,45832
5019,45833
5019,45834
5019,45835
5019,45836
5019,45837
5019,45838
5019,45839
5019,45840
5019,45841
5019,45842
5019,45843
5019,45844
5019,45845
5019,45846
5019,45847
5019,45848
5019,45849
5019,45850
5019,45851
5019,45852
5019,45853
5019,45854
5019,45855
5019,45856
5019,45857
5019,45858
5019,45859
5019,45860
5019,45861
5019,45862
5019,45863
5019,45864
5019,45865
5019,45866
5019,45867
5019,45868
5019,45869
5019,45870
5019,45871
5019,45872
5019,45873
5019,45874
5019,45875
5020,45830
5020,45831
5020,45832
5020,45833
5020,45834
5020,45835
5020,45836
5020,45837
5020,45838
5020,45839
5020,45840
5020,45841
5020,45842
5020,45843
5020,45844
5020,45845
5020,45846
5020,45847
5020,45848
5020,45849
5020,45850
5020,45851
5020,45852
5020,45853
5020,45854
5020,45855
5020,45856
5020,45857
5020,45858
5020,45859
5020,45860
5020,45861
5020,45862
5020,45863
5020,45864
5020,45865
5020,45866
5020,45867
5020,45868
5020,45869
5020,45870
5020,45871
5020,45872
5020,45873
5020,45874
5020,45875
5020,45876
5020,45877
5021,45829
5021,45830
5021,45831
5021,45832
5021,45833
5021,45834
5021,45835
5021,45836
5021,45837
5021,45838
5021,45839
5021,45840
5021,45841
5021,45842
5021,45843
5021,45844
5021,45845
5021,45846
5021,45847
5021,45848
5021,45849
5021,45850
5021,45851
5021,45852
5021,45853
5021,45854
5021,45855
5021,45856
5021,45857
5021,45858
5021,45859
5021,45860
5021,45861
5021,45862
5021,45863
5021,45864
5021,45865
5021,45866
5021,45867
5021,45868
5021,45869
5021,45870
5021,45871
5021,45872
5021,45873
5021,45874
5021,45875
5021,45876
5021,45877
5021,45878
5022,45828
5022,45829
5022,45830
5022,45831
5022,45832
5022,45833
5022,45834
5022,45835
5022,45836
5022,45837
5022,45838
5022,45839
5022,45840
5022,45841
5022,45842
5022,45843
5022,45844
5022,45845
5022,45846
5022,45847
5022,45848
5022,45849
5022,45850
5022,45851
5022,45852
5022,45853
5022,45854
5022,45855
5022,45856
5022,45857
5022,45858
5022,45859
5022,45860
5022,45861
5022,45862
5022,45863
5022,45864
5022,45865
5022,45866
5022,45867
5022,45868
5022,45869
5022,45870
5022,45871
5022,45872
5022,45873
5022,45874
5022,45875
5022,45876
5022,45877
5022,45878
5022,45879
5022,45880
5023,45827
5023,45828
5023,45829
5023,45830
5023,45831
5023,45832
5023,45833
5023,45834
5023,45835
5023,45836
5023,45837
5023,45838
5023,45839
5023,45840
5023,45841
5023,45842
5023,45843
5023,45844
5023,45845
5023,45846
5023,45847
5023,45848
5023,45849
5023,45850
5023,45851
5023,45852
5023,45853
5023,45854
5023,45855
5023,45856
5023,45857
5023,45858
5023,45859
5023,45860
5023,45861
5023,45862
5023,45863
5023,45864
5023,45865
5023,45866
5023,45867
5023,45868
5023,45869
5023,45870
5023,45871
5023,45872
5023,45873
5023,45874
5023,45875
5023,45876
5023,45877
5023,45878
5023,45879
5023,45880
5023,45881
5023,45882
5024,45826
5024,45827
5024,45828
5024,45829
5024,45830
5024,45831
5024,45832
5024,45833
5024,45834
5024,45835
5024,45836
5024,45837
5024,45838
5024,45839
5024,45840
5024,45841
5024,45842
5024,45843
5024,45844
5024,45845
5024,45846
5024,45847
5024,45848
5024,45849
5024,45850
5024,45851
5024,45852
5024,45853
5024,45854
5024,45855
5024,45856
5024,45857
5024,45858
5024,45859
5024,45860
5024,45861
5024,45862
5024,45863
5024,45864
5024,45865
5024,45866
5024,45867
5024,45868
5024,45869
5024,45870
5024,45871
5024,45872
5024,45873
5024,45874
5024,45875
5024,45876
5024,45877
5024,45878
5024,45879
5024,45880
5024,45881
5024,45882
5024,45883
5025,45825
5025,45826
5025,45827
5025,45828
5025,45829
5025,45830
5025,45831
5025,45832
5025,45833
5025,45834
5025,45835
5025,45836
5025,45837
5025,45838
5025,45839
5025,45840
5025,45841
5025,45842
5025,45843
5025,45844
5025,45845
5025,45846
5025,45847
5025,45848
5025,45849
5025,45850
5025,45851
5025,45852
5025,45853
5025,45854
5025,45855
5025,45856
5025,45857
5025,45858
5025,45859
5025,45860
5025,45861
5025,45862
5025,45863
5025,45864
5025,45865
5025,45866
5025,45867
5025,45868
5025,45869
5025,45870
5025,45871
5025,45872
5025,45873
5025,45874
5025,45875
5025,45876
5025,45877
5025,45878
5025,45879
5025,45880
5025,45881
5025,45882
5025,45883
5025,45884
5026,45824
5026,45825
5026,45826
5026,45827
5026,45828
5026,45829
5026,45830
5026,45831
5026,45832
5026,45833
5026,45834
5026,45835
5026,45836
5026,45837
5026,45838
5026,45839
5026,45840
5026,45841
5026,45842
5026,45843
5026,45844
5026,45845
5026,45846
5026,45847
5026,45848
5026,45849
5026,45850
5026,45851
5026,45852
5026,45853
5026,45854
5026,45855
5026,45856
5026,45857
5026,45858
5026,45859
5026,45860
5026,45861
5026,45862
5026,45863
5026,45864
5026,45865
5026,45866
5026,45867
5026,45868
5026,45869
5026,45870
5026,45871
5026,45872
5026,45873
5026,45874
5026,45875
5026,45876
5026,45877
5026,45878
5026,45879
5026,45880
5026,45881
5026,45882
5026,45883
5026,45884
5026,45885
5027,45824
5027,45825
5027,45826
5027,45827
5027,45828
5027,45829
5027,45830
5027,45831
5027,45832
5027,45833
5027,45834
5027,45835
5027,45836
5027,45837
5027,45838
5027,45839
5027,45840
5027,45841
5027,45842
5027,45843
5027,45844
5027,45845
5027,45846
5027,45847
5027,45848
5027,45849
5027,45850
5027,45851
5027,45852
5027,45853
5027,45854
5027,45855
5027,45856
5027,45857
5027,45858
5027,45859
5027,45860
5027,45861
5027,45862
5027,45863
5027,45864
5027,45865
5027,45866
5027,45867
5027,45868
5027,45869
5027,45870
5027,45871
5027,45872
5027,45873
5027,45874
5027,45875
5027,45876
5027,45877
5027,45878
5027,45879
5027,45880
5027,45881
5027,45882
5027,45883
5027,45884
5027,45885
5027,45886
5028,45823
5028,45824
5028,45825
5028,45826
5028,45827
5028,45828
5028,45829
5028,45830
5028,45831
5028,45832
5028,45833
5028,45834
5028,45835
5028,45836
5028,45837
5028,45838
5028,45839
5028,45840
5028,45841
5028,45842
5028,45843
5028,45844
5028,45845
5028,45846
5028,45847
5028,45848
5028,45849
5028,45850
5028,45851
5028,45852
5028,45853
5028,45854
5028,45855
5028,45856
5028,45857
5028,45858
5028,45859
5028,45860
5028,45861
5028,45862
5028,45863
5028,45864
5028,45865
5028,45866
5028,45867
5028,45868
5028,45869
5028,45870
5028,45871
5028,45872
5028,45873
5028,45874
5028,45875
5028,45876
5028,45877
5028,45878
5028,45879
5028,45880
5028,45881
5028,45882
5028,45883
5028,45884
5028,45885
5028,45886
5028,45887
5029,45822
5029,45823
5029,45824
5029,45825
5029,45826
5029,45827
5029,45828
5029,45829
5029,45830
5029,45831
5029,45832
5029,45833
5029,45834
5029,45835
5029,45836
5029,45837
5029,45838
5029,45839
5029,45840
5029,45841
5029,45842
5029,45843
5029,45844
5029,45845
5029,45846
5029,45847
5029,45848
5029,45849
5029,45850
5029,45851
5029,45852
5029,45853
5029,45854
5029,45855
5029,45856
5029,45857
5029,45858
5029,45859
5029,45860
5029,45861
5029,45862
5029,45863
5029,45864
5029,45865
5029,45866
5029,45867
5029,45868
5029,45869
5029,45870
5029,45871
5029,45872
5029,45873
5029,45874
5029,45875
5029,45876
5029,45877
5029,45878
5029,45879
5029,45880
5029,45881
5029,45882
5029,45883
5029,45884
5029,45885
5029,45886
5029,45887
5029,45888
5029,45889
5030,45821
5030,45822
5030,45823
5030,45824
5030,45825
5030,45826
5030,45827
5030,45828
5030,45829
5030,45830
5030,45831
5030,45832
5030,45833
5030,45834
5030,45835
5030,45836
5030,45837
5030,45838
5030,45839
5030,45840
5030,45841
5030,45842
5030,45843
5030,45844
5030,45845
5030,45846
5030,45847
5030,45848
5030,45849
5030,45850
5030,45851
5030,45852
5030,45853
5030,45854
5030,45855
5030,45856
5030,45857
5030,45858
5030,45859
5030,45860
5030,45861
5030,45862
5030,45863
5030,45864
5030,45865
5030,45866
5030,45867
5030,45868
5030,45869
5030,45870
5030,45871
5030,45872
5030,45873
5030,45874
5030,45875
5030,45876
5030,45877
5030,45878
5030,45879
5030,45880
5030,45881
5030,45882
5030,45883
5030,45884
5030,45885
5030,45886
5030,45887
5030,45888
5030,45889
5030,45890
5031,45820
5031,45821
5031,45822
5031,45823
5031,45824
5031,45825
5031,45826
5031,45827
5031,45828
5031,45829
5031,45830
5031,45831
5031,45832
5031,45833
5031,45834
5031,45835
5031,45836
5031,45837
5031,45838
5031,45839
5031,45840
5031,45841
5031,45842
5031,45843
5031,45844
5031,45845
5031,45846
5031,45847
5031,45848
5031,45849
5031,45850
5031,45851
5031,45852
5031,45853
5031,45854
5031,45855
5031,45856
5031,45857
5031,45858
5031,45859
5031,45860
5031,45861
5031,45862
5031,45863
5031,45864
5031,45865
5031,45866
5031,45867
5031,45868
5031,45869
5031,45870
5031,45871
5031,45872
5031,45873
5031,45874
5031,45875
5031,45876
5031,45877
5031,45878
5031,45879
5031,45880
5031,45881
5031,45882
5031,45883
5031,45884
5031,45885
5031,45886
5031,45887
5031,45888
5031,45889
5031,45890
5031,45891
5032,45819
5032,45820
5032,45821
5032,45822
5032,45823
5032,45824
5032,45825
5032,45826
5032,45827
5032,45828
5032,45829
5032,45830
5032,45831
5032,45832
5032,45833
5032,45834
5032,45835
5032,45836
5032,45837
5032,45838
5032,45839
5032,45840
5032,45841
5032,45842
5032,45843
5032,45844
5032,45845
5032,45846
5032,45847
5032,45848
5032,45849
5032,45850
5032,45851
5032,45852
5032,45853
5032,45854
5032,45855
5032,45856
5032,45857
5032,45858
5032,45859
5032,45860
5032,45861
5032,45862
5032,45863
5032,45864
5032,45865
5032,45866
5032,45867
5032,45868
5032,45869
5032,45870
5032,45871
5032,45872
5032,45873
5032,45874
5032,45875
5032,45876
5032,45877
5032,45878
5032,45879
5032,45880
5032,45881
5032,45882
5032,45883
5032,45884
5032,45885
5032,45886
5032,45887
5032,45888
5032,45889
5032,45890
5032,45891
5032,45892
5033,45818
5033,45819
5033,45820
5033,45821
5033,45822
5033,45823
5033,45824
5033,45825
5033,45826
5033,45827
5033,45828
5033,45829
5033,45830
5033,45831
5033,45832
5033,45833
5033,45834
5033,45835
5033,45836
5033,45837
5033,45838
5033,45839
5033,45840
5033,45841
5033,45842
5033,45843
5033,45844
5033,45845
5033,45846
5033,45847
5033,45848
5033,45849
5033,45850
5033,45851
5033,45852
5033,45853
5033,45854
5033,45855
5033,45856
5033,45857
5033,45858
5033,45859
5033,45860
5033,45861
