"X","Y"
23723,14348
23723,14352
23723,14353
23724,14345
23724,14346
23724,14347
23724,14348
23724,14349
23724,14350
23724,14351
23724,14352
23724,14353
23724,14354
23724,14355
23724,14356
23724,14357
23724,14358
23724,14361
23724,14364
23724,14365
23724,14366
23725,14343
23725,14344
23725,14345
23725,14346
23725,14347
23725,14348
23725,14349
23725,14350
23725,14351
23725,14352
23725,14353
23725,14354
23725,14355
23725,14356
23725,14357
23725,14358
23725,14359
23725,14360
23725,14361
23725,14362
23725,14363
23725,14364
23725,14365
23725,14366
23725,14367
23725,14368
23725,14369
23726,14333
23726,14334
23726,14336
23726,14337
23726,14338
23726,14339
23726,14340
23726,14341
23726,14342
23726,14343
23726,14344
23726,14345
23726,14346
23726,14347
23726,14348
23726,14349
23726,14350
23726,14351
23726,14352
23726,14353
23726,14354
23726,14355
23726,14356
23726,14357
23726,14358
23726,14359
23726,14360
23726,14361
23726,14362
23726,14363
23726,14364
23726,14365
23726,14366
23726,14367
23726,14368
23726,14369
23726,14370
23726,14371
23726,14372
23727,14329
23727,14330
23727,14331
23727,14332
23727,14333
23727,14334
23727,14335
23727,14336
23727,14337
23727,14338
23727,14339
23727,14340
23727,14341
23727,14342
23727,14343
23727,14344
23727,14345
23727,14346
23727,14347
23727,14348
23727,14349
23727,14350
23727,14351
23727,14352
23727,14353
23727,14354
23727,14355
23727,14356
23727,14357
23727,14358
23727,14359
23727,14360
23727,14361
23727,14362
23727,14363
23727,14364
23727,14365
23727,14366
23727,14367
23727,14368
23727,14369
23727,14370
23727,14371
23727,14372
23727,14373
23727,14374
23727,14375
23728,14319
23728,14321
23728,14322
23728,14323
23728,14324
23728,14326
23728,14327
23728,14328
23728,14329
23728,14330
23728,14331
23728,14332
23728,14333
23728,14334
23728,14335
23728,14336
23728,14337
23728,14338
23728,14339
23728,14340
23728,14341
23728,14342
23728,14343
23728,14344
23728,14345
23728,14346
23728,14347
23728,14348
23728,14349
23728,14350
23728,14351
23728,14352
23728,14353
23728,14354
23728,14355
23728,14356
23728,14357
23728,14358
23728,14359
23728,14360
23728,14361
23728,14362
23728,14363
23728,14364
23728,14365
23728,14366
23728,14367
23728,14368
23728,14369
23728,14370
23728,14371
23728,14372
23728,14373
23728,14374
23728,14375
23728,14376
23728,14385
23729,14316
23729,14317
23729,14318
23729,14319
23729,14320
23729,14321
23729,14322
23729,14323
23729,14324
23729,14325
23729,14326
23729,14327
23729,14328
23729,14329
23729,14330
23729,14331
23729,14332
23729,14333
23729,14334
23729,14335
23729,14336
23729,14337
23729,14338
23729,14339
23729,14340
23729,14341
23729,14342
23729,14343
23729,14344
23729,14345
23729,14346
23729,14347
23729,14348
23729,14349
23729,14350
23729,14351
23729,14352
23729,14353
23729,14354
23729,14355
23729,14356
23729,14357
23729,14358
23729,14359
23729,14360
23729,14361
23729,14362
23729,14363
23729,14364
23729,14365
23729,14366
23729,14367
