"X","Y"
9692,8475
9693,8472
9693,8473
9693,8474
9693,8475
9693,8476
9693,8477
9693,8478
9694,8471
9694,8472
9694,8473
9694,8474
9694,8475
9694,8476
9694,8477
9694,8478
9694,8479
9695,8470
9695,8471
9695,8472
9695,8473
9695,8474
9695,8475
9695,8476
9695,8477
9695,8478
9695,8479
9695,8480
9695,8484
9695,8485
9695,8486
9695,8487
9696,8470
9696,8471
9696,8472
9696,8473
9696,8474
9696,8475
9696,8476
9696,8477
9696,8478
9696,8479
9696,8480
9696,8481
9696,8482
9696,8483
9696,8484
9696,8485
9696,8486
9696,8487
9696,8488
9696,8489
9696,8490
9697,8470
9697,8471
9697,8472
9697,8473
9697,8474
9697,8475
9697,8476
9697,8477
9697,8478
9697,8479
9697,8480
9697,8481
9697,8482
9697,8483
9697,8484
9697,8485
9697,8486
9697,8487
9697,8488
9697,8489
9697,8490
9697,8491
9698,8469
9698,8470
9698,8471
9698,8472
9698,8473
9698,8474
9698,8475
9698,8476
9698,8477
9698,8478
9698,8479
9698,8480
9698,8481
9698,8482
9698,8483
9698,8484
9698,8485
9698,8486
9698,8487
9698,8488
9698,8489
9698,8490
9698,8491
9698,8492
9698,8514
9698,8515
9698,8516
9699,8469
9699,8470
9699,8471
9699,8472
9699,8473
9699,8474
9699,8475
9699,8476
9699,8477
9699,8478
9699,8479
9699,8480
9699,8481
9699,8482
9699,8483
9699,8484
9699,8485
9699,8486
9699,8487
9699,8488
9699,8489
9699,8490
9699,8491
9699,8492
9699,8511
9699,8512
9699,8513
9699,8514
9699,8515
9699,8516
9699,8517
9699,8518
9700,8469
9700,8470
9700,8471
9700,8472
9700,8473
9700,8474
9700,8475
9700,8476
9700,8477
9700,8478
9700,8479
9700,8480
9700,8481
9700,8482
9700,8483
9700,8484
9700,8485
9700,8486
9700,8487
9700,8488
9700,8489
9700,8490
9700,8491
9700,8492
9700,8493
9700,8509
9700,8510
9700,8511
9700,8512
9700,8513
9700,8514
9700,8515
9700,8516
9700,8517
9700,8518
9700,8519
9701,8469
9701,8470
9701,8471
9701,8472
9701,8473
9701,8474
9701,8475
9701,8476
9701,8477
9701,8478
9701,8479
9701,8480
9701,8481
9701,8482
9701,8483
9701,8484
9701,8485
9701,8486
9701,8487
9701,8488
9701,8489
9701,8490
9701,8491
9701,8492
9701,8493
9701,8494
9701,8506
9701,8507
9701,8508
9701,8509
9701,8510
9701,8511
9701,8512
9701,8513
9701,8514
9701,8515
9701,8516
9701,8517
9701,8518
9701,8519
9701,8520
9702,8470
9702,8471
9702,8472
9702,8473
9702,8474
9702,8475
9702,8476
9702,8477
9702,8478
9702,8479
9702,8480
9702,8481
9702,8482
9702,8483
9702,8484
9702,8485
9702,8486
9702,8487
9702,8488
9702,8489
9702,8490
9702,8491
9702,8492
9702,8493
9702,8494
9702,8495
9702,8503
9702,8504
9702,8505
9702,8506
9702,8507
9702,8508
9702,8509
9702,8510
9702,8511
9702,8512
9702,8513
9702,8514
9702,8515
9702,8516
9702,8517
