"X","Y"
9685,48290
9685,48291
9685,48292
9685,48294
9685,48296
9685,48298
9685,48301
9686,48287
9686,48288
9686,48289
9686,48290
9686,48291
9686,48292
9686,48293
9686,48294
9686,48295
9686,48296
9686,48297
9686,48298
9686,48299
9686,48300
9686,48301
9686,48302
9686,48303
9686,48304
9686,48305
9687,48286
9687,48287
9687,48288
9687,48289
9687,48290
9687,48291
9687,48292
9687,48293
9687,48294
9687,48295
9687,48296
9687,48297
9687,48298
9687,48299
9687,48300
9687,48301
9687,48302
9687,48303
9687,48304
9687,48305
9687,48306
9687,48307
9687,48308
9688,48285
9688,48286
9688,48287
9688,48288
9688,48289
9688,48290
9688,48291
9688,48292
9688,48293
9688,48294
9688,48295
9688,48296
9688,48297
9688,48298
9688,48299
9688,48300
9688,48301
9688,48302
9688,48303
9688,48304
9688,48305
9688,48306
9688,48307
9688,48308
9688,48309
9688,48310
9688,48311
9689,48284
9689,48285
9689,48286
9689,48287
9689,48288
9689,48289
9689,48290
9689,48291
9689,48292
9689,48293
9689,48294
9689,48295
9689,48296
9689,48297
9689,48298
9689,48299
9689,48300
9689,48301
9689,48302
9689,48303
9689,48304
9689,48305
9689,48306
9689,48307
9689,48308
9689,48309
9689,48310
9689,48311
9689,48312
9689,48313
9689,48314
9690,48284
9690,48285
9690,48286
9690,48287
9690,48288
9690,48289
9690,48290
9690,48291
9690,48292
9690,48293
9690,48294
9690,48295
9690,48296
9690,48297
9690,48298
9690,48299
9690,48300
9690,48301
9690,48302
9690,48303
9690,48304
9690,48305
9690,48306
9690,48307
9690,48308
9690,48309
9690,48310
9690,48311
9690,48312
9690,48313
9690,48314
9690,48315
9691,48282
9691,48283
9691,48284
9691,48285
9691,48286
9691,48287
9691,48288
9691,48289
9691,48290
9691,48291
9691,48292
9691,48293
9691,48294
9691,48295
9691,48296
9691,48297
9691,48298
9691,48299
9691,48300
9691,48301
9691,48302
9691,48303
9691,48304
9691,48305
9691,48306
9691,48307
9691,48308
9691,48309
9691,48310
9691,48311
9691,48312
9691,48313
9691,48314
9691,48315
9691,48316
9691,48317
9692,48281
9692,48282
9692,48283
9692,48284
9692,48285
9692,48286
9692,48287
9692,48288
9692,48289
9692,48290
9692,48291
9692,48292
9692,48293
9692,48294
9692,48295
9692,48296
9692,48297
9692,48298
9692,48299
9692,48300
9692,48301
9692,48302
9692,48303
9692,48304
9692,48305
9692,48306
9692,48307
9692,48308
9692,48309
9692,48310
9692,48311
9692,48312
9692,48313
9692,48314
9692,48315
9692,48316
9692,48317
9692,48318
9692,48319
9693,48280
9693,48281
9693,48282
9693,48283
9693,48284
9693,48285
9693,48286
9693,48287
9693,48288
9693,48289
9693,48290
9693,48291
9693,48292
9693,48293
9693,48294
9693,48295
9693,48296
9693,48297
9693,48298
9693,48299
9693,48300
9693,48301
9693,48302
9693,48303
9693,48304
9693,48305
9693,48306
9693,48307
9693,48308
9693,48309
9693,48310
9693,48311
9693,48312
9693,48313
9693,48314
9693,48315
9693,48316
9693,48317
9693,48318
9693,48319
9693,48320
9694,48277
9694,48278
9694,48279
9694,48280
9694,48281
9694,48282
9694,48283
9694,48284
9694,48285
9694,48286
9694,48287
9694,48288
9694,48289
9694,48290
9694,48291
9694,48292
9694,48293
9694,48294
9694,48295
9694,48296
9694,48297
9694,48298
9694,48299
9694,48300
9694,48301
9694,48302
9694,48303
9694,48304
9694,48305
9694,48306
9694,48307
9694,48308
9694,48309
9694,48310
9694,48311
9694,48312
9694,48313
9694,48314
9694,48315
9694,48316
9694,48317
9694,48318
9694,48319
9694,48320
9694,48321
9695,48276
9695,48277
9695,48278
9695,48279
9695,48280
9695,48281
9695,48282
9695,48283
9695,48284
9695,48285
9695,48286
9695,48287
9695,48288
9695,48289
9695,48290
9695,48291
9695,48292
9695,48293
9695,48294
9695,48295
9695,48296
9695,48297
9695,48298
9695,48299
9695,48300
9695,48301
9695,48302
9695,48303
9695,48304
9695,48305
9695,48306
9695,48307
9695,48308
9695,48309
9695,48310
9695,48311
9695,48312
9695,48313
9695,48314
9695,48315
9695,48316
9695,48317
9695,48318
9695,48319
9695,48320
9695,48321
9696,48275
9696,48276
9696,48277
9696,48278
9696,48279
9696,48280
9696,48281
9696,48282
9696,48283
9696,48284
9696,48285
9696,48286
9696,48287
9696,48288
9696,48289
9696,48290
9696,48291
9696,48292
9696,48293
9696,48294
9696,48295
9696,48296
9696,48297
9696,48298
9696,48299
9696,48300
9696,48301
9696,48302
9696,48303
9696,48304
9696,48305
9696,48306
9696,48307
9696,48308
9696,48309
9696,48310
9696,48311
9696,48312
9696,48313
9696,48314
9696,48315
9696,48316
9696,48317
9696,48318
9696,48319
9696,48320
9696,48321
9696,48322
9697,48272
9697,48274
9697,48275
9697,48276
9697,48277
9697,48278
9697,48279
9697,48280
9697,48281
9697,48282
9697,48283
9697,48284
9697,48285
9697,48286
9697,48287
9697,48288
9697,48289
9697,48290
9697,48291
9697,48292
9697,48293
9697,48294
9697,48295
9697,48296
9697,48297
9697,48298
9697,48299
9697,48300
9697,48301
9697,48302
9697,48303
9697,48304
9697,48305
9697,48306
9697,48307
9697,48308
9697,48309
9697,48310
9697,48311
9697,48312
9697,48313
9697,48314
9697,48315
9697,48316
9697,48317
9697,48318
9697,48319
9697,48320
9697,48321
9697,48322
9698,48269
9698,48270
9698,48271
9698,48272
9698,48273
9698,48274
9698,48275
9698,48276
9698,48277
9698,48278
9698,48279
9698,48280
9698,48281
9698,48282
9698,48283
9698,48284
9698,48285
9698,48286
9698,48287
9698,48288
9698,48289
9698,48290
9698,48291
9698,48292
9698,48293
9698,48294
9698,48295
9698,48296
9698,48297
9698,48298
9698,48299
9698,48300
9698,48301
9698,48302
9698,48303
9698,48304
9698,48305
9698,48306
9698,48307
9698,48308
9698,48309
9698,48310
9698,48311
9698,48312
9698,48313
9698,48314
9698,48315
9698,48316
9698,48317
9698,48318
9698,48319
9698,48320
9698,48321
9698,48322
9698,48323
9699,48268
9699,48269
9699,48270
9699,48271
9699,48272
9699,48273
9699,48274
9699,48275
9699,48276
9699,48277
9699,48278
9699,48279
9699,48280
9699,48281
9699,48282
9699,48283
9699,48284
9699,48285
9699,48286
9699,48287
9699,48288
9699,48289
9699,48290
9699,48291
9699,48292
9699,48293
9699,48294
9699,48295
9699,48296
9699,48297
9699,48298
9699,48299
9699,48300
9699,48301
9699,48302
9699,48303
9699,48304
9699,48305
9699,48306
9699,48307
9699,48308
9699,48309
9699,48310
9699,48311
9699,48312
9699,48313
9699,48314
9699,48315
9699,48316
9699,48317
9699,48318
9699,48319
9699,48320
9699,48321
9699,48322
9699,48323
9699,48324
9700,48267
9700,48268
9700,48269
9700,48270
9700,48271
9700,48272
9700,48273
9700,48274
9700,48275
9700,48276
9700,48277
9700,48278
9700,48279
9700,48280
9700,48281
9700,48282
9700,48283
9700,48284
9700,48285
9700,48286
9700,48287
9700,48288
9700,48289
9700,48290
9700,48291
9700,48292
9700,48293
9700,48294
9700,48295
9700,48296
9700,48297
9700,48298
9700,48299
9700,48300
9700,48301
9700,48302
9700,48303
9700,48304
9700,48305
9700,48306
9700,48307
9700,48308
9700,48309
9700,48310
9700,48311
9700,48312
9700,48313
9700,48314
9700,48315
9700,48316
9700,48317
9700,48318
9700,48319
9700,48320
9700,48321
9700,48322
9700,48323
9700,48324
9700,48325
9701,48267
9701,48268
9701,48269
9701,48270
9701,48271
9701,48272
9701,48273
9701,48274
9701,48275
9701,48276
9701,48277
9701,48278
9701,48279
9701,48280
9701,48281
9701,48282
9701,48283
9701,48284
9701,48285
9701,48286
9701,48287
9701,48288
9701,48289
9701,48290
9701,48291
9701,48292
9701,48293
9701,48294
9701,48295
9701,48296
9701,48297
9701,48298
9701,48299
9701,48300
9701,48301
9701,48302
9701,48303
9701,48304
9701,48305
9701,48306
9701,48307
9701,48308
9701,48309
9701,48310
9701,48311
9701,48312
9701,48313
9701,48314
9701,48315
9701,48316
9701,48317
9701,48318
9701,48319
9701,48320
9701,48321
9701,48322
9701,48323
9701,48324
9701,48325
9702,48266
9702,48267
9702,48268
9702,48269
9702,48270
9702,48271
9702,48272
9702,48273
9702,48274
9702,48275
9702,48276
9702,48277
9702,48278
9702,48279
9702,48280
9702,48281
9702,48282
9702,48283
9702,48284
9702,48285
9702,48286
9702,48287
9702,48288
9702,48289
9702,48290
9702,48291
9702,48292
9702,48293
9702,48294
9702,48295
9702,48296
9702,48297
9702,48298
9702,48299
9702,48300
9702,48301
9702,48302
9702,48303
9702,48304
9702,48305
9702,48306
9702,48307
9702,48308
9702,48309
9702,48310
9702,48311
9702,48312
9702,48313
9702,48314
9702,48315
9702,48316
9702,48317
9702,48318
9702,48319
9702,48320
9702,48321
9702,48322
9702,48323
9702,48324
9702,48325
9702,48326
9703,48266
9703,48267
9703,48268
9703,48269
9703,48270
9703,48271
9703,48272
9703,48273
9703,48274
9703,48275
9703,48276
9703,48277
9703,48278
9703,48279
9703,48280
9703,48281
9703,48282
9703,48283
9703,48284
9703,48285
9703,48286
9703,48287
9703,48288
9703,48289
9703,48290
9703,48291
9703,48292
9703,48293
9703,48294
9703,48295
9703,48296
9703,48297
9703,48298
9703,48299
9703,48300
9703,48301
9703,48302
9703,48303
9703,48304
9703,48305
9703,48306
9703,48307
9703,48308
9703,48309
9703,48310
9703,48311
9703,48312
9703,48313
9703,48314
9703,48315
9703,48316
9703,48317
9703,48318
9703,48319
9703,48320
9703,48321
9703,48322
9703,48323
9703,48324
9703,48325
9703,48326
9703,48327
9704,48265
9704,48266
9704,48267
9704,48268
9704,48269
9704,48270
9704,48271
9704,48272
9704,48273
9704,48274
9704,48275
9704,48276
9704,48277
9704,48278
9704,48279
9704,48280
9704,48281
9704,48282
9704,48283
9704,48284
9704,48285
9704,48286
9704,48287
9704,48288
9704,48289
9704,48290
9704,48291
9704,48292
9704,48293
9704,48294
9704,48295
9704,48296
9704,48297
9704,48298
9704,48299
9704,48300
9704,48301
9704,48302
9704,48303
9704,48304
9704,48305
9704,48306
9704,48307
9704,48308
9704,48309
9704,48310
9704,48311
9704,48312
9704,48313
9704,48314
9704,48315
9704,48316
9704,48317
9704,48318
9704,48319
9704,48320
9704,48321
9704,48322
9704,48323
9704,48324
9704,48325
9704,48326
9704,48327
9704,48328
9705,48265
9705,48266
9705,48267
9705,48268
9705,48269
9705,48270
9705,48271
9705,48272
9705,48273
9705,48274
9705,48275
9705,48276
9705,48277
9705,48278
9705,48279
9705,48280
9705,48281
9705,48282
9705,48283
9705,48284
9705,48285
9705,48286
9705,48287
9705,48288
9705,48289
9705,48290
9705,48291
9705,48292
9705,48293
9705,48294
9705,48295
9705,48296
9705,48297
9705,48298
9705,48299
9705,48300
9705,48301
9705,48302
9705,48303
9705,48304
9705,48305
9705,48306
9705,48307
9705,48308
9705,48309
9705,48310
9705,48311
9705,48312
9705,48313
9705,48314
