"X","Y"
6806,46961
6807,46958
6807,46959
6807,46960
6807,46961
6807,46962
6807,46963
6807,46990
6808,46955
6808,46956
6808,46957
6808,46958
6808,46959
6808,46960
6808,46961
6808,46962
6808,46963
6808,46964
6808,46988
6808,46989
6808,46990
6808,46991
6808,46992
6809,46945
6809,46947
6809,46951
6809,46952
6809,46953
6809,46954
6809,46955
6809,46956
6809,46957
6809,46958
6809,46959
6809,46960
6809,46961
6809,46962
6809,46963
6809,46964
6809,46965
6809,46987
6809,46988
6809,46989
6809,46990
6809,46991
6809,46992
6809,46993
6810,46942
6810,46943
6810,46944
6810,46945
6810,46946
6810,46947
6810,46948
6810,46949
6810,46950
6810,46951
6810,46952
6810,46953
6810,46954
6810,46955
6810,46956
6810,46957
6810,46958
6810,46959
6810,46960
6810,46961
6810,46962
6810,46963
6810,46964
6810,46965
6810,46986
6810,46987
6810,46988
6810,46989
6810,46990
6810,46991
6810,46992
6810,46993
6810,46994
6811,46941
6811,46942
6811,46943
6811,46944
6811,46945
6811,46946
6811,46947
6811,46948
6811,46949
6811,46950
6811,46951
6811,46952
6811,46953
6811,46954
6811,46955
6811,46956
6811,46957
6811,46958
6811,46959
6811,46960
6811,46961
6811,46962
6811,46963
6811,46964
6811,46965
6811,46966
6811,46985
6811,46986
6811,46987
6811,46988
6811,46989
6811,46990
6811,46991
6811,46992
6811,46993
6811,46994
6811,46995
6811,46996
6812,46940
6812,46941
6812,46942
6812,46943
6812,46944
6812,46945
6812,46946
6812,46947
6812,46948
6812,46949
6812,46950
6812,46951
6812,46952
6812,46953
6812,46954
6812,46955
6812,46956
6812,46957
6812,46958
6812,46959
6812,46960
6812,46961
6812,46962
6812,46963
6812,46964
6812,46965
6812,46984
6812,46985
6812,46986
6812,46987
6812,46988
6812,46989
6812,46990
6812,46991
6812,46992
6812,46993
6812,46994
6812,46995
6812,46996
6812,46997
6812,46998
6813,46940
6813,46941
6813,46942
6813,46943
6813,46944
6813,46945
6813,46946
6813,46947
6813,46948
6813,46949
6813,46950
6813,46951
6813,46952
6813,46953
6813,46954
6813,46955
6813,46956
6813,46957
6813,46958
6813,46959
6813,46960
6813,46961
6813,46962
6813,46963
6813,46964
6813,46965
6813,46984
6813,46985
6813,46986
6813,46987
6813,46988
6813,46989
6813,46990
6813,46991
6813,46992
6813,46993
6813,46994
6813,46995
6813,46996
6813,46997
6813,46998
6813,46999
6814,46921
6814,46939
6814,46940
6814,46941
6814,46942
6814,46943
6814,46944
6814,46945
6814,46946
6814,46947
6814,46948
6814,46949
6814,46950
6814,46951
6814,46952
6814,46953
6814,46954
6814,46955
6814,46956
6814,46957
6814,46958
6814,46959
6814,46960
6814,46961
6814,46962
6814,46963
6814,46964
6814,46965
6814,46975
6814,46983
6814,46984
6814,46985
6814,46986
6814,46987
6814,46988
6814,46989
6814,46990
6814,46991
6814,46992
6814,46993
6814,46994
6814,46995
6814,46996
6814,46997
6814,46998
6814,46999
6814,47000
6815,46915
6815,46918
6815,46919
6815,46920
6815,46921
6815,46922
6815,46923
6815,46924
6815,46939
6815,46940
6815,46941
6815,46942
6815,46943
6815,46944
6815,46945
6815,46946
6815,46947
6815,46948
6815,46949
6815,46950
6815,46951
6815,46952
6815,46953
6815,46954
6815,46955
6815,46956
6815,46957
6815,46958
6815,46959
6815,46960
6815,46961
6815,46962
6815,46963
6815,46964
6815,46965
6815,46966
6815,46972
6815,46973
6815,46974
6815,46975
6815,46976
6815,46977
6815,46978
6815,46983
6815,46984
6815,46985
6815,46986
6815,46987
6815,46988
6815,46989
6815,46990
6815,46991
6815,46992
6815,46993
6815,46994
6815,46995
6815,46996
6815,46997
6815,46998
6815,46999
6815,47000
6816,46912
6816,46913
6816,46914
6816,46915
6816,46916
6816,46917
6816,46918
6816,46919
6816,46920
6816,46921
6816,46922
6816,46923
6816,46924
6816,46925
6816,46929
6816,46938
6816,46939
6816,46940
6816,46941
6816,46942
6816,46943
6816,46944
6816,46945
6816,46946
6816,46947
6816,46948
6816,46949
6816,46950
6816,46951
6816,46952
6816,46953
6816,46954
6816,46955
6816,46956
6816,46957
6816,46958
6816,46959
6816,46960
6816,46961
6816,46962
6816,46963
6816,46964
6816,46965
6816,46966
6816,46967
6816,46968
6816,46969
6816,46970
6816,46971
6816,46972
6816,46973
6816,46974
6816,46975
6816,46976
6816,46977
6816,46978
6816,46979
6816,46983
6816,46984
6816,46985
6816,46986
6816,46987
6816,46988
6816,46989
6816,46990
6816,46991
6816,46992
6816,46993
6816,46994
6816,46995
6816,46996
6816,46997
6816,46998
6816,46999
6816,47000
6816,47001
6817,46911
6817,46912
6817,46913
6817,46914
6817,46915
6817,46916
6817,46917
6817,46918
6817,46919
6817,46920
6817,46921
6817,46922
6817,46923
6817,46924
6817,46925
6817,46926
6817,46927
6817,46928
6817,46929
6817,46930
6817,46931
6817,46932
6817,46935
6817,46936
6817,46937
6817,46938
6817,46939
6817,46940
6817,46941
6817,46942
6817,46943
6817,46944
6817,46945
6817,46946
6817,46947
6817,46948
6817,46949
6817,46950
6817,46951
6817,46952
6817,46953
6817,46954
6817,46955
6817,46956
6817,46957
6817,46958
6817,46959
6817,46960
6817,46961
6817,46962
6817,46963
6817,46964
6817,46965
6817,46966
6817,46967
6817,46968
6817,46969
6817,46970
6817,46971
6817,46972
6817,46973
6817,46974
6817,46975
6817,46976
6817,46977
6817,46978
6817,46979
6817,46980
6817,46981
6817,46982
6817,46983
6817,46984
6817,46985
6817,46986
6817,46987
6817,46988
6817,46989
6817,46990
6817,46991
6817,46992
6817,46993
6817,46994
6817,46995
6817,46996
6817,46997
6817,46998
6817,46999
6817,47000
6817,47001
6818,46908
6818,46909
6818,46910
6818,46911
6818,46912
6818,46913
6818,46914
6818,46915
6818,46916
6818,46917
6818,46918
6818,46919
6818,46920
6818,46921
6818,46922
6818,46923
6818,46924
6818,46925
6818,46926
6818,46927
6818,46928
6818,46929
6818,46930
6818,46931
6818,46932
6818,46933
6818,46934
6818,46935
6818,46936
6818,46937
6818,46938
6818,46939
6818,46940
6818,46941
6818,46942
6818,46943
6818,46944
6818,46945
6818,46946
6818,46947
6818,46948
6818,46949
6818,46950
6818,46951
6818,46952
6818,46953
6818,46954
6818,46955
6818,46956
6818,46957
6818,46958
6818,46959
6818,46960
6818,46961
6818,46962
6818,46963
6818,46964
6818,46965
6818,46966
6818,46967
6818,46968
6818,46969
6818,46970
6818,46971
6818,46972
6818,46973
6818,46974
6818,46975
6818,46976
6818,46977
6818,46978
6818,46979
6818,46980
6818,46981
6818,46982
6818,46983
6818,46984
6818,46985
6818,46986
6818,46987
6818,46988
6818,46989
6818,46990
6818,46991
6818,46992
6818,46993
6818,46994
6818,46995
6818,46996
6818,46997
6818,46998
6818,46999
6818,47000
6818,47001
6819,46904
6819,46907
6819,46908
6819,46909
6819,46910
6819,46911
6819,46912
6819,46913
6819,46914
6819,46915
6819,46916
6819,46917
6819,46918
6819,46919
6819,46920
6819,46921
6819,46922
6819,46923
6819,46924
6819,46925
6819,46926
6819,46927
6819,46928
6819,46929
6819,46930
6819,46931
6819,46932
6819,46933
6819,46934
6819,46935
6819,46936
6819,46937
6819,46938
6819,46939
6819,46940
6819,46941
6819,46942
6819,46943
6819,46944
6819,46945
6819,46946
6819,46947
6819,46948
6819,46949
6819,46950
6819,46951
6819,46952
6819,46953
6819,46954
6819,46955
6819,46956
6819,46957
6819,46958
6819,46959
6819,46960
6819,46961
6819,46962
6819,46963
6819,46964
6819,46965
6819,46966
6819,46967
6819,46968
6819,46969
6819,46970
6819,46971
6819,46972
6819,46973
6819,46974
6819,46975
6819,46976
6819,46977
6819,46978
6819,46979
6819,46980
6819,46981
6819,46982
6819,46983
6819,46984
6819,46985
6819,46986
6819,46987
6819,46988
6819,46989
6819,46990
6819,46991
6819,46992
6819,46993
6819,46994
6819,46995
6819,46996
6819,46997
6819,46998
6819,46999
6819,47000
6819,47001
6820,46901
6820,46902
6820,46903
6820,46904
6820,46905
6820,46906
6820,46907
6820,46908
6820,46909
6820,46910
6820,46911
6820,46912
6820,46913
6820,46914
6820,46915
6820,46916
6820,46917
6820,46918
6820,46919
6820,46920
6820,46921
6820,46922
6820,46923
6820,46924
6820,46925
6820,46926
6820,46927
6820,46928
6820,46929
6820,46930
6820,46931
6820,46932
6820,46933
6820,46934
6820,46935
6820,46936
6820,46937
6820,46938
6820,46939
6820,46940
6820,46941
6820,46942
6820,46943
6820,46944
6820,46945
6820,46946
6820,46947
6820,46948
6820,46949
6820,46950
6820,46951
6820,46952
6820,46953
6820,46954
6820,46955
6820,46956
6820,46957
6820,46958
6820,46959
6820,46960
6820,46961
6820,46962
6820,46963
6820,46964
6820,46965
6820,46966
6820,46967
6820,46968
6820,46969
6820,46970
6820,46971
6820,46972
6820,46973
6820,46974
6820,46975
6820,46976
6820,46977
6820,46978
6820,46979
6820,46980
6820,46981
6820,46982
6820,46983
6820,46984
6820,46985
6820,46986
6820,46987
6820,46988
6820,46989
6820,46990
6820,46991
6820,46992
6820,46993
6820,46994
6820,46995
6820,46996
6820,46997
6820,46998
6820,46999
6820,47000
6820,47001
6821,46896
6821,46900
6821,46901
6821,46902
