"X","Y"
17026,26521
17026,26522
17026,26532
17026,26540
17026,26541
17026,26542
17027,26518
17027,26519
17027,26520
17027,26521
17027,26522
17027,26523
17027,26524
17027,26525
17027,26529
17027,26530
17027,26531
17027,26532
17027,26533
17027,26534
17027,26535
17027,26537
17027,26538
17027,26539
17027,26540
17027,26541
17027,26542
17027,26543
17027,26544
17028,26516
17028,26517
17028,26518
17028,26519
17028,26520
17028,26521
17028,26522
17028,26523
17028,26524
17028,26525
17028,26526
17028,26527
17028,26528
17028,26529
17028,26530
17028,26531
17028,26532
17028,26533
17028,26534
17028,26535
17028,26536
17028,26537
17028,26538
17028,26539
17028,26540
17028,26541
17028,26542
17028,26543
17028,26544
17028,26545
17029,26515
17029,26516
17029,26517
17029,26518
17029,26519
17029,26520
17029,26521
17029,26522
17029,26523
17029,26524
17029,26525
17029,26526
17029,26527
17029,26528
17029,26529
17029,26530
17029,26531
17029,26532
17029,26533
17029,26534
17029,26535
17029,26536
17029,26537
17029,26538
17029,26539
17029,26540
17029,26541
17029,26542
17029,26543
17029,26544
17029,26545
17029,26546
17030,26514
17030,26515
17030,26516
17030,26517
17030,26518
17030,26519
17030,26520
17030,26521
17030,26522
17030,26523
17030,26524
17030,26525
17030,26526
17030,26527
17030,26528
17030,26529
17030,26530
17030,26531
17030,26532
17030,26533
17030,26534
17030,26535
17030,26536
17030,26537
17030,26538
17030,26539
17030,26540
17030,26541
17030,26542
17030,26543
17030,26544
17030,26545
17030,26546
17031,26514
17031,26515
17031,26516
17031,26517
17031,26518
17031,26519
17031,26520
17031,26521
17031,26522
17031,26523
17031,26524
17031,26525
17031,26526
17031,26527
17031,26528
17031,26529
17031,26530
17031,26531
17031,26532
17031,26533
17031,26534
17031,26535
17031,26536
17031,26537
17031,26538
17031,26539
17031,26540
17031,26541
17031,26542
17031,26543
17031,26544
17031,26545
17031,26546
17031,26547
17031,26568
17032,26513
17032,26514
17032,26515
17032,26516
17032,26517
17032,26518
17032,26519
17032,26520
17032,26521
17032,26522
17032,26523
17032,26524
17032,26525
17032,26526
17032,26527
17032,26528
17032,26529
17032,26530
17032,26531
17032,26532
17032,26533
17032,26534
17032,26535
17032,26536
17032,26537
17032,26538
17032,26539
17032,26540
17032,26541
17032,26542
17032,26543
17032,26544
17032,26545
17032,26546
17032,26547
17032,26566
17032,26567
17032,26568
17032,26569
17032,26570
17033,26513
17033,26514
17033,26515
17033,26516
17033,26517
17033,26518
17033,26519
17033,26520
17033,26521
17033,26522
17033,26523
17033,26524
17033,26525
17033,26526
17033,26527
17033,26528
17033,26529
17033,26530
17033,26531
17033,26532
17033,26533
17033,26534
17033,26535
17033,26536
17033,26537
17033,26538
17033,26539
17033,26540
17033,26541
17033,26542
17033,26543
17033,26544
17033,26545
17033,26546
17033,26547
17033,26548
17033,26565
17033,26566
17033,26567
17033,26568
17033,26569
17033,26570
17033,26571
17034,26513
17034,26514
17034,26515
17034,26516
17034,26517
17034,26518
17034,26519
17034,26520
17034,26521
17034,26522
17034,26523
17034,26524
17034,26525
17034,26526
17034,26527
17034,26528
17034,26529
17034,26530
17034,26531
17034,26532
17034,26533
17034,26534
17034,26535
17034,26536
17034,26537
17034,26538
17034,26539
17034,26540
17034,26541
17034,26542
17034,26543
17034,26544
17034,26545
17034,26546
17034,26547
17034,26548
17034,26549
17034,26564
17034,26565
17034,26566
17034,26567
17034,26568
17034,26569
17034,26570
17034,26571
17034,26572
17035,26512
17035,26513
17035,26514
17035,26515
17035,26516
17035,26517
17035,26518
17035,26519
17035,26520
17035,26521
17035,26522
17035,26523
17035,26524
17035,26525
17035,26526
17035,26527
17035,26528
17035,26529
17035,26530
17035,26531
17035,26532
17035,26533
17035,26534
17035,26535
17035,26536
17035,26537
17035,26538
17035,26539
17035,26540
17035,26541
17035,26542
17035,26543
17035,26544
17035,26545
17035,26546
17035,26547
17035,26548
17035,26549
17035,26550
17035,26564
17035,26565
17035,26566
17035,26567
17035,26568
17035,26569
17035,26570
17035,26571
17035,26572
17036,26512
17036,26513
17036,26514
17036,26515
17036,26516
17036,26517
17036,26518
17036,26519
17036,26520
17036,26521
17036,26522
17036,26523
17036,26524
17036,26525
17036,26526
17036,26527
17036,26528
17036,26529
17036,26530
17036,26531
17036,26532
17036,26533
17036,26534
17036,26535
17036,26536
17036,26537
17036,26538
17036,26539
17036,26540
17036,26541
17036,26542
17036,26543
17036,26544
17036,26545
17036,26546
17036,26547
17036,26548
17036,26549
17036,26550
17036,26563
17036,26564
17036,26565
17036,26566
17036,26567
17036,26568
17036,26569
17036,26570
17036,26571
17036,26572
17036,26573
17037,26512
17037,26513
17037,26514
17037,26515
17037,26516
17037,26517
17037,26518
17037,26519
17037,26520
17037,26521
17037,26522
17037,26523
17037,26524
17037,26525
17037,26526
17037,26527
17037,26528
17037,26529
17037,26530
17037,26531
17037,26532
17037,26533
17037,26534
17037,26535
17037,26536
17037,26537
17037,26538
17037,26539
17037,26540
17037,26541
17037,26542
17037,26543
17037,26544
17037,26545
17037,26546
17037,26547
17037,26548
17037,26549
17037,26550
17037,26551
17037,26564
17037,26565
17037,26566
17037,26567
17037,26568
17037,26569
17037,26570
17037,26571
17037,26572
17038,26512
17038,26513
17038,26514
17038,26515
17038,26516
17038,26517
17038,26518
17038,26519
17038,26520
17038,26521
17038,26522
17038,26523
17038,26524
17038,26525
17038,26526
17038,26527
17038,26528
17038,26529
17038,26530
17038,26531
17038,26532
17038,26533
17038,26534
17038,26535
17038,26536
17038,26537
17038,26538
17038,26539
17038,26540
17038,26541
17038,26542
17038,26543
17038,26544
17038,26545
17038,26546
17038,26547
17038,26548
17038,26549
17038,26550
17038,26551
17038,26564
17038,26565
17038,26566
17038,26567
17038,26568
17038,26569
17038,26570
17038,26571
17038,26572
17039,26513
17039,26514
17039,26515
17039,26516
17039,26517
17039,26518
17039,26519
17039,26520
17039,26521
17039,26522
17039,26523
17039,26524
17039,26525
17039,26526
17039,26527
17039,26528
17039,26529
17039,26530
17039,26531
17039,26532
17039,26533
17039,26534
17039,26535
17039,26536
17039,26537
17039,26538
17039,26539
17039,26540
17039,26541
17039,26542
17039,26543
17039,26544
17039,26545
17039,26546
17039,26547
17039,26548
17039,26549
17039,26550
17039,26565
17039,26566
17039,26567
17039,26568
17039,26569
17039,26570
17039,26571
17039,26572
17040,26513
17040,26514
17040,26515
17040,26516
17040,26517
17040,26518
17040,26519
17040,26520
17040,26521
17040,26522
17040,26523
17040,26524
17040,26525
17040,26526
17040,26527
17040,26528
17040,26529
17040,26530
17040,26531
17040,26532
17040,26533
17040,26534
17040,26535
17040,26536
17040,26537
17040,26538
17040,26539
17040,26540
17040,26541
17040,26542
17040,26543
17040,26544
17040,26545
17040,26546
17040,26547
17040,26548
17040,26549
17040,26550
17040,26566
17040,26567
17040,26568
17040,26569
17040,26570
17040,26571
17040,26572
17041,26513
17041,26514
17041,26515
17041,26516
17041,26517
17041,26518
17041,26519
17041,26520
17041,26521
17041,26522
17041,26523
17041,26524
17041,26525
17041,26526
17041,26527
17041,26528
17041,26529
17041,26530
17041,26531
17041,26532
17041,26533
17041,26534
17041,26535
17041,26536
17041,26537
17041,26538
17041,26539
17041,26540
17041,26541
17041,26542
17041,26543
17041,26544
17041,26545
17041,26546
17041,26547
17041,26548
17041,26549
17041,26568
17041,26569
17041,26570
17041,26571
17041,26572
17041,26573
17041,26574
17041,26575
17042,26514
17042,26515
17042,26516
17042,26517
17042,26518
17042,26519
17042,26520
17042,26521
17042,26522
17042,26523
17042,26524
17042,26525
17042,26526
17042,26527
17042,26528
17042,26529
17042,26530
17042,26531
17042,26532
17042,26533
17042,26534
17042,26535
17042,26536
17042,26537
17042,26538
17042,26539
17042,26540
17042,26541
17042,26542
17042,26543
17042,26544
17042,26545
17042,26546
17042,26547
17042,26548
17042,26565
17042,26568
17042,26569
17042,26570
17042,26571
17042,26572
17042,26573
17042,26574
17042,26575
17042,26576
17043,26514
17043,26515
17043,26516
17043,26517
17043,26518
17043,26519
17043,26520
17043,26521
17043,26522
17043,26523
17043,26524
17043,26525
17043,26526
17043,26527
17043,26528
17043,26529
17043,26530
17043,26531
17043,26532
17043,26533
17043,26534
17043,26535
17043,26536
17043,26537
17043,26538
17043,26539
17043,26540
17043,26541
17043,26542
17043,26543
17043,26544
