"X","Y"
13164,30060
13164,30061
13165,30052
13165,30057
13165,30058
13165,30059
13165,30060
13165,30061
13165,30062
13165,30063
13165,30064
13165,30065
13165,30066
13165,30076
13165,30077
13166,30049
13166,30050
13166,30051
13166,30052
13166,30053
13166,30054
13166,30055
13166,30056
13166,30057
13166,30058
13166,30059
13166,30060
13166,30061
13166,30062
13166,30063
13166,30064
13166,30065
13166,30066
13166,30067
13166,30068
13166,30069
13166,30075
13166,30076
13166,30077
13166,30078
13167,30048
13167,30049
13167,30050
13167,30051
13167,30052
13167,30053
13167,30054
13167,30055
13167,30056
13167,30057
13167,30058
13167,30059
13167,30060
13167,30061
13167,30062
13167,30063
13167,30064
13167,30065
13167,30066
13167,30067
13167,30068
13167,30069
13167,30070
13167,30074
13167,30075
13167,30076
13167,30077
13167,30078
13167,30079
13168,30046
13168,30047
13168,30048
13168,30049
13168,30050
13168,30051
13168,30052
13168,30053
13168,30054
13168,30055
13168,30056
13168,30057
13168,30058
13168,30059
13168,30060
13168,30061
13168,30062
13168,30063
13168,30064
13168,30065
13168,30066
13168,30067
13168,30068
13168,30069
13168,30070
13168,30071
13168,30073
13168,30074
13168,30075
13168,30076
13168,30077
13168,30078
13168,30079
13168,30080
13169,30043
13169,30044
13169,30045
13169,30046
13169,30047
13169,30048
13169,30049
13169,30050
13169,30051
13169,30052
13169,30053
13169,30054
13169,30055
13169,30056
13169,30057
13169,30058
13169,30059
13169,30060
13169,30061
13169,30062
13169,30063
13169,30064
13169,30065
13169,30066
13169,30067
13169,30068
13169,30069
13169,30070
13169,30071
13169,30072
13169,30073
13169,30074
13169,30075
13169,30076
13169,30077
13169,30078
13169,30079
13169,30080
13169,30081
13170,30042
13170,30043
13170,30044
13170,30045
13170,30046
13170,30047
13170,30048
13170,30049
13170,30050
13170,30051
13170,30052
13170,30053
13170,30054
13170,30055
13170,30056
13170,30057
13170,30058
13170,30059
13170,30060
13170,30061
13170,30062
13170,30063
13170,30064
13170,30065
13170,30066
13170,30067
13170,30068
13170,30069
13170,30070
13170,30071
13170,30072
13170,30073
13170,30074
13170,30075
13170,30076
13170,30077
13170,30078
13170,30079
13170,30080
13170,30081
13170,30082
13171,30041
13171,30042
13171,30043
13171,30044
13171,30045
13171,30046
13171,30047
13171,30048
13171,30049
13171,30050
13171,30051
13171,30052
13171,30053
13171,30054
13171,30055
13171,30056
13171,30057
13171,30058
13171,30059
13171,30060
13171,30061
13171,30062
13171,30063
13171,30064
13171,30065
13171,30066
13171,30067
13171,30068
13171,30069
13171,30070
13171,30071
13171,30072
13171,30073
13171,30074
13171,30075
13171,30076
13171,30077
13171,30078
13171,30079
13171,30080
13171,30081
13171,30082
13171,30083
13172,30040
13172,30041
13172,30042
13172,30043
13172,30044
13172,30045
13172,30046
13172,30047
13172,30048
13172,30049
13172,30050
13172,30051
13172,30052
13172,30053
13172,30054
13172,30055
13172,30056
13172,30057
13172,30058
13172,30059
13172,30060
13172,30061
13172,30062
13172,30063
13172,30064
13172,30065
13172,30066
13172,30067
13172,30068
13172,30069
13172,30070
13172,30071
13172,30072
13172,30073
13172,30074
13172,30075
13172,30076
13172,30077
13172,30078
13172,30079
13172,30080
13172,30081
13172,30082
13172,30083
13172,30084
13173,30037
13173,30038
13173,30039
13173,30040
13173,30041
13173,30042
13173,30043
13173,30044
13173,30045
13173,30046
13173,30047
13173,30048
13173,30049
13173,30050
13173,30051
13173,30052
13173,30053
13173,30054
13173,30055
13173,30056
13173,30057
13173,30058
13173,30059
13173,30060
13173,30061
13173,30062
13173,30063
13173,30064
13173,30065
13173,30066
13173,30067
13173,30068
13173,30069
13173,30070
13173,30071
13173,30072
13173,30073
13173,30074
13173,30075
13173,30076
13173,30077
13173,30078
13173,30079
13173,30080
13173,30081
13173,30082
13173,30083
13173,30084
13173,30085
13174,30036
13174,30037
13174,30038
13174,30039
13174,30040
13174,30041
13174,30042
13174,30043
13174,30044
13174,30045
13174,30046
13174,30047
13174,30048
13174,30049
13174,30050
13174,30051
13174,30052
13174,30053
13174,30054
13174,30055
13174,30056
13174,30057
13174,30058
13174,30059
13174,30060
13174,30061
13174,30062
13174,30063
13174,30064
13174,30065
13174,30066
13174,30067
13174,30068
13174,30069
13174,30070
13174,30071
13174,30072
13174,30073
13174,30074
13174,30075
13174,30076
13174,30077
13174,30078
13174,30079
13174,30080
13174,30081
13174,30082
13174,30083
13174,30084
13174,30085
13174,30086
13175,30034
13175,30035
13175,30036
13175,30037
13175,30038
13175,30039
13175,30040
13175,30041
13175,30042
13175,30043
13175,30044
13175,30045
13175,30046
13175,30047
13175,30048
13175,30049
13175,30050
13175,30051
13175,30052
13175,30053
13175,30054
13175,30055
13175,30056
13175,30057
13175,30058
13175,30059
13175,30060
13175,30061
13175,30062
13175,30063
13175,30064
13175,30065
13175,30066
13175,30067
13175,30068
13175,30069
13175,30070
13175,30071
13175,30072
13175,30073
13175,30074
13175,30075
13175,30076
13175,30077
13175,30078
13175,30079
13175,30080
13175,30081
13175,30082
13175,30083
13175,30084
13175,30085
13175,30086
13175,30087
13176,30033
13176,30034
13176,30035
13176,30036
13176,30037
13176,30038
13176,30039
13176,30040
13176,30041
13176,30042
13176,30043
13176,30044
13176,30045
13176,30046
13176,30047
13176,30048
13176,30049
13176,30050
13176,30051
13176,30052
13176,30053
13176,30054
13176,30055
13176,30056
13176,30057
13176,30058
13176,30059
13176,30060
13176,30061
13176,30062
13176,30063
13176,30064
13176,30065
13176,30066
13176,30067
13176,30068
13176,30069
13176,30070
13176,30071
13176,30072
13176,30073
13176,30074
13176,30075
13176,30076
13176,30077
13176,30078
13176,30079
13176,30080
13176,30081
13176,30082
13176,30083
13176,30084
13176,30085
13176,30086
13176,30087
13176,30088
13177,30032
13177,30033
13177,30034
13177,30035
13177,30036
13177,30037
13177,30038
13177,30039
13177,30040
13177,30041
13177,30042
13177,30043
13177,30044
13177,30045
13177,30046
13177,30047
13177,30048
13177,30049
13177,30050
13177,30051
13177,30052
13177,30053
13177,30054
13177,30055
13177,30056
13177,30057
13177,30058
13177,30059
13177,30060
13177,30061
13177,30062
13177,30063
13177,30064
13177,30065
13177,30066
13177,30067
13177,30068
13177,30069
13177,30070
13177,30071
13177,30072
13177,30073
13177,30074
13177,30075
13177,30076
13177,30077
13177,30078
13177,30079
13177,30080
13177,30081
13177,30082
13177,30083
13177,30084
13177,30085
13177,30086
13177,30087
13177,30088
13177,30089
13178,29935
13178,30032
13178,30033
13178,30034
13178,30035
13178,30036
13178,30037
13178,30038
13178,30039
13178,30040
13178,30041
13178,30042
13178,30043
13178,30044
13178,30045
13178,30046
13178,30047
13178,30048
13178,30049
13178,30050
13178,30051
13178,30052
13178,30053
13178,30054
13178,30055
13178,30056
13178,30057
13178,30058
13178,30059
13178,30060
13178,30061
13178,30062
13178,30063
13178,30064
13178,30065
13178,30066
13178,30067
13178,30068
13178,30069
13178,30070
13178,30071
13178,30072
13178,30073
13178,30074
13178,30075
13178,30076
13178,30077
13178,30078
13178,30079
13178,30080
13178,30081
13178,30082
13178,30083
13178,30084
13178,30085
13178,30086
13178,30087
13178,30088
13178,30089
13178,30090
13179,29933
13179,29934
13179,29935
13179,29936
13179,29937
13179,29938
13179,30029
13179,30030
13179,30031
13179,30032
13179,30033
13179,30034
13179,30035
13179,30036
13179,30037
13179,30038
13179,30039
13179,30040
13179,30041
13179,30042
13179,30043
13179,30044
13179,30045
13179,30046
13179,30047
13179,30048
13179,30049
13179,30050
13179,30051
13179,30052
13179,30053
13179,30054
13179,30055
13179,30056
13179,30057
13179,30058
13179,30059
13179,30060
13179,30061
13179,30062
13179,30063
13179,30064
13179,30065
13179,30066
13179,30067
13179,30068
13179,30069
13179,30070
13179,30071
13179,30072
13179,30073
13179,30074
13179,30075
13179,30076
13179,30077
13179,30078
13179,30079
13179,30080
13179,30081
13179,30082
13179,30083
13179,30084
13179,30085
13179,30086
13179,30087
13179,30088
13179,30089
