"X","Y"
14671,8283
14745,8413
14763,8394
14694,8392
14786,8297
14696,8439
14627,8321
14705,8319
14779,8266
14728,8370
14802,8297
14587,8319
14677,8433
14751,8224
14774,8387
14776,8350
14684,8261
14702,8476
14739,8466
14744,8466
14785,8272
14734,8219
14792,8254
14612,8457
14778,8305
14688,8447
14727,8264
14637,8394
14660,8317
14701,8493
14669,8441
14761,8296
14687,8430
14602,8370
14768,8342
14694,8468
14643,8268
14807,8303
14717,8429
14777,8360
14652,8326
14742,8448
14726,8211
14659,8268
14767,8375
14677,8501
14749,8402
14682,8439
14790,8316
14700,8442
14760,8255
14770,8189
14799,8390
14783,8279
14732,8381
14716,8218
14806,8348
14626,8462
14665,8422
14817,8227
14635,8292
14766,8292
14623,8485
14681,8486
14789,8269
14685,8300
14833,8355
14759,8383
14669,8509
14782,8292
14692,8418
14625,8383
14664,8505
14816,8276
14724,8357
14657,8398
14765,8293
14675,8347
14848,8337
14749,8470
14606,8321
14772,8361
14758,8268
14707,8426
14781,8357
14601,8455
14640,8337
14624,8288
14663,8257
14755,8352
14737,8391
14831,8341
14741,8317
14656,8497
14764,8242
14771,8288
14720,8328
14794,8323
14757,8221
14667,8339
14690,8272
14655,8488
14713,8497
14821,8240
14731,8456
14736,8456
14754,8299
14632,8393
14740,8234
14650,8360
14673,8313
14837,8336
14747,8328
14770,8299
14680,8405
14629,8356
14631,8320
14689,8345
14797,8344
14615,8305
14820,8271
14638,8402
14804,8382
14661,8403
14753,8210
14679,8340
14852,8332
14702,8303
14649,8289
14813,8248
14739,8419
14723,8496
14762,8384
14672,8270
14746,8307
14711,8423
14769,8370
14644,8364
14734,8490
14628,8307
14796,8231
14819,8350
14729,8298
14678,8263
14826,8244
14752,8389
14701,8286
14611,8330
14722,8347
14745,8234
14671,8364
14809,8197
14795,8310
14613,8419
14705,8436
14779,8391
14636,8388
14728,8253
14654,8383
14712,8354
14825,8325
14661,8471
14751,8341
14774,8286
14721,8258
14684,8408
14686,8428
14596,8444
14744,8349
14619,8373
14693,8326
14785,8365
14711,8491
14808,8314
14626,8385
14792,8361
14718,8491
14653,8302
14801,8237
14743,8428
14676,8369
14842,8345
14750,8294
14699,8432
14773,8335
14669,8302
14784,8210
14823,8339
14733,8295
14666,8282
14756,8408
14777,8245
14703,8371
14800,8306
14636,8456
14726,8334
14749,8231
14659,8377
14682,8314
14647,8470
14594,8350
14668,8377
14760,8362
14834,8337
14686,8488
14799,8267
14601,8432
14709,8393
14732,8240
14806,8235
14642,8370
14716,8365
14829,8330
14651,8384
14817,8376
14674,8419
14748,8336
14766,8435
14623,8366
14681,8371
14789,8370
14812,8309
14775,8291
14798,8320
14618,8490
14692,8469
14641,8315
14805,8274
14731,8441
