"X","Y"
9257,12722
9258,12719
9258,12720
9258,12721
9258,12722
9258,12723
9258,12724
9258,12725
9259,12718
9259,12719
9259,12720
9259,12721
9259,12722
9259,12723
9259,12724
9259,12725
9259,12726
9259,12729
9260,12717
9260,12718
9260,12719
9260,12720
9260,12721
9260,12722
9260,12723
9260,12724
9260,12725
9260,12726
9260,12727
9260,12728
9260,12729
9260,12730
9260,12731
9260,12732
9261,12716
9261,12717
9261,12718
9261,12719
9261,12720
9261,12721
9261,12722
9261,12723
9261,12724
9261,12725
9261,12726
9261,12727
9261,12728
9261,12729
9261,12730
9261,12731
9261,12732
9261,12733
9261,12734
9261,12735
9262,12716
9262,12717
9262,12718
9262,12719
9262,12720
9262,12721
9262,12722
9262,12723
9262,12724
9262,12725
9262,12726
9262,12727
9262,12728
9262,12729
9262,12730
9262,12731
9262,12732
9262,12733
9262,12734
9262,12735
9262,12736
9262,12737
9262,12738
9263,12715
9263,12716
9263,12717
9263,12718
9263,12719
9263,12720
9263,12721
9263,12722
9263,12723
9263,12724
9263,12725
9263,12726
9263,12727
9263,12728
9263,12729
9263,12730
9263,12731
9263,12732
9263,12733
9263,12734
9263,12735
9263,12736
9263,12737
9263,12738
9263,12739
9264,12715
9264,12716
9264,12717
9264,12718
9264,12719
9264,12720
9264,12721
9264,12722
9264,12723
9264,12724
9264,12725
9264,12726
9264,12727
9264,12728
9264,12729
9264,12730
9264,12731
9264,12732
9264,12733
9264,12734
9264,12735
9264,12736
9264,12737
9264,12738
9264,12739
9264,12740
9264,12744
9264,12745
9265,12716
9265,12717
9265,12718
9265,12719
9265,12720
9265,12721
9265,12722
9265,12723
9265,12724
9265,12725
9265,12726
9265,12727
9265,12728
9265,12729
9265,12730
9265,12731
9265,12732
9265,12733
9265,12734
9265,12735
9265,12736
9265,12737
9265,12738
9265,12739
9265,12740
9265,12741
9265,12742
9265,12743
9265,12744
9265,12745
9265,12746
9265,12747
9266,12711
9266,12712
9266,12713
9266,12714
9266,12715
9266,12716
9266,12717
9266,12718
9266,12719
9266,12720
9266,12721
9266,12722
9266,12723
9266,12724
9266,12725
9266,12726
9266,12727
9266,12728
9266,12729
9266,12730
9266,12731
9266,12732
9266,12733
9266,12734
9266,12735
9266,12736
9266,12737
9266,12738
9266,12739
9266,12740
9266,12741
9266,12742
9266,12743
9266,12744
9266,12745
9266,12746
9266,12747
9266,12748
9267,12708
9267,12709
9267,12710
9267,12711
9267,12712
9267,12713
9267,12714
9267,12715
9267,12716
9267,12717
9267,12718
9267,12719
9267,12720
9267,12721
9267,12722
9267,12723
9267,12724
9267,12725
9267,12726
9267,12727
9267,12728
9267,12729
9267,12730
9267,12731
9267,12732
9267,12733
9267,12734
9267,12735
9267,12736
9267,12737
9267,12738
9267,12739
9267,12740
9267,12741
9267,12742
9267,12743
9267,12744
9267,12745
9267,12746
9267,12747
9267,12748
9267,12749
9268,12706
9268,12707
9268,12708
9268,12709
9268,12710
9268,12711
9268,12712
9268,12713
9268,12714
9268,12715
9268,12716
9268,12717
9268,12718
9268,12719
9268,12720
9268,12721
9268,12722
9268,12723
9268,12724
9268,12725
9268,12726
9268,12727
9268,12728
9268,12729
9268,12730
9268,12731
9268,12732
9268,12733
9268,12734
9268,12735
9268,12736
9268,12737
9268,12738
9268,12739
9268,12740
9268,12741
9268,12742
9268,12743
9268,12744
9268,12745
9268,12746
9268,12747
9268,12748
9268,12749
9268,12751
9268,12752
9269,12705
9269,12706
9269,12707
9269,12708
9269,12709
9269,12710
9269,12711
9269,12712
9269,12713
9269,12714
9269,12715
9269,12716
9269,12717
9269,12718
9269,12719
9269,12720
9269,12721
9269,12722
9269,12723
9269,12724
9269,12725
9269,12726
9269,12727
9269,12728
9269,12729
9269,12730
9269,12731
9269,12732
9269,12733
9269,12734
9269,12735
9269,12736
9269,12737
9269,12738
9269,12739
9269,12740
9269,12741
9269,12742
9269,12743
9269,12744
9269,12745
9269,12746
9269,12747
9269,12748
9269,12749
9269,12750
9269,12751
9269,12752
9269,12753
9269,12754
9270,12704
9270,12705
9270,12706
9270,12707
9270,12708
9270,12709
9270,12710
9270,12711
9270,12712
9270,12713
9270,12714
9270,12715
9270,12716
9270,12717
9270,12718
9270,12719
9270,12720
9270,12721
9270,12722
9270,12723
9270,12724
9270,12725
9270,12726
9270,12727
9270,12728
9270,12729
9270,12730
9270,12731
9270,12732
9270,12733
9270,12734
9270,12735
9270,12736
9270,12737
9270,12738
9270,12739
9270,12740
9270,12741
9270,12742
9270,12743
9270,12744
9270,12745
9270,12746
9270,12747
9270,12748
9270,12749
9270,12750
9270,12751
9270,12752
9270,12753
9270,12754
9270,12755
9271,12704
9271,12705
9271,12706
9271,12707
9271,12708
9271,12709
9271,12710
9271,12711
9271,12712
9271,12713
9271,12714
9271,12715
9271,12716
9271,12717
9271,12718
