"X","Y"
10885,13865
10885,13866
10885,13868
10885,13869
10885,13870
10885,13871
10886,13859
10886,13860
10886,13861
10886,13862
10886,13863
10886,13864
10886,13865
10886,13866
10886,13867
10886,13868
10886,13869
10886,13870
10886,13871
10886,13872
10886,13873
10886,13874
10887,13856
10887,13857
10887,13858
10887,13859
10887,13860
10887,13861
10887,13862
10887,13863
10887,13864
10887,13865
10887,13866
10887,13867
10887,13868
10887,13869
10887,13870
10887,13871
10887,13872
10887,13873
10887,13874
10887,13875
10887,13876
10887,13877
10888,13855
10888,13856
10888,13857
10888,13858
10888,13859
10888,13860
10888,13861
10888,13862
10888,13863
10888,13864
10888,13865
10888,13866
10888,13867
10888,13868
10888,13869
10888,13870
10888,13871
10888,13872
10888,13873
10888,13874
10888,13875
10888,13876
10888,13877
10888,13878
10888,13879
10888,13880
10889,13853
10889,13854
10889,13855
10889,13856
10889,13857
10889,13858
10889,13859
10889,13860
10889,13861
10889,13862
10889,13863
10889,13864
10889,13865
10889,13866
10889,13867
10889,13868
10889,13869
10889,13870
10889,13871
10889,13872
10889,13873
10889,13874
10889,13875
10889,13876
10889,13877
10889,13878
10889,13879
10889,13880
10889,13881
10890,13852
10890,13853
10890,13854
10890,13855
10890,13856
10890,13857
10890,13858
10890,13859
10890,13860
10890,13861
10890,13862
10890,13863
10890,13864
10890,13865
10890,13866
10890,13867
10890,13868
10890,13869
10890,13870
10890,13871
10890,13872
10890,13873
10890,13874
10890,13875
10890,13876
10890,13877
10890,13878
10890,13879
10890,13880
10890,13881
10890,13882
10890,13883
10890,13884
10890,13885
10890,13886
10890,13887
10891,13851
10891,13852
10891,13853
10891,13854
10891,13855
10891,13856
10891,13857
10891,13858
10891,13859
10891,13860
10891,13861
10891,13862
10891,13863
10891,13864
10891,13865
10891,13866
10891,13867
10891,13868
10891,13869
10891,13870
10891,13871
10891,13872
10891,13873
10891,13874
10891,13875
10891,13876
10891,13877
10891,13878
10891,13879
10891,13880
10891,13881
10891,13882
10891,13883
10891,13884
10891,13885
10891,13886
10891,13887
10891,13888
10891,13889
10891,13890
10892,13850
10892,13851
10892,13852
10892,13853
10892,13854
10892,13855
10892,13856
10892,13857
10892,13858
10892,13859
10892,13860
10892,13861
10892,13862
10892,13863
10892,13864
10892,13865
10892,13866
10892,13867
10892,13868
10892,13869
10892,13870
10892,13871
10892,13872
10892,13873
10892,13874
10892,13875
10892,13876
10892,13877
10892,13878
10892,13879
10892,13880
10892,13881
10892,13882
10892,13883
10892,13884
10892,13885
10892,13886
10892,13887
10892,13888
10892,13889
10892,13890
10892,13891
10892,13893
10893,13850
10893,13851
10893,13852
10893,13853
10893,13854
10893,13855
10893,13856
10893,13857
10893,13858
10893,13859
10893,13860
10893,13861
10893,13862
10893,13863
10893,13864
10893,13865
10893,13866
10893,13867
10893,13868
10893,13869
10893,13870
10893,13871
10893,13872
10893,13873
10893,13874
10893,13875
10893,13876
10893,13877
10893,13878
10893,13879
10893,13880
10893,13881
10893,13882
10893,13883
10893,13884
10893,13885
10893,13886
10893,13887
10893,13888
10893,13889
10893,13890
10893,13891
10893,13892
10893,13893
10893,13894
10893,13895
10893,13896
10894,13850
10894,13851
10894,13852
10894,13853
10894,13854
10894,13855
10894,13856
10894,13857
10894,13858
10894,13859
10894,13860
10894,13861
10894,13862
10894,13863
10894,13864
10894,13865
10894,13866
10894,13867
10894,13868
10894,13869
10894,13870
