"X","Y"
19451,24853
19452,24848
19452,24850
19452,24851
19452,24852
19452,24853
19452,24854
19452,24855
19452,24856
19452,24859
19452,24860
19453,24845
19453,24846
19453,24847
19453,24848
19453,24849
19453,24850
19453,24851
19453,24852
19453,24853
19453,24854
19453,24855
19453,24856
19453,24857
19453,24858
19453,24859
19453,24860
19453,24861
19453,24862
19453,24863
19453,24866
19454,24843
19454,24844
19454,24845
19454,24846
19454,24847
19454,24848
19454,24849
19454,24850
19454,24851
19454,24852
19454,24853
19454,24854
19454,24855
19454,24856
19454,24857
19454,24858
19454,24859
19454,24860
19454,24861
19454,24862
19454,24863
19454,24864
19454,24865
19454,24866
19454,24867
19454,24868
19455,24842
19455,24843
19455,24844
19455,24845
19455,24846
19455,24847
19455,24848
19455,24849
19455,24850
19455,24851
19455,24852
19455,24853
19455,24854
19455,24855
19455,24856
19455,24857
19455,24858
19455,24859
19455,24860
19455,24861
19455,24862
19455,24863
19455,24864
19455,24865
19455,24866
19455,24867
19455,24868
19455,24869
19456,24841
19456,24842
19456,24843
19456,24844
19456,24845
19456,24846
19456,24847
19456,24848
19456,24849
19456,24850
19456,24851
19456,24852
19456,24853
19456,24854
19456,24855
19456,24856
19456,24857
19456,24858
19456,24859
19456,24860
19456,24861
19456,24862
19456,24863
19456,24864
19456,24865
19456,24866
19456,24867
19456,24868
19456,24869
19456,24870
19457,24840
19457,24841
19457,24842
19457,24843
19457,24844
19457,24845
19457,24846
19457,24847
19457,24848
19457,24849
19457,24850
19457,24851
19457,24852
19457,24853
19457,24854
19457,24855
19457,24856
19457,24857
19457,24858
19457,24859
19457,24860
19457,24861
19457,24862
19457,24863
19457,24864
19457,24865
19457,24866
19457,24867
19457,24868
19457,24869
19457,24870
19458,24837
19458,24838
19458,24839
19458,24840
19458,24841
19458,24842
19458,24843
19458,24844
19458,24845
19458,24846
19458,24847
19458,24848
19458,24849
19458,24850
19458,24851
19458,24852
19458,24853
19458,24854
19458,24855
19458,24856
19458,24857
19458,24858
19458,24859
19458,24860
19458,24861
19458,24862
19458,24863
19458,24864
19458,24865
19458,24866
19458,24867
19458,24868
19458,24869
19458,24870
19458,24871
19459,24836
19459,24837
19459,24838
19459,24839
19459,24840
19459,24841
19459,24842
19459,24843
19459,24844
19459,24845
19459,24846
19459,24847
19459,24848
19459,24849
19459,24850
19459,24851
19459,24852
19459,24853
19459,24854
19459,24855
19459,24856
19459,24857
19459,24858
19459,24859
19459,24860
19459,24861
19459,24862
19459,24863
19459,24864
19459,24865
19459,24866
19459,24867
19459,24868
19459,24869
19459,24870
19459,24871
19460,24835
19460,24836
19460,24837
19460,24838
19460,24839
19460,24840
19460,24841
19460,24842
19460,24843
19460,24844
19460,24845
19460,24846
19460,24847
19460,24848
19460,24849
19460,24850
19460,24851
19460,24852
19460,24853
19460,24854
19460,24855
19460,24856
19460,24857
19460,24858
19460,24859
19460,24860
19460,24861
19460,24862
19460,24863
19460,24864
19460,24865
19460,24866
19460,24867
19460,24868
19460,24869
19460,24870
19460,24871
19461,24835
19461,24836
19461,24837
19461,24838
19461,24839
19461,24840
19461,24841
19461,24842
19461,24843
19461,24844
19461,24845
19461,24846
19461,24847
19461,24848
19461,24849
19461,24850
19461,24851
19461,24852
19461,24853
19461,24854
19461,24855
19461,24856
19461,24857
19461,24858
19461,24859
19461,24860
19461,24861
19461,24862
19461,24863
19461,24864
19461,24865
19461,24866
19461,24867
19461,24868
19461,24869
19461,24870
19461,24871
19462,24835
19462,24836
19462,24837
19462,24838
19462,24839
19462,24840
19462,24841
19462,24842
19462,24843
19462,24844
19462,24845
19462,24846
19462,24847
19462,24848
19462,24849
19462,24850
19462,24851
19462,24852
19462,24853
19462,24854
19462,24855
19462,24856
19462,24857
