"X","Y"
10945,12735
10945,12736
10945,12741
10945,12744
10945,12745
10946,12709
10946,12723
10946,12724
10946,12725
10946,12726
10946,12732
10946,12733
10946,12734
10946,12735
10946,12736
10946,12737
10946,12738
10946,12739
10946,12740
10946,12741
10946,12742
10946,12743
10946,12744
10946,12745
10946,12746
10946,12747
10947,12706
10947,12707
10947,12708
10947,12709
10947,12710
10947,12711
10947,12712
10947,12717
10947,12718
10947,12719
10947,12720
10947,12721
10947,12722
10947,12723
10947,12724
10947,12725
10947,12726
10947,12727
10947,12728
10947,12729
10947,12731
10947,12732
10947,12733
10947,12734
10947,12735
10947,12736
10947,12737
10947,12738
10947,12739
10947,12740
10947,12741
10947,12742
10947,12743
10947,12744
10947,12745
10947,12746
10947,12747
10947,12748
10948,12705
10948,12706
10948,12707
10948,12708
10948,12709
10948,12710
10948,12711
10948,12712
10948,12713
10948,12714
10948,12715
10948,12716
10948,12717
10948,12718
10948,12719
10948,12720
10948,12721
10948,12722
10948,12723
10948,12724
10948,12725
10948,12726
10948,12727
10948,12728
10948,12729
10948,12730
10948,12731
10948,12732
10948,12733
10948,12734
10948,12735
10948,12736
10948,12737
10948,12738
10948,12739
10948,12740
10948,12741
10948,12742
10948,12743
10948,12744
10948,12745
10948,12746
10948,12747
10948,12748
10948,12749
10949,12704
10949,12705
10949,12706
10949,12707
10949,12708
10949,12709
10949,12710
10949,12711
10949,12712
10949,12713
10949,12714
10949,12715
10949,12716
10949,12717
10949,12718
10949,12719
10949,12720
10949,12721
10949,12722
10949,12723
10949,12724
10949,12725
10949,12726
10949,12727
10949,12728
10949,12729
10949,12730
10949,12731
10949,12732
10949,12733
10949,12734
10949,12735
10949,12736
10949,12737
10949,12738
10949,12739
10949,12740
10949,12741
10949,12742
10949,12743
10949,12744
10949,12745
10949,12746
10949,12747
10949,12748
10949,12749
10950,12703
10950,12704
10950,12705
10950,12706
10950,12707
10950,12708
10950,12709
10950,12710
10950,12711
10950,12712
10950,12713
10950,12714
10950,12715
10950,12716
10950,12717
10950,12718
10950,12719
10950,12720
10950,12721
10950,12722
10950,12723
10950,12724
10950,12725
10950,12726
10950,12727
10950,12728
10950,12729
10950,12730
10950,12731
10950,12732
10950,12733
10950,12734
10950,12735
10950,12736
10950,12737
10950,12738
10950,12739
10950,12740
10950,12741
10950,12742
10950,12743
10950,12744
10950,12745
10950,12746
10950,12747
10950,12748
10950,12749
10950,12750
10951,12703
10951,12704
10951,12705
10951,12706
10951,12707
10951,12708
10951,12709
10951,12710
10951,12711
10951,12712
10951,12713
10951,12714
10951,12715
10951,12716
10951,12717
10951,12718
10951,12719
10951,12720
10951,12721
10951,12722
10951,12723
10951,12724
10951,12725
10951,12726
10951,12727
10951,12728
10951,12729
10951,12730
10951,12731
10951,12732
10951,12733
10951,12734
10951,12735
10951,12736
10951,12737
10951,12738
10951,12739
10951,12740
10951,12741
10951,12742
10951,12743
10951,12744
10951,12745
10951,12746
10951,12747
10951,12748
10951,12749
10951,12750
10952,12702
10952,12703
10952,12704
10952,12705
10952,12706
10952,12707
10952,12708
10952,12709
10952,12710
10952,12711
10952,12712
10952,12713
10952,12714
10952,12715
10952,12716
10952,12717
10952,12718
10952,12719
10952,12720
10952,12721
10952,12722
10952,12723
10952,12724
10952,12725
10952,12726
10952,12727
10952,12728
10952,12729
10952,12730
10952,12731
10952,12732
10952,12733
10952,12734
10952,12735
10952,12736
10952,12737
10952,12738
10952,12739
10952,12740
10952,12741
10952,12742
10952,12743
10952,12744
10952,12745
10952,12746
10952,12747
10952,12748
10952,12749
10952,12750
10953,12695
10953,12696
10953,12697
10953,12698
10953,12699
10953,12700
10953,12701
10953,12702
10953,12703
10953,12704
10953,12705
10953,12706
10953,12707
10953,12708
10953,12709
10953,12710
10953,12711
10953,12712
10953,12713
10953,12714
10953,12715
10953,12716
10953,12717
10953,12718
10953,12719
10953,12720
10953,12721
10953,12722
10953,12723
10953,12724
10953,12725
10953,12726
10953,12727
10953,12728
10953,12729
10953,12730
10953,12731
10953,12732
10953,12733
10953,12734
10953,12735
10953,12736
10953,12737
10953,12738
10953,12739
10953,12740
10953,12741
10953,12742
10953,12743
10953,12744
10953,12745
10953,12746
10953,12747
10953,12748
10953,12749
10954,12692
10954,12693
10954,12694
10954,12695
10954,12696
10954,12697
10954,12698
10954,12699
10954,12700
10954,12701
10954,12702
10954,12703
10954,12704
10954,12705
10954,12706
10954,12707
10954,12708
10954,12709
10954,12710
10954,12711
10954,12712
10954,12713
10954,12714
10954,12715
10954,12716
10954,12717
10954,12718
10954,12719
10954,12720
10954,12721
10954,12722
10954,12723
10954,12724
10954,12725
10954,12726
10954,12727
10954,12728
10954,12729
10954,12730
10954,12731
10954,12732
10954,12733
10954,12734
10954,12735
10954,12736
10954,12737
10954,12738
10954,12739
10954,12740
10954,12741
10954,12742
10954,12743
10954,12744
10954,12745
10954,12746
10954,12747
10954,12748
10954,12749
