"X","Y"
15225,8317
15260,8287
15261,8263
15244,8321
15233,8315
15234,8299
15269,8327
15253,8296
15254,8302
15256,8324
15258,8293
15239,8261
15276,8255
15278,8288
15209,8292
15279,8274
15229,8313
15246,8329
15248,8275
15249,8283
15251,8254
15269,8296
15271,8323
15256,8243
15237,8319
15273,8301
15274,8293
15241,8308
15242,8266
15226,8279
15227,8271
15280,8329
15212,8294
15213,8304
15266,8276
15216,8289
15217,8309
15267,8286
15237,8320
15255,8250
15257,8276
15277,8297
15245,8256
15246,8310
15230,8283
15267,8239
15270,8264
15271,8282
15236,8264
15220,8277
15260,8278
15243,8246
15261,8256
15248,8251
15214,8288
15233,8316
15234,8290
15218,8287
15253,8305
15254,8289
15256,8331
15268,8246
15258,8300
15239,8258
15269,8320
15278,8299
15279,8283
15229,8306
15248,8266
15249,8284
15251,8263
15235,8321
15273,8278
15256,8250
15237,8312
15238,8318
15274,8300
15241,8317
15242,8309
15226,8286
15227,8260
15260,8335
15262,8304
15280,8320
15266,8303
15213,8297
15267,8263
15217,8302
15234,8324
15255,8243
15257,8285
15277,8290
15260,8254
15262,8323
15245,8313
15246,8313
15230,8258
15231,8272
15264,8249
15270,8259
15271,8275
15220,8284
15261,8281
15248,8242
15214,8299
15233,8309
15234,8317
15218,8278
15253,8314
15254,8312
15256,8338
15268,8253
15258,8311
15259,8303
15269,8329
15278,8306
15279,8288
15228,8323
15248,8257
15249,8277
15251,8268
15252,8262
15235,8326
15273,8287
15274,8279
15237,8289
15238,8305
15222,8298
15241,8294
15242,8316
15226,8281
15227,8285
15260,8326
15262,8315
15280,8327
15266,8294
15213,8290
15267,8268
15217,8295
15252,8245
15255,8264
15259,8333
15260,8245
15277,8283
15262,8330
15245,8306
15246,8256
15230,8261
15231,8281
15250,8319
15264,8240
15270,8314
15271,8264
15236,8254
15220,8283
15221,8275
15240,8249
15261,8274
15214,8306
15233,8270
15234,8308
15250,8334
15219,8293
15253,8323
15254,8307
15273,8247
15258,8318
15259,8292
15225,8321
15278,8309
15279,8297
15244,8253
15249,8270
15232,8322
15251,8277
15252,8269
15273,8256
15274,8286
15237,8298
15238,8296
15222,8301
15241,8303
15242,8295
15226,8288
15227,8274
15262,8290
15263,8304
15266,8289
15267,8309
15252,8252
15255,8257
15240,8273
15259,8322
15277,8276
15262,8333
15245,8299
15246,8267
15230,8268
15231,8262
15250,8310
15264,8247
15270,8317
15271,8257
15221,8284
15243,8285
15250,8329
15233,8263
15234,8271
15219,8298
15253,8332
15273,8248
15275,8339
15258,8313
15259,8317
15278,8316
15279,8310
15244,8244
15249,8263
15251,8282
15252,8276
15273,8265
15274,8281
15237,8275
15238,8291
15222,8292
15223,8302
15242,8302
15226,8299
15227,8299
15257,8327
15262,8293
15263,8313
15266,8312
15267,8314
15277,8252
15252,8251
15255,8286
15240,8280
15239,8320
15277,8269
15264,8270
15245,8292
15246,8274
15230,8311
15231,8271
15248,8328
15250,8305
15251,8325
15270,8308
15271,8318
15273,8336
15275,8315
15243,8274
15244,8284
15250,8320
15233,8280
15234,8262
15219,8307
15275,8328
15258,8256
15259,8306
15278,8327
15279,8319
15247,8294
15249,8248
15251,8291
15252,8275
15269,8245
15274,8256
15237,8284
15238,8282
15257,8328
15223,8295
15242,8297
15226,8306
15227,8288
15260,8339
15262,8300
15263,8294
15266,8307
15267,8291
15272,8310
15236,8324
15255,8279
15240,8287
15257,8249
15259,8336
15277,8262
15261,8332
15264,8261
15265,8265
15246,8277
15230,8318
15231,8308
15248,8335
15250,8296
15251,8330
15270,8303
15271,8311
15275,8304
15238,8324
15243,8267
15244,8283
15261,8253
15263,8324
15265,8250
15268,8273
15233,8273
15234,8257
15218,8314
