"X","Y"
4983,16048
4928,16084
4940,16076
4879,16124
4952,16077
4911,16082
4964,16085
4836,16098
4974,16107
4976,16070
4897,16121
4860,16107
4953,16145
4949,16150
4988,16062
4907,16099
4921,16096
4846,16143
4935,16074
4878,16067
4931,16122
4964,16139
4944,16134
4941,16108
4959,16093
4940,16129
4902,16072
4849,16092
4864,16084
5002,16121
4965,16115
4926,16081
4888,16077
4975,16137
4920,16107
4955,16130
4989,16090
4951,16135
4950,16062
4931,16152
4908,16065
4869,16107
4903,16155
4883,16100
4954,16098
4932,16090
4893,16098
4840,16114
4871,16074
4968,16061
4944,16051
4903,16104
4978,16043
4956,16115
4899,16088
4842,16107
4968,16076
4927,16115
4980,16116
4990,16106
4951,16090
4870,16069
4960,16150
4866,16125
4957,16060
4847,16120
4956,16145
4975,16077
4936,16140
4992,16090
4932,16143
4894,16066
4912,16130
4890,16098
4908,16133
4979,16121
4918,16075
4947,16136
4981,16084
4943,16141
4924,16081
4942,16112
4923,16142
4919,16139
4899,16148
4936,16106
4895,16145
4948,16074
4838,16098
4946,16092
4887,16090
4995,16112
4960,16099
4938,16131
4934,16142
4862,16123
4914,16141
4970,16101
4891,16078
4909,16099
4984,16092
4972,16082
4915,16121
4925,16143
4943,16080
4886,16085
4939,16080
4952,16156
4949,16118
4967,16123
4910,16082
4857,16070
4872,16106
4928,16146
4924,16149
4904,16136
4882,16092
4845,16104
4934,16059
4971,16079
4896,16099
4859,16105
4983,16103
4985,16124
4906,16101
4916,16095
4934,16074
4915,16132
4877,16069
4911,16129
4930,16106
4891,16138
4962,16076
4940,16112
4901,16092
4879,16080
4950,16158
4952,16041
4911,16118
4986,16053
4964,16073
4926,16128
5001,16123
4906,16135
4962,16063
4902,16138
4976,16098
4882,16145
4988,16066
4929,16103
4907,16079
4868,16097
4921,16124
4878,16095
4931,16086
4874,16071
4892,16106
4902,16116
4849,16120
4955,16113
4898,16076
4916,16147
4987,16095
4926,16077
4851,16095
4989,16126
4950,16090
4997,16116
4869,16079
4865,16103
4846,16116
4954,16070
4893,16070
4840,16110
4942,16144
4978,16079
4956,16087
4899,16116
4917,16125
4898,16129
4966,16057
4870,16150
4980,16072
4923,16095
5012,16132
4951,16126
4913,16134
4947,16070
4909,16131
4837,16102
4945,16096
4866,16065
4975,16097
5004,16126
4969,16127
4947,16055
4890,16070
4853,16114
4979,16085
4900,16156
4918,16087
4991,16093
4936,16055
4914,16079
4876,16154
4981,16040
4924,16117
4942,16076
4885,16095
4938,16084
4895,16117
4970,16054
4948,16110
4946,16064
4887,16126
4834,16102
4958,16096
4881,16096
4844,16108
4970,16089
4858,16095
4910,16140
4982,16105
4909,16071
4890,16139
4984,16120
4886,16134
4905,16127
4866,16133
4937,16089
5008,16135
4915,16085
5004,16130
4876,16079
4925,16147
4943,16052
4886,16113
4905,16136
4939,16124
4901,16141
4900,16080
4881,16130
4971,16154
4877,16135
4910,16110
4857,16098
4963,16071
5015,16134
4904,16100
4882,16064
4896,16143
4859,16117
4892,16138
4983,16075
4872,16149
4928,16109
4906,16089
4868,16144
4867,16127
5010,16134
4877,16105
4930,16078
4873,16089
4891,16150
4962,16080
4901,16112
4976,16063
4986,16073
4964,16109
4925,16087
4850,16105
4935,16125
4878,16136
4988,16102
4929,16067
4996,16136
4868,16069
4849,16139
4864,16109
4955,16044
4845,16144
4897,16146
4953,16122
4987,16138
4893,16151
4874,16123
4892,16078
4855,16122
4873,16132
4965,16058
4869,16129
4941,16052
4983,16143
4977,16081
4849,16100
4955,16093
5007,16140
4898,16080
4861,16092
5011,16139
4987,16123
4908,16122
4926,16105
4888,16133
4922,16073
4884,16128
4978,16145
4864,16139
4950,16102
5002,16128
4871,16125
4944,16108
4865,16067
4954,16090
4875,16137
4966,16074
4968,16117
4871,16146
4889,16122
4852,16106
4980,16061
5013,16132
4978,16115
4993,16137
4956,16059
4990,16083
4917,16081
4913,16081
4870,16114
4945,16051
4923,16123
4884,16085
4933,16109
4861,16128
4947,16098
4889,16148
4945,16076
4833,16106
4885,16145
4957,16100
4979,16128
4994,16120
4880,16108
4843,16112
4969,16091
4912,16074
4890,16090
4942,16057
4979,16049
4991,16113
4936,16083
4914,16115
4970,16155
4875,16085
4838,16091
4966,16150
4946,16149
4885,16115
4832,16097
4938,16072
4895,16105
4856,16090
4887,16130
4958,16092
4919,16096
4881,16076
4858,16115
4982,16117
4905,16091
4937,16117
4972,16154
4876,16115
4857,16141
4872,16083
4853,16138
4961,16092
4900,16116
4863,16064
4971,16134
4949,16046
4985,16075
4857,16126
4963,16099
4904,16064
4848,16130
4973,16101
4916,16096
4844,16133
4986,16139
4983,16047
4985,16052
4982,16134
4928,16073
4962,16133
4867,16091
4958,16152
4952,16114
4859,16142
4930,16082
4855,16139
4873,16117
4854,16122
4962,16116
4977,16130
4883,16143
4974,16076
4848,16096
4879,16136
4973,16135
4897,16092
4860,16064
4976,16091
4986,16109
4997,16136
4925,16123
4850,16141
4921,16075
4974,16063
4935,16097
4878,16100
4988,16138
4968,16149
4964,16144
4944,16155
4941,16071
4959,16120
4864,16073
4953,16086
4965,16094
4892,16082
4855,16094
4983,16147
4888,16114
4851,16102
4977,16125
4920,16080
4898,16116
4861,16096
4840,16136
4908,16094
4836,16131
4869,16118
4922,16109
4883,16075
4920,16063
4974,16136
4954,16143
4932,16103
4871,16097
4944,16072
4851,16132
4903,16071
4847,16129
4956,16104
4954,16062
4842,16116
4969,16132
4966,16118
4968,16081
4965,16129
4927,16094
4889,16086
4852,16078
4945,16142
4941,16139
4990,16079
4862,16128
4842,16135
4913,16125
4838,16138
4984,16133
4870,16094
4980,16128
4960,16139
4884,16105
4847,16103
4956,16142
4992,16127
4936,16145
4933,16065
4932,16148
4894,16103
4841,16121
4947,16126
4994,16092
4957,16072
4918,16108
4880,16072
4843,16092
4967,16146
4969,16055
4912,16118
4981,16127
4924,16078
4852,16147
4936,16079
4948,16055
4875,16113
4946,16121
4960,16088
4938,16108
4862,16092
4895,16077
4985,16148
4891,16101
4909,16126
4856,16118
4981,16145
4984,16065
4961,16158
4958,16056
4960,16055
4957,16155
4919,16068
4937,16128
4972,16111
4933,16133
4982,16081
4943,16127
4886,16078
4952,16129
4949,16081
4967,16086
4948,16132
4872,16079
4996,16125
4961,16120
4882,16121
4900,16104
4863,16100
4971,16098
4896,16088
4859,16076
4985,16103
4963,16159
4959,16152
4939,16149
4973,16073
4935,16150
