"X","Y"
11809,42441
11810,42438
11810,42439
11810,42440
11810,42441
11810,42442
11810,42443
11810,42444
11811,42437
11811,42438
11811,42439
11811,42440
11811,42441
11811,42442
11811,42443
11811,42444
11811,42445
11812,42436
11812,42437
11812,42438
11812,42439
11812,42440
11812,42441
11812,42442
11812,42443
11812,42444
11812,42445
11812,42446
11813,42436
11813,42437
11813,42438
11813,42439
11813,42440
11813,42441
11813,42442
11813,42443
11813,42444
11813,42445
11813,42446
11813,42447
11814,42436
11814,42437
11814,42438
11814,42439
11814,42440
11814,42441
11814,42442
11814,42443
11814,42444
11814,42445
11814,42446
11814,42447
11815,42435
11815,42436
11815,42437
11815,42438
11815,42439
11815,42440
11815,42441
11815,42442
11815,42443
11815,42444
11815,42445
11815,42446
11815,42447
11815,42448
11816,42436
11816,42437
11816,42438
11816,42439
11816,42440
11816,42441
11816,42442
11816,42443
11816,42444
11816,42445
11816,42446
11816,42447
11816,42448
11817,42436
11817,42437
11817,42438
11817,42439
11817,42440
11817,42441
11817,42442
11817,42443
11817,42444
11817,42445
11817,42446
11817,42447
11817,42448
11817,42468
11818,42435
11818,42436
11818,42437
11818,42438
11818,42439
11818,42440
11818,42441
11818,42442
11818,42443
11818,42444
11818,42445
11818,42446
11818,42447
11818,42466
11818,42467
11818,42468
11818,42469
11818,42470
11819,42434
11819,42435
11819,42436
11819,42437
11819,42438
11819,42439
11819,42440
11819,42441
11819,42442
11819,42443
11819,42444
11819,42445
11819,42446
11819,42447
11819,42465
11819,42466
11819,42467
11819,42468
11819,42469
11819,42470
11819,42471
11820,42434
11820,42435
11820,42436
11820,42437
11820,42438
11820,42439
11820,42440
11820,42441
11820,42442
11820,42443
11820,42444
11820,42445
11820,42446
11820,42447
11820,42464
11820,42465
11820,42466
11820,42467
11820,42468
11820,42469
11820,42470
11820,42471
11820,42472
11821,42434
11821,42435
11821,42436
11821,42437
11821,42438
11821,42439
11821,42440
11821,42441
11821,42442
11821,42443
11821,42444
11821,42445
11821,42446
11821,42461
11821,42464
11821,42465
11821,42466
11821,42467
11821,42468
11821,42469
11821,42470
11821,42471
11821,42472
11822,42432
11822,42433
11822,42434
11822,42435
11822,42436
11822,42437
11822,42438
11822,42439
11822,42440
11822,42441
11822,42442
11822,42443
11822,42444
11822,42445
11822,42458
11822,42459
11822,42460
11822,42461
11822,42462
11822,42463
11822,42464
11822,42465
11822,42466
11822,42467
11822,42468
11822,42469
11822,42470
11822,42471
11822,42472
11822,42473
11823,42431
11823,42432
11823,42433
11823,42434
11823,42435
11823,42436
11823,42437
11823,42438
11823,42439
11823,42440
11823,42441
11823,42442
11823,42443
11823,42444
11823,42457
11823,42458
11823,42459
11823,42460
11823,42461
11823,42462
11823,42463
11823,42464
11823,42465
11823,42466
11823,42467
11823,42468
11823,42469
11823,42470
11823,42471
11823,42472
11823,42473
11823,42477
11824,42423
11824,42430
11824,42431
11824,42432
11824,42433
11824,42434
11824,42435
11824,42436
11824,42437
11824,42438
11824,42439
11824,42440
11824,42441
11824,42442
11824,42456
11824,42457
11824,42458
11824,42459
11824,42460
11824,42461
11824,42462
11824,42463
11824,42464
11824,42465
11824,42466
11824,42467
11824,42468
11824,42469
11824,42470
11824,42471
11824,42472
11824,42473
11824,42474
11824,42475
11824,42476
11824,42477
11824,42478
11824,42479
11825,42420
11825,42421
11825,42422
11825,42423
11825,42424
11825,42425
11825,42430
11825,42431
11825,42432
11825,42433
11825,42434
11825,42435
11825,42436
11825,42437
11825,42438
11825,42439
11825,42440
11825,42441
11825,42442
11825,42455
11825,42456
11825,42457
11825,42458
11825,42459
11825,42460
11825,42461
11825,42462
11825,42463
11825,42464
11825,42465
11825,42466
11825,42467
11825,42468
11825,42469
11825,42470
11825,42471
11825,42472
11825,42473
11825,42474
11825,42475
11825,42476
11825,42477
11825,42478
11825,42479
11825,42480
11826,42419
11826,42420
11826,42421
11826,42422
11826,42423
11826,42424
11826,42425
11826,42426
11826,42429
11826,42430
11826,42431
11826,42432
11826,42433
11826,42434
11826,42435
11826,42436
11826,42437
11826,42438
11826,42439
11826,42440
11826,42441
11826,42455
11826,42456
11826,42457
11826,42458
11826,42459
11826,42460
11826,42461
11826,42462
11826,42463
11826,42464
11826,42465
11826,42466
11826,42467
11826,42468
11826,42469
11826,42470
11826,42471
11826,42472
11826,42473
11826,42474
11826,42475
11826,42476
11826,42477
11826,42478
11826,42479
11826,42480
11826,42481
11827,42418
11827,42419
11827,42420
11827,42421
11827,42422
11827,42423
11827,42424
11827,42425
11827,42426
11827,42427
11827,42430
11827,42431
11827,42432
11827,42433
11827,42434
11827,42435
11827,42436
11827,42437
11827,42438
11827,42439
11827,42440
11827,42441
11827,42442
11827,42455
11827,42456
11827,42457
11827,42458
11827,42459
11827,42460
11827,42461
11827,42462
11827,42463
11827,42464
11827,42465
11827,42466
11827,42467
11827,42468
11827,42469
11827,42470
11827,42471
11827,42472
11827,42473
11827,42474
11827,42475
11827,42476
11827,42477
11827,42478
11827,42479
11827,42480
11827,42481
11828,42417
11828,42418
11828,42419
11828,42420
11828,42421
11828,42422
11828,42423
11828,42424
11828,42425
11828,42426
11828,42427
11828,42429
