"X","Y"
17081,13984
17082,13980
17082,13981
17082,13982
17082,13983
17082,13984
17082,13985
17082,13986
17082,13987
17083,13977
17083,13978
17083,13979
17083,13980
17083,13981
17083,13982
17083,13983
17083,13984
17083,13985
17083,13986
17083,13987
17083,13988
17084,13974
17084,13975
17084,13976
17084,13977
17084,13978
17084,13979
17084,13980
17084,13981
17084,13982
17084,13983
17084,13984
17084,13985
17084,13986
17084,13987
17084,13988
17084,13989
17084,13990
17084,13991
17085,13972
17085,13973
17085,13974
17085,13975
17085,13976
17085,13977
17085,13978
17085,13979
17085,13980
17085,13981
17085,13982
17085,13983
17085,13984
17085,13985
17085,13986
17085,13987
17085,13988
17085,13989
17085,13990
17085,13991
17085,13992
17086,13971
17086,13972
17086,13973
17086,13974
17086,13975
17086,13976
17086,13977
17086,13978
17086,13979
17086,13980
17086,13981
17086,13982
17086,13983
17086,13984
17086,13985
17086,13986
17086,13987
17086,13988
17086,13989
17086,13990
17086,13991
17086,13992
17086,13993
17087,13970
17087,13971
17087,13972
17087,13973
17087,13974
17087,13975
17087,13976
17087,13977
17087,13978
17087,13979
17087,13980
17087,13981
17087,13982
17087,13983
17087,13984
17087,13985
17087,13986
17087,13987
17087,13988
17087,13989
17087,13990
17087,13991
17087,13992
17087,13993
17088,13968
17088,13969
17088,13970
17088,13971
17088,13972
17088,13973
17088,13974
17088,13975
17088,13976
17088,13977
17088,13978
17088,13979
17088,13980
17088,13981
17088,13982
17088,13983
17088,13984
17088,13985
17088,13986
17088,13987
17088,13988
17088,13989
17088,13990
17088,13991
17088,13992
17088,13993
17089,13967
17089,13968
17089,13969
17089,13970
17089,13971
17089,13972
17089,13973
17089,13974
17089,13975
17089,13976
17089,13977
17089,13978
17089,13979
17089,13980
17089,13981
17089,13982
17089,13983
17089,13984
17089,13985
17089,13986
17089,13987
17089,13988
17089,13989
17089,13990
17089,13991
17089,13992
17089,13993
17089,13994
17090,13966
17090,13967
17090,13968
17090,13969
17090,13970
17090,13971
17090,13972
17090,13973
17090,13974
17090,13975
17090,13976
17090,13977
17090,13978
17090,13979
17090,13980
17090,13981
17090,13982
17090,13983
17090,13984
17090,13985
17090,13986
17090,13987
17090,13988
17090,13989
17090,13990
17090,13991
17090,13992
17090,13993
17090,13994
17090,13995
17091,13956
17091,13957
17091,13964
17091,13965
17091,13966
17091,13967
17091,13968
17091,13969
17091,13970
17091,13971
17091,13972
17091,13973
