"X","Y"
9338,44796
9339,44793
9339,44794
9339,44795
9339,44796
9339,44797
9339,44798
9339,44799
9339,44800
9340,44791
9340,44792
9340,44793
9340,44794
9340,44795
9340,44796
9340,44797
9340,44798
9340,44799
9340,44800
9340,44801
9340,44802
9341,44790
9341,44791
9341,44792
9341,44793
9341,44794
9341,44795
9341,44796
9341,44797
9341,44798
9341,44799
9341,44800
9341,44801
9341,44802
9341,44803
9342,44789
9342,44790
9342,44791
9342,44792
9342,44793
9342,44794
9342,44795
9342,44796
9342,44797
9342,44798
9342,44799
9342,44800
9342,44801
9342,44802
9342,44803
9342,44804
9343,44788
9343,44789
9343,44790
9343,44791
9343,44792
9343,44793
9343,44794
9343,44795
9343,44796
9343,44797
9343,44798
9343,44799
9343,44800
9343,44801
9343,44802
9343,44803
9343,44804
9344,44787
9344,44788
9344,44789
9344,44790
9344,44791
9344,44792
9344,44793
9344,44794
9344,44795
9344,44796
9344,44797
9344,44798
9344,44799
9344,44800
9344,44801
9344,44802
9344,44803
9344,44804
9344,44805
9344,44806
9345,44787
9345,44788
9345,44789
9345,44790
9345,44791
9345,44792
9345,44793
9345,44794
9345,44795
9345,44796
9345,44797
9345,44798
9345,44799
9345,44800
9345,44801
9345,44802
9345,44803
9345,44804
9345,44805
9345,44806
9345,44807
9346,44787
9346,44788
9346,44789
9346,44790
9346,44791
9346,44792
9346,44793
9346,44794
9346,44795
9346,44796
9346,44797
9346,44798
9346,44799
9346,44800
9346,44801
9346,44802
9346,44803
9346,44804
9346,44805
9346,44806
9346,44807
9346,44808
9347,44786
9347,44787
9347,44788
9347,44789
9347,44790
9347,44791
9347,44792
9347,44793
9347,44794
9347,44795
9347,44796
9347,44797
9347,44798
9347,44799
9347,44800
9347,44801
9347,44802
9347,44803
9347,44804
9347,44805
9347,44806
9347,44807
9347,44808
9348,44786
9348,44787
9348,44788
9348,44789
9348,44790
9348,44791
9348,44792
9348,44793
9348,44794
9348,44795
9348,44796
9348,44797
9348,44798
9348,44799
9348,44800
9348,44801
9348,44802
9348,44803
9348,44804
9348,44805
9348,44806
9348,44807
9348,44808
9348,44809
9348,44813
9348,44814
9349,44786
9349,44787
9349,44788
9349,44789
9349,44790
9349,44791
9349,44792
9349,44793
9349,44794
9349,44795
9349,44796
9349,44797
9349,44798
9349,44799
9349,44800
9349,44801
9349,44802
9349,44803
9349,44804
9349,44805
9349,44806
9349,44807
9349,44808
9349,44809
9349,44810
9349,44811
9349,44812
9349,44813
9349,44814
9349,44815
9349,44816
9349,44817
9350,44787
9350,44788
9350,44789
9350,44790
9350,44791
9350,44792
9350,44793
9350,44794
9350,44795
9350,44796
9350,44797
9350,44798
9350,44799
9350,44800
9350,44801
9350,44802
9350,44803
9350,44804
9350,44805
9350,44806
9350,44807
9350,44808
9350,44809
9350,44810
9350,44811
9350,44812
9350,44813
9350,44814
9350,44815
9350,44816
9350,44817
9350,44818
9350,44819
9350,44820
9350,44821
9351,44787
9351,44788
9351,44789
9351,44790
9351,44791
9351,44792
9351,44793
9351,44794
9351,44795
9351,44796
9351,44797
9351,44798
9351,44799
9351,44800
9351,44801
9351,44802
9351,44803
9351,44804
9351,44805
9351,44806
9351,44807
9351,44808
9351,44809
9351,44810
9351,44811
9351,44812
9351,44813
9351,44814
9351,44815
9351,44816
9351,44817
9351,44818
9351,44819
9351,44820
9351,44821
9351,44822
9351,44823
9351,44824
9352,44785
9352,44786
9352,44787
9352,44788
9352,44789
9352,44790
9352,44791
9352,44792
9352,44793
9352,44794
9352,44795
9352,44796
9352,44797
9352,44798
9352,44799
9352,44800
9352,44801
9352,44802
9352,44803
9352,44804
9352,44805
9352,44806
9352,44807
9352,44808
9352,44809
9352,44810
9352,44811
9352,44812
9352,44813
9352,44814
9352,44815
9352,44816
9352,44817
