"X","Y"
4931,15695
4970,15685
4999,15553
5017,15621
4903,15686
4974,15736
5026,15658
4914,15676
4858,15562
5056,15646
4887,15704
4865,15583
5029,15614
4957,15729
4917,15540
5025,15670
4969,15636
4874,15696
4998,15754
4942,15736
4978,15591
4886,15588
4904,15720
4882,15548
4913,15565
5037,15615
4925,15729
5012,15660
4956,15678
4934,15530
4894,15607
5042,15652
4912,15735
4885,15653
4896,15713
4930,15613
4982,15704
5029,15666
4899,15691
4967,15731
4929,15687
4960,15560
4882,15616
5024,15642
5037,15683
4981,15617
4867,15627
4994,15745
4938,15695
4937,15632
4910,15668
4881,15689
4955,15566
5005,15747
4949,15553
5039,15683
4872,15583
5054,15659
4924,15714
5014,15588
4884,15731
4954,15654
4985,15575
5010,15567
4892,15714
4966,15577
5040,15707
4963,15740
4867,15559
4941,15732
5031,15606
5009,15665
4854,15606
4980,15583
4879,15644
4992,15622
4897,15592
4862,15690
5021,15586
4949,15621
4909,15732
4996,15681
4945,15569
4979,15669
4884,15543
4878,15600
4880,15615
5004,15597
5001,15752
5035,15676
5047,15744
4917,15685
4991,15554
5065,15684
4988,15757
4895,15701
4966,15717
5034,15656
4888,15725
5052,15694
4922,15601
4934,15717
5021,15654
4970,15560
4903,15611
4961,15696
5060,15661
5004,15665
4905,15737
4939,15597
4899,15544
4991,15622
4861,15687
4951,15557
4969,15745
4877,15672
4857,15603
5016,15685
4960,15623
4904,15571
4891,15734
4994,15568
4959,15686
5046,15671
4876,15687
4952,15589
4912,15586
4986,15721
4946,15706
4885,15530
4919,15674
5011,15565
4973,15636
4930,15728
4924,15537
5014,15671
4902,15649
4933,15736
5023,15610
5041,15714
4985,15648
4929,15580
4972,15587
4864,15612
4916,15703
5006,15569
5058,15657
4873,15669
4941,15525
4901,15736
5028,15728
4977,15554
5031,15655
4971,15681
4910,15555
4928,15619
4955,15707
4859,15576
4872,15690
4927,15706
4906,15602
4958,15697
4954,15533
4871,15619
4889,15563
5013,15637
5010,15682
4898,15668
4926,15633
5000,15763
5053,15735
4870,15597
4883,15671
4901,15548
5027,15707
4953,15644
4866,15540
4897,15717
4936,15731
4931,15593
4983,15706
4999,15723
4869,15676
4943,15653
4940,15670
4979,15550
4880,15722
4914,15586
5038,15652
4923,15687
5007,15688
4951,15642
4895,15582
4908,15542
4926,15533
4984,15540
4998,15664
4978,15693
4886,15682
4883,15603
4922,15620
5012,15750
4956,15552
5008,15698
4894,15661
4952,15668
5042,15754
4965,15657
4961,15597
4896,15563
4948,15718
4868,15700
4995,15716
4865,15649
4939,15718
4933,15529
5023,15659
4877,15533
4911,15705
5050,15644
5003,15733
4947,15639
4873,15590
4994,15655
5033,15693
4977,15667
4863,15688
4990,15680
4986,15612
4856,15535
4946,15569
4921,15572
4881,15607
4893,15707
5020,15685
4890,15672
4964,15623
5032,15618
4868,15528
4902,15580
4920,15728
4855,15535
4972,15702
5019,15668
4963,15574
4907,15650
4975,15722
4935,15705
4971,15546
4962,15726
4993,15605
4879,15542
4918,15650
5045,15706
4915,15635
4989,15656
4875,15650
4927,15567
4906,15737
4940,15589
5030,15715
5001,15590
4889,15696
4957,15528
5047,15658
5044,15637
4988,15575
4932,15643
5000,15646
4984,15747
4944,15680
4953,15593
4987,15741
5012,15573
4900,15707
4936,15614
4931,15698
4970,15726
4875,15598
4999,15580
5017,15656
4903,15709
4974,15709
5026,15623
4914,15641
4858,15543
4982,15537
5056,15667
4887,15671
4865,15602
4957,15724
5007,15581
5025,15657
4969,15679
4857,15689
4942,15645
4978,15552
4886,15577
5043,15655
4925,15724
5012,15625
4956,15707
5008,15565
5042,15617
4912,15692
4885,15616
4973,15546
4896,15686
4890,15563
4982,15741
5029,15645
4967,15694
4911,15586
4929,15738
4942,15577
4882,15645
4860,15611
5037,15710
4981,15660
4907,15571
4867,15662
4997,15709
4959,15548
4938,15656
5067,15658
4910,15641
4921,15713
4881,15724
4955,15589
4924,15711
5014,15577
5032,15757
4976,15743
4884,15704
4920,15611
4954,15683
5010,15592
5062,15695
4932,15562
4892,15647
5019,15745
4968,15533
4963,15683
5022,15692
4867,15594
4941,15695
5049,15737
5009,15700
4854,15595
5036,15626
4962,15589
4980,15556
4993,15682
4879,15675
4992,15675
4897,15555
4949,15712
4909,15631
4999,15757
4996,15726
4945,15604
4979,15704
4974,15532
5048,15662
4878,15637
5004,15562
5001,15763
4917,15712
4988,15722
4895,15728
4874,15596
4892,15555
4966,15742
5040,15612
5034,15669
4987,15606
5018,15707
4888,15634
4922,15578
4862,15595
5021,15681
4970,15573
4909,15571
4903,15574
4961,15691
5004,15630
4905,15644
4939,15552
4991,15725
5059,15654
4877,15635
4874,15648
4857,15574
5016,15722
4904,15608
4882,15564
4913,15709
4947,15601
4891,15725
5015,15715
4994,15565
4959,15725
5046,15656
4876,15708
4912,15559
4986,15698
4946,15735
4973,15663
4930,15725
4964,15609
4924,15534
5014,15656
4902,15674
5041,15685
4985,15627
4929,15607
4960,15544
4972,15608
5006,15610
5019,15582
4968,15708
5071,15667
4873,15640
5031,15618
4901,15683
5028,15709
4937,15584
4971,15716
4876,15584
4910,15524
4928,15672
5011,15724
4949,15537
5039,15667
4872,15535
4927,15649
4958,15738
5032,15608
5066,15716
4954,15574
4871,15646
4889,15598
5010,15711
4898,15633
4966,15529
4926,15738
5040,15659
5053,15698
4870,15622
4883,15642
4953,15623
4980,15695
4866,15569
4897,15704
4936,15704
4970,15748
4983,15729
4999,15622
4853,15554
4943,15680
4940,15635
4880,15631
4914,15615
5038,15625
5035,15692
4923,15674
4849,15539
5007,15735
4861,15603
4951,15729
4895,15589
4908,15571
4926,15542
4998,15701
4978,15654
4883,15574
4891,15546
5052,15678
4922,15713
4956,15613
4866,15637
5008,15735
4894,15670
4952,15705
4965,15668
4961,15552
4948,15683
4995,15627
4933,15540
4861,15671
4951,15541
5023,15670
4911,15684
4908,15639
5016,15605
5050,15737
5006,15621
5003,15688
4947,15738
5037,15748
4981,15554
4873,15561
5015,15604
4994,15680
5033,15696
