"X","Y"
17354,21443
17355,21441
17355,21442
17355,21443
17355,21444
17356,21440
17356,21441
17356,21442
17356,21443
17356,21444
17356,21445
17357,21439
17357,21440
17357,21441
17357,21442
17357,21443
17357,21444
17357,21445
17357,21446
17358,21436
17358,21437
17358,21438
17358,21439
17358,21440
17358,21441
17358,21442
17358,21443
17358,21444
17358,21445
17358,21446
17358,21447
17359,21434
17359,21435
17359,21436
17359,21437
17359,21438
17359,21439
17359,21440
17359,21441
17359,21442
17359,21443
17359,21444
17359,21445
17359,21446
17359,21447
17359,21448
17360,21433
17360,21434
17360,21435
17360,21436
17360,21437
17360,21438
17360,21439
17360,21440
17360,21441
17360,21442
17360,21443
17360,21444
17360,21445
17360,21446
17360,21447
17360,21448
17360,21449
17360,21450
17360,21451
17360,21452
17360,21453
17360,21454
17360,21455
17360,21456
17360,21457
17360,21458
17360,21459
17360,21460
17360,21461
17360,21462
17360,21463
17360,21464
17360,21465
17360,21466
17360,21467
17360,21468
17360,21469
17360,21470
17360,21471
17360,21472
17360,21473
17360,21474
17360,21475
17360,21476
17360,21477
17360,21478
17360,21479
17360,21480
17360,21481
17360,21482
17360,21483
17360,21484
17360,21485
17360,21486
17360,21487
17360,21488
17361,21431
17361,21432
17361,21433
17361,21434
17361,21435
17361,21436
17361,21437
17361,21438
17361,21439
17361,21440
17361,21441
17361,21442
17361,21443
17361,21444
17361,21445
17361,21446
17361,21447
17361,21448
17361,21449
17361,21450
17361,21451
17361,21452
17361,21453
17361,21454
17361,21455
17361,21456
17361,21457
17361,21458
17361,21459
17361,21460
17361,21461
17361,21462
17361,21463
17361,21464
17361,21465
17361,21466
17361,21467
17361,21468
17361,21469
17361,21470
17361,21471
17361,21472
17361,21473
17361,21474
17361,21475
17361,21476
17361,21477
17361,21478
17361,21479
17361,21480
17361,21481
17361,21482
17361,21483
17361,21484
17361,21485
17361,21486
17361,21487
17361,21488
17361,21489
17361,21490
17361,21491
17361,21492
17361,21493
17361,21494
17361,21495
17361,21496
17361,21497
17361,21498
17361,21499
17361,21500
17361,21501
17361,21502
17361,21503
17361,21504
17361,21505
17361,21506
17361,21507
17361,21508
17361,21509
17361,21510
17361,21511
17361,21512
17361,21513
17361,21514
17361,21515
17361,21516
17361,21517
17361,21518
17361,21519
17361,21520
17361,21521
17361,21522
17361,21523
17361,21524
17361,21525
17361,21526
17361,21527
17361,21528
17361,21529
