"X","Y"
6929,38351
6930,38348
6930,38349
6930,38350
6930,38351
6930,38352
6930,38353
6931,38347
6931,38348
6931,38349
6931,38350
6931,38351
6931,38352
6931,38353
6931,38354
6932,38346
6932,38347
6932,38348
6932,38349
6932,38350
6932,38351
6932,38352
6932,38353
6932,38354
6932,38355
6933,38346
6933,38347
6933,38348
6933,38349
6933,38350
6933,38351
6933,38352
6933,38353
6933,38354
6933,38355
6933,38356
6934,38346
6934,38347
6934,38348
6934,38349
6934,38350
6934,38351
6934,38352
6934,38353
6934,38354
6934,38355
6934,38356
6935,38343
6935,38345
6935,38346
6935,38347
6935,38348
6935,38349
6935,38350
6935,38351
6935,38352
6935,38353
6935,38354
6935,38355
6935,38356
6936,38340
6936,38341
6936,38342
6936,38343
6936,38344
6936,38345
6936,38346
6936,38347
6936,38348
6936,38349
6936,38350
6936,38351
6936,38352
6936,38353
6936,38354
6936,38355
6936,38356
6936,38357
6937,38339
6937,38340
6937,38341
6937,38342
6937,38343
6937,38344
6937,38345
6937,38346
6937,38347
6937,38348
6937,38349
6937,38350
6937,38351
6937,38352
6937,38353
6937,38354
6937,38355
6937,38356
6938,38337
6938,38338
6938,38339
6938,38340
6938,38341
6938,38342
6938,38343
6938,38344
6938,38345
6938,38346
6938,38347
6938,38348
6938,38349
6938,38350
6938,38351
6938,38352
6938,38353
6938,38354
6938,38355
6938,38356
6939,38336
6939,38337
6939,38338
6939,38339
6939,38340
6939,38341
6939,38342
6939,38343
6939,38344
6939,38345
6939,38346
6939,38347
6939,38348
6939,38349
6939,38350
6939,38351
6939,38352
6939,38353
6939,38354
6939,38355
6940,38335
6940,38336
6940,38337
6940,38338
6940,38339
6940,38340
6940,38341
6940,38342
6940,38343
6940,38344
6940,38345
6940,38346
6940,38347
6940,38348
6940,38349
6940,38350
6940,38351
6940,38352
6940,38353
6940,38354
6941,38334
6941,38335
6941,38336
6941,38337
6941,38338
6941,38339
6941,38340
6941,38341
6941,38342
6941,38343
6941,38344
6941,38345
6941,38346
6941,38347
6941,38348
6941,38349
6941,38350
6941,38352
6942,38333
6942,38334
6942,38335
6942,38336
6942,38337
6942,38338
6942,38339
6942,38340
6942,38341
6942,38342
6942,38343
6942,38344
6942,38345
6942,38346
6942,38347
6942,38348
6942,38349
6943,38333
6943,38334
6943,38335
6943,38336
6943,38337
6943,38338
6943,38339
6943,38340
6943,38341
6943,38342
6943,38343
6943,38344
6943,38345
6943,38346
6943,38347
6943,38348
6943,38349
6944,38332
6944,38333
6944,38334
6944,38335
6944,38336
6944,38337
6944,38338
6944,38339
6944,38340
6944,38341
6944,38342
6944,38343
6944,38344
6944,38345
6944,38346
6944,38347
6944,38348
6944,38349
6945,38333
6945,38334
6945,38335
6945,38336
6945,38337
6945,38338
6945,38339
6945,38340
6945,38341
6945,38342
6945,38343
6945,38344
6945,38345
6945,38346
6945,38347
6945,38348
6945,38353
6945,38355
6945,38356
6945,38357
6946,38333
6946,38334
6946,38335
6946,38336
6946,38337
6946,38338
6946,38339
6946,38340
6946,38341
6946,38342
6946,38343
6946,38344
6946,38345
6946,38346
6946,38347
6946,38348
6946,38350
6946,38351
6946,38352
6946,38353
6946,38354
6946,38355
6946,38356
6946,38357
6946,38358
6946,38359
6946,38360
6947,38333
6947,38334
6947,38335
6947,38336
6947,38337
6947,38338
6947,38339
6947,38340
6947,38341
6947,38342
6947,38343
6947,38344
6947,38345
6947,38346
6947,38347
6947,38348
6947,38349
6947,38350
6947,38351
6947,38352
6947,38353
6947,38354
6947,38355
6947,38356
6947,38357
6947,38358
6947,38359
6947,38360
6947,38361
6948,38332
6948,38333
6948,38334
6948,38335
6948,38336
6948,38337
6948,38338
6948,38339
6948,38340
6948,38341
6948,38342
6948,38343
6948,38344
6948,38345
6948,38346
6948,38347
6948,38348
6948,38349
6948,38350
6948,38351
6948,38352
6948,38353
6948,38354
6948,38355
6948,38356
6948,38357
6948,38358
6948,38359
6948,38360
6948,38361
6948,38362
6948,38513
6948,38514
6948,38515
6948,38516
6949,38333
6949,38334
6949,38335
6949,38336
6949,38337
6949,38338
6949,38339
6949,38340
6949,38341
6949,38342
6949,38343
6949,38344
6949,38345
6949,38346
6949,38347
6949,38348
6949,38349
6949,38350
6949,38351
6949,38352
6949,38353
6949,38354
6949,38355
6949,38356
6949,38357
6949,38358
6949,38359
6949,38360
6949,38361
6949,38362
6949,38363
6949,38364
6949,38365
6949,38510
6949,38511
6949,38512
6949,38513
6949,38514
6949,38515
6949,38516
6949,38517
6949,38518
6949,38519
6950,38333
6950,38334
6950,38335
6950,38336
6950,38337
6950,38338
6950,38339
6950,38340
6950,38341
6950,38342
6950,38343
6950,38344
6950,38345
6950,38346
6950,38347
6950,38348
6950,38349
6950,38350
6950,38351
6950,38352
6950,38353
6950,38354
6950,38355
6950,38356
6950,38357
6950,38358
6950,38359
6950,38360
6950,38361
6950,38362
6950,38363
6950,38364
6950,38365
6950,38366
6950,38507
6950,38508
6950,38509
6950,38510
6950,38511
6950,38512
6950,38513
6950,38514
6950,38515
6950,38516
6950,38517
6950,38518
6950,38519
6950,38520
6951,38320
6951,38321
6951,38333
6951,38334
6951,38335
6951,38336
6951,38337
6951,38338
6951,38339
6951,38340
6951,38341
6951,38342
6951,38343
6951,38344
6951,38345
6951,38346
6951,38347
6951,38348
6951,38349
6951,38350
6951,38351
6951,38352
6951,38353
6951,38354
6951,38355
6951,38356
6951,38357
6951,38358
6951,38359
6951,38360
6951,38361
6951,38362
6951,38363
6951,38364
6951,38365
6951,38366
6951,38367
6951,38505
6951,38506
6951,38507
6951,38508
6951,38509
6951,38510
6951,38511
6951,38512
6951,38513
6951,38514
6951,38515
6951,38516
6951,38517
6951,38518
6951,38519
6951,38520
6951,38521
6952,38317
6952,38318
6952,38319
6952,38320
6952,38321
6952,38322
6952,38323
6952,38324
6952,38334
6952,38335
6952,38336
6952,38337
6952,38338
6952,38339
6952,38340
6952,38341
6952,38342
6952,38343
6952,38344
6952,38345
6952,38346
6952,38347
6952,38348
6952,38349
6952,38350
6952,38351
6952,38352
6952,38353
6952,38354
6952,38355
6952,38356
6952,38357
6952,38358
6952,38359
6952,38360
6952,38361
6952,38362
6952,38363
6952,38364
6952,38365
6952,38366
6952,38367
6952,38503
6952,38504
6952,38505
6952,38506
6952,38507
6952,38508
6952,38509
6952,38510
6952,38511
6952,38512
6952,38513
6952,38514
6952,38515
6952,38516
