"X","Y"
24618,15489
24619,15485
24619,15486
24619,15487
24619,15488
24619,15489
24619,15490
24619,15491
24619,15492
24619,15493
24620,15482
24620,15483
24620,15484
24620,15485
24620,15486
24620,15487
24620,15488
24620,15489
24620,15490
24620,15491
24620,15492
24620,15493
24620,15494
24621,15481
24621,15482
24621,15483
24621,15484
24621,15485
24621,15486
24621,15487
24621,15488
24621,15489
24621,15490
24621,15491
24621,15492
24621,15493
24621,15494
24621,15495
24622,15480
24622,15481
24622,15482
24622,15483
24622,15484
24622,15485
24622,15486
24622,15487
24622,15488
24622,15489
24622,15490
24622,15491
24622,15492
24622,15493
24622,15494
24622,15495
24622,15496
24623,15480
24623,15481
24623,15482
24623,15483
24623,15484
24623,15485
24623,15486
24623,15487
24623,15488
24623,15489
24623,15490
24623,15491
24623,15492
24623,15493
24623,15494
24623,15495
24623,15496
24623,15497
24624,15479
24624,15480
24624,15481
24624,15482
24624,15483
24624,15484
24624,15485
24624,15486
24624,15487
24624,15488
24624,15489
24624,15490
24624,15491
24624,15492
24624,15493
24624,15494
24624,15495
24624,15496
24624,15497
24624,15498
24625,15479
24625,15480
24625,15481
24625,15482
24625,15483
24625,15484
24625,15485
24625,15486
24625,15487
24625,15488
24625,15489
24625,15490
24625,15491
24625,15492
24625,15493
24625,15494
24625,15495
24625,15496
24625,15497
24625,15498
24625,15499
24626,15477
24626,15479
24626,15480
24626,15481
24626,15482
24626,15483
24626,15484
24626,15485
24626,15486
24626,15487
24626,15488
24626,15489
24626,15490
24626,15491
24626,15492
24626,15493
24626,15494
24626,15495
24626,15496
24626,15497
24626,15498
24626,15499
24626,15500
24627,15474
24627,15475
24627,15476
24627,15477
24627,15478
24627,15479
24627,15480
24627,15481
24627,15482
24627,15483
24627,15484
24627,15485
24627,15486
24627,15487
24627,15488
24627,15489
24627,15490
24627,15491
24627,15492
24627,15493
24627,15494
24627,15495
24627,15496
24627,15497
24627,15498
24627,15499
24627,15500
24627,15501
24628,15473
24628,15474
24628,15475
24628,15476
24628,15477
24628,15478
24628,15479
24628,15480
24628,15481
24628,15482
24628,15483
24628,15484
24628,15485
24628,15486
24628,15487
24628,15488
24628,15489
24628,15490
24628,15491
24628,15492
24628,15493
24628,15494
24628,15495
24628,15496
24628,15497
24628,15498
24628,15499
24628,15500
24628,15501
24628,15502
24629,15472
24629,15473
24629,15474
24629,15475
24629,15476
24629,15477
24629,15478
24629,15479
24629,15480
24629,15481
24629,15482
24629,15483
24629,15484
24629,15485
24629,15486
24629,15487
24629,15488
24629,15489
24629,15490
24629,15491
24629,15492
24629,15493
24629,15494
24629,15495
24629,15496
24629,15497
24629,15498
24629,15499
24629,15500
24629,15501
24629,15502
24629,15503
24630,15471
24630,15472
24630,15473
24630,15474
24630,15475
24630,15476
24630,15477
24630,15478
24630,15479
24630,15480
24630,15481
24630,15482
24630,15483
24630,15484
24630,15485
24630,15486
24630,15487
24630,15488
24630,15489
24630,15490
24630,15491
24630,15492
24630,15493
24630,15494
24630,15495
24630,15496
24630,15497
24630,15498
24630,15499
24630,15500
24630,15501
24630,15502
24630,15503
24630,15504
24631,15470
24631,15471
24631,15472
24631,15473
24631,15474
24631,15475
24631,15476
24631,15477
24631,15478
24631,15479
24631,15480
24631,15481
24631,15482
24631,15483
24631,15484
24631,15485
24631,15486
24631,15487
24631,15488
24631,15489
24631,15490
24631,15491
24631,15492
24631,15493
24631,15494
24631,15495
24631,15496
24631,15497
24631,15498
24631,15499
24631,15500
24631,15501
24631,15502
24631,15503
24631,15504
24631,15505
24632,15469
24632,15470
24632,15471
24632,15472
24632,15473
24632,15474
24632,15475
24632,15476
24632,15477
24632,15478
24632,15479
24632,15480
24632,15481
24632,15482
24632,15483
24632,15484
24632,15485
24632,15486
24632,15487
24632,15488
24632,15489
24632,15490
24632,15491
24632,15492
24632,15493
24632,15494
24632,15495
24632,15496
24632,15497
24632,15498
24632,15499
24632,15500
24632,15501
24632,15502
24632,15503
24632,15504
24632,15505
24632,15506
24633,15469
24633,15470
24633,15471
24633,15472
24633,15473
24633,15474
24633,15475
24633,15476
24633,15477
24633,15478
24633,15479
24633,15480
24633,15481
24633,15482
24633,15483
24633,15484
24633,15485
24633,15486
24633,15487
24633,15488
24633,15489
24633,15490
24633,15491
24633,15492
24633,15493
24633,15494
24633,15495
24633,15496
24633,15497
24633,15498
24633,15499
24633,15500
24633,15501
24633,15502
24633,15503
24633,15504
24633,15505
24633,15506
24633,15507
24634,15468
24634,15469
24634,15470
24634,15471
24634,15472
24634,15473
24634,15474
24634,15475
24634,15476
24634,15477
24634,15478
24634,15479
24634,15480
24634,15481
24634,15482
24634,15483
24634,15484
24634,15485
24634,15486
24634,15487
24634,15488
24634,15489
24634,15490
24634,15491
24634,15492
24634,15493
24634,15494
24634,15495
24634,15496
24634,15497
24634,15498
24634,15499
24634,15500
24634,15501
24634,15502
24634,15503
24634,15504
24634,15505
24634,15506
24634,15507
24634,15508
24635,15468
24635,15469
24635,15470
24635,15471
24635,15472
24635,15473
24635,15474
24635,15475
24635,15476
24635,15477
24635,15478
24635,15479
24635,15480
24635,15481
24635,15482
24635,15483
24635,15484
24635,15485
24635,15486
24635,15487
24635,15488
24635,15489
24635,15490
24635,15491
24635,15492
24635,15493
24635,15494
24635,15495
24635,15496
24635,15497
24635,15498
24635,15499
24635,15500
24635,15501
24635,15502
24635,15503
24635,15504
24635,15505
24635,15506
24635,15507
24635,15508
24635,15509
24636,15468
24636,15469
24636,15470
24636,15471
24636,15472
24636,15473
24636,15474
24636,15475
24636,15476
24636,15477
24636,15478
24636,15479
24636,15480
24636,15481
24636,15482
24636,15483
24636,15484
24636,15485
24636,15486
24636,15487
24636,15488
24636,15489
24636,15490
24636,15491
24636,15492
24636,15493
24636,15494
24636,15495
24636,15496
24636,15497
24636,15498
24636,15499
24636,15500
24636,15501
24636,15502
24636,15503
24636,15504
24636,15505
24636,15506
24636,15507
24636,15508
24636,15509
24636,15510
24637,15467
24637,15468
24637,15469
24637,15470
24637,15471
24637,15472
24637,15473
24637,15474
24637,15475
24637,15476
24637,15477
24637,15478
24637,15479
24637,15480
24637,15481
24637,15482
24637,15483
24637,15484
24637,15485
24637,15486
24637,15487
24637,15488
24637,15489
24637,15490
24637,15491
24637,15492
24637,15493
24637,15494
24637,15495
24637,15496
24637,15497
24637,15498
24637,15499
24637,15500
24637,15501
24637,15502
24637,15503
24637,15504
24637,15505
24637,15506
24637,15507
24637,15508
24637,15509
24637,15510
24637,15511
24638,15468
24638,15469
24638,15470
24638,15471
24638,15472
24638,15473
24638,15474
24638,15475
24638,15476
24638,15477
24638,15478
24638,15479
24638,15480
24638,15481
24638,15482
24638,15483
24638,15484
24638,15485
24638,15486
24638,15487
24638,15488
24638,15489
24638,15490
24638,15491
24638,15492
24638,15493
24638,15494
24638,15495
24638,15496
24638,15497
24638,15498
24638,15499
24638,15500
24638,15501
24638,15502
24638,15503
24638,15504
24638,15505
24638,15506
24638,15507
24638,15508
24638,15509
24638,15510
24638,15511
24638,15512
24639,15468
24639,15469
24639,15470
24639,15471
24639,15472
24639,15473
24639,15474
24639,15475
24639,15476
24639,15477
24639,15478
24639,15479
24639,15480
24639,15481
24639,15482
24639,15483
24639,15484
24639,15485
24639,15486
24639,15487
24639,15488
24639,15489
24639,15490
24639,15491
24639,15492
24639,15493
24639,15494
24639,15495
24639,15496
24639,15497
24639,15498
24639,15499
24639,15500
24639,15501
24639,15502
24639,15503
24639,15504
24639,15505
24639,15506
24639,15507
24639,15508
24639,15509
24639,15510
24639,15511
24639,15512
24639,15513
24640,15468
24640,15469
24640,15470
24640,15471
24640,15472
24640,15473
24640,15474
24640,15475
24640,15476
24640,15477
24640,15478
24640,15479
24640,15480
24640,15481
24640,15482
24640,15483
24640,15484
24640,15485
24640,15486
24640,15487
24640,15488
24640,15489
24640,15490
24640,15491
24640,15492
24640,15493
24640,15494
24640,15495
24640,15496
24640,15497
24640,15498
24640,15499
24640,15500
24640,15501
24640,15502
24640,15503
24640,15504
24640,15505
24640,15506
24640,15507
24640,15508
24640,15509
24640,15510
24640,15511
24640,15512
24640,15513
24640,15514
24641,15469
24641,15470
24641,15471
24641,15472
24641,15473
24641,15474
24641,15475
24641,15476
24641,15477
24641,15478
24641,15479
24641,15480
24641,15481
24641,15482
24641,15483
24641,15484
24641,15485
24641,15486
24641,15487
24641,15488
24641,15489
24641,15490
24641,15491
24641,15492
24641,15493
24641,15494
24641,15495
24641,15496
24641,15497
24641,15498
24641,15499
24641,15500
24641,15501
24641,15502
24641,15503
24641,15504
24641,15505
24641,15506
24641,15507
24641,15508
24641,15509
24641,15510
24641,15511
24641,15512
24641,15513
24641,15514
24641,15515
24642,15468
24642,15469
24642,15470
24642,15471
24642,15472
24642,15473
24642,15474
24642,15475
24642,15476
24642,15477
24642,15478
24642,15479
24642,15480
24642,15481
24642,15482
24642,15483
24642,15484
24642,15485
24642,15486
24642,15487
24642,15488
24642,15489
24642,15490
24642,15491
24642,15492
24642,15493
24642,15494
24642,15495
24642,15496
24642,15497
24642,15498
24642,15499
24642,15500
24642,15501
24642,15502
24642,15503
24642,15504
24642,15505
24642,15506
24642,15507
24642,15508
24642,15509
24642,15510
24642,15511
24642,15512
24642,15513
24642,15514
24642,15515
24642,15516
24643,15468
24643,15469
24643,15470
24643,15471
24643,15472
24643,15473
24643,15474
24643,15475
24643,15476
24643,15477
24643,15478
24643,15479
24643,15480
24643,15481
24643,15482
24643,15483
24643,15484
24643,15485
24643,15486
24643,15487
24643,15488
24643,15489
24643,15490
24643,15491
24643,15492
24643,15493
24643,15494
24643,15495
24643,15496
24643,15497
24643,15498
24643,15499
24643,15500
24643,15501
24643,15502
24643,15503
24643,15504
24643,15505
24643,15506
24643,15507
24643,15508
24643,15509
24643,15510
24643,15511
24643,15512
24643,15513
24643,15514
24643,15515
24643,15516
24643,15517
24644,15468
24644,15469
24644,15470
24644,15471
24644,15472
24644,15473
24644,15474
24644,15475
24644,15476
24644,15477
24644,15478
24644,15479
24644,15480
24644,15481
24644,15482
24644,15483
24644,15484
24644,15485
24644,15486
24644,15487
24644,15488
24644,15489
24644,15490
24644,15491
24644,15492
24644,15493
24644,15494
24644,15495
24644,15496
24644,15497
24644,15498
24644,15499
24644,15500
24644,15501
24644,15502
24644,15503
24644,15504
24644,15505
24644,15506
24644,15507
24644,15508
24644,15509
24644,15510
24644,15511
24644,15512
24644,15513
24644,15514
24644,15515
24644,15516
24644,15517
24644,15518
24645,15467
24645,15468
24645,15469
24645,15470
24645,15471
24645,15472
24645,15473
24645,15474
24645,15475
24645,15476
24645,15477
24645,15478
24645,15479
24645,15480
24645,15481
24645,15482
24645,15483
24645,15484
24645,15485
24645,15486
24645,15487
24645,15488
24645,15489
24645,15490
24645,15491
24645,15492
24645,15493
24645,15494
24645,15495
24645,15496
24645,15497
24645,15498
24645,15499
24645,15500
24645,15501
24645,15502
24645,15503
24645,15504
24645,15505
24645,15506
24645,15507
24645,15508
24645,15509
24645,15510
24645,15511
24645,15512
24645,15513
24645,15514
24645,15515
24645,15516
24645,15517
24645,15518
24645,15519
24646,15467
24646,15468
24646,15469
24646,15470
24646,15471
24646,15472
24646,15473
24646,15474
24646,15475
24646,15476
24646,15477
24646,15478
24646,15479
24646,15480
24646,15481
24646,15482
24646,15483
24646,15484
24646,15485
24646,15486
24646,15487
24646,15488
24646,15489
24646,15490
24646,15491
24646,15492
24646,15493
24646,15494
24646,15495
24646,15496
24646,15497
24646,15498
24646,15499
24646,15500
24646,15501
24646,15502
24646,15503
24646,15504
24646,15505
24646,15506
24646,15507
24646,15508
24646,15509
24646,15510
24646,15511
24646,15512
24646,15513
24646,15514
24646,15515
24646,15516
24646,15517
24646,15518
24646,15519
24646,15520
24646,15521
24646,15522
24646,15523
24646,15524
24646,15525
24646,15526
24646,15527
24646,15528
24646,15529
24646,15530
24646,15531
24646,15532
24646,15533
24646,15534
24646,15535
24646,15536
24646,15537
24646,15538
24646,15539
24646,15540
24646,15541
24646,15542
