"X","Y"
12090,37603
12091,37600
12091,37601
12091,37602
12091,37603
12091,37604
12091,37605
12092,37599
12092,37600
12092,37601
12092,37602
12092,37603
12092,37604
12092,37605
12092,37606
12093,37597
12093,37598
12093,37599
12093,37600
12093,37601
12093,37602
12093,37603
12093,37604
12093,37605
12093,37606
12093,37607
12094,37569
12094,37570
12094,37571
12094,37596
12094,37597
12094,37598
12094,37599
12094,37600
12094,37601
12094,37602
12094,37603
12094,37604
12094,37605
12094,37606
12094,37607
12095,37566
12095,37567
12095,37568
12095,37569
12095,37570
12095,37571
12095,37572
12095,37573
12095,37595
12095,37596
12095,37597
12095,37598
12095,37599
12095,37600
12095,37601
12095,37602
12095,37603
12095,37604
12095,37605
12095,37606
12095,37607
12095,37608
12096,37565
12096,37566
12096,37567
12096,37568
12096,37569
12096,37570
12096,37571
12096,37572
12096,37573
12096,37574
12096,37594
12096,37595
12096,37596
12096,37597
12096,37598
12096,37599
12096,37600
12096,37601
12096,37602
12096,37603
12096,37604
12096,37605
12096,37606
12096,37607
12096,37608
12097,37564
12097,37565
12097,37566
12097,37567
12097,37568
12097,37569
12097,37570
12097,37571
12097,37572
12097,37573
12097,37574
12097,37575
12097,37593
12097,37594
12097,37595
12097,37596
12097,37597
12097,37598
12097,37599
12097,37600
12097,37601
12097,37602
12097,37603
12097,37604
12097,37605
12097,37606
12097,37607
12097,37608
12098,37564
12098,37565
12098,37566
12098,37567
12098,37568
12098,37569
12098,37570
12098,37571
12098,37572
12098,37573
12098,37574
12098,37575
12098,37593
12098,37594
12098,37595
12098,37596
12098,37597
12098,37598
12098,37599
12098,37600
12098,37601
12098,37602
12098,37603
12098,37604
12098,37605
12098,37606
12098,37607
12098,37608
12098,37609
12099,37564
12099,37565
12099,37566
12099,37567
12099,37568
12099,37569
12099,37570
12099,37571
12099,37572
12099,37573
12099,37574
12099,37575
12099,37576
12099,37592
12099,37593
12099,37594
12099,37595
12099,37596
12099,37597
12099,37598
12099,37599
12099,37600
12099,37601
12099,37602
12099,37603
12099,37604
12099,37605
12099,37606
12099,37607
12099,37608
12100,37563
12100,37564
12100,37565
12100,37566
12100,37567
12100,37568
12100,37569
12100,37570
12100,37571
12100,37572
12100,37573
12100,37574
12100,37575
12100,37592
12100,37593
12100,37594
12100,37595
12100,37596
12100,37597
12100,37598
12100,37599
12100,37600
12100,37601
12100,37602
12100,37603
12100,37604
12100,37605
12100,37606
12100,37607
12100,37608
12101,37564
12101,37565
12101,37566
12101,37567
12101,37568
12101,37569
12101,37570
12101,37571
12101,37572
12101,37573
12101,37574
12101,37575
12101,37592
12101,37593
12101,37594
12101,37595
12101,37596
12101,37597
12101,37598
12101,37599
12101,37600
12101,37601
12101,37602
12101,37603
12101,37604
12101,37605
12101,37606
12101,37607
12101,37608
12102,37564
12102,37565
12102,37566
12102,37567
12102,37568
12102,37569
12102,37570
12102,37571
12102,37572
12102,37573
12102,37574
12102,37575
12102,37591
12102,37592
12102,37593
12102,37594
12102,37595
12102,37596
12102,37597
12102,37598
12102,37599
12102,37600
12102,37601
12102,37602
12102,37603
12102,37604
12102,37605
12102,37606
12102,37607
12103,37564
12103,37565
12103,37566
12103,37567
12103,37568
12103,37569
12103,37570
12103,37571
12103,37572
12103,37573
12103,37574
12103,37591
12103,37592
12103,37593
12103,37594
12103,37595
12103,37596
12103,37597
12103,37598
12103,37599
12103,37600
12103,37601
12103,37602
12103,37603
12103,37604
12103,37605
12103,37606
12103,37607
12103,37608
12104,37565
12104,37566
12104,37567
12104,37568
12104,37569
12104,37570
12104,37571
12104,37572
12104,37573
12104,37589
12104,37590
12104,37591
12104,37592
12104,37593
12104,37594
12104,37595
12104,37596
12104,37597
12104,37598
12104,37599
12104,37600
12104,37601
12104,37602
12104,37603
12104,37604
12104,37605
12104,37606
12104,37607
12104,37608
12104,37609
12105,37566
12105,37567
12105,37568
12105,37569
12105,37570
12105,37571
12105,37572
12105,37588
12105,37589
12105,37590
12105,37591
12105,37592
12105,37593
12105,37594
12105,37595
12105,37596
12105,37597
12105,37598
12105,37599
12105,37600
12105,37601
12105,37602
12105,37603
12105,37604
12105,37605
12105,37606
12105,37607
12105,37608
12105,37609
12106,37562
12106,37563
12106,37566
12106,37567
12106,37568
12106,37569
12106,37570
12106,37571
12106,37572
12106,37579
12106,37580
12106,37582
12106,37583
12106,37584
12106,37585
12106,37586
12106,37587
12106,37588
12106,37589
12106,37590
12106,37591
12106,37592
12106,37593
12106,37594
12106,37595
12106,37596
12106,37597
12106,37598
12106,37599
12106,37600
12106,37601
12106,37602
12106,37603
12106,37604
12106,37605
12106,37606
12106,37607
12106,37608
12106,37609
12106,37610
12107,37559
12107,37560
12107,37561
12107,37562
12107,37563
12107,37564
12107,37565
12107,37566
12107,37567
12107,37568
12107,37569
12107,37570
12107,37571
12107,37572
12107,37573
12107,37574
12107,37575
12107,37576
12107,37577
12107,37578
12107,37579
12107,37580
12107,37581
12107,37582
12107,37583
12107,37584
12107,37585
12107,37586
12107,37587
12107,37588
12107,37589
12107,37590
12107,37591
12107,37592
12107,37593
12107,37594
12107,37595
12107,37596
12107,37597
12107,37598
12107,37599
12107,37600
12107,37601
12107,37602
12107,37603
12107,37604
12107,37605
12107,37606
12107,37607
12107,37608
12107,37609
12107,37610
12107,37611
12108,37556
12108,37558
12108,37559
12108,37560
12108,37561
12108,37562
12108,37563
12108,37564
12108,37565
12108,37566
12108,37567
12108,37568
12108,37569
12108,37570
12108,37571
12108,37572
12108,37573
12108,37574
12108,37575
12108,37576
12108,37577
12108,37578
12108,37579
12108,37580
12108,37581
12108,37582
12108,37583
12108,37584
12108,37585
12108,37586
12108,37587
12108,37588
12108,37589
12108,37590
12108,37591
12108,37592
12108,37593
12108,37594
12108,37595
12108,37596
12108,37597
12108,37598
12108,37599
12108,37600
12108,37601
12108,37602
12108,37603
12108,37604
12108,37605
12108,37606
12108,37607
12108,37608
12108,37609
12108,37610
12108,37611
12108,37615
12108,37616
12109,37553
12109,37554
12109,37555
12109,37556
12109,37557
12109,37558
12109,37559
12109,37560
12109,37561
12109,37562
12109,37563
12109,37564
12109,37565
12109,37566
12109,37567
12109,37568
12109,37569
12109,37570
12109,37571
12109,37572
12109,37573
12109,37574
12109,37575
12109,37576
12109,37577
12109,37578
12109,37579
12109,37580
12109,37581
12109,37582
12109,37583
12109,37584
12109,37585
12109,37586
12109,37587
12109,37588
12109,37589
12109,37590
12109,37591
12109,37592
12109,37593
12109,37594
12109,37595
12109,37596
12109,37597
12109,37598
12109,37599
12109,37600
12109,37601
12109,37602
12109,37603
12109,37604
12109,37605
12109,37606
12109,37607
12109,37608
12109,37609
12109,37610
12109,37611
12109,37612
12109,37613
12109,37614
12109,37615
12109,37616
12109,37617
12109,37618
12109,37619
12110,37547
12110,37548
12110,37549
12110,37550
12110,37551
12110,37552
12110,37553
12110,37554
12110,37555
12110,37556
12110,37557
12110,37558
12110,37559
12110,37560
12110,37561
12110,37562
12110,37563
12110,37564
12110,37565
12110,37566
12110,37567
12110,37568
12110,37569
12110,37570
12110,37571
12110,37572
12110,37573
12110,37574
12110,37575
12110,37576
12110,37577
12110,37578
12110,37579
12110,37580
12110,37581
12110,37582
12110,37583
12110,37584
12110,37585
12110,37586
12110,37587
12110,37588
12110,37589
12110,37590
12110,37591
12110,37592
12110,37593
12110,37594
12110,37595
12110,37596
12110,37597
12110,37598
12110,37599
12110,37600
12110,37601
12110,37602
12110,37603
12110,37604
12110,37605
12110,37606
12110,37607
12110,37608
12110,37609
12110,37610
12110,37611
12110,37612
12110,37613
12110,37614
12110,37615
12110,37616
12110,37617
12110,37618
12110,37619
12110,37620
12111,37544
12111,37545
12111,37546
12111,37547
12111,37548
12111,37549
12111,37550
12111,37551
12111,37552
12111,37553
12111,37554
12111,37555
12111,37556
12111,37557
12111,37558
12111,37559
12111,37560
12111,37561
12111,37562
12111,37563
12111,37564
12111,37565
12111,37566
12111,37567
12111,37568
12111,37569
12111,37570
12111,37571
12111,37572
12111,37573
12111,37574
12111,37575
12111,37576
12111,37577
12111,37578
12111,37579
12111,37580
12111,37581
12111,37582
12111,37583
12111,37584
12111,37585
12111,37586
12111,37587
12111,37588
12111,37589
12111,37590
12111,37591
12111,37592
12111,37593
12111,37594
12111,37595
12111,37596
12111,37597
12111,37598
12111,37599
12111,37600
12111,37601
12111,37602
12111,37603
12111,37604
12111,37605
12111,37606
12111,37607
12111,37608
12111,37609
