"X","Y"
23934,14942
23934,14944
23935,14939
23935,14940
23935,14941
23935,14942
23935,14943
23935,14944
23935,14945
23935,14946
23935,14947
23935,14948
23935,14950
23936,14937
23936,14938
23936,14939
23936,14940
23936,14941
23936,14942
23936,14943
23936,14944
23936,14945
23936,14946
23936,14947
23936,14948
23936,14949
23936,14950
23936,14951
23936,14952
23936,14953
23937,14935
23937,14936
23937,14937
23937,14938
23937,14939
23937,14940
23937,14941
23937,14942
23937,14943
23937,14944
23937,14945
23937,14946
23937,14947
23937,14948
23937,14949
23937,14950
23937,14951
23937,14952
23937,14953
23937,14954
23937,14955
23937,14956
23938,14932
23938,14933
23938,14934
23938,14935
23938,14936
23938,14937
23938,14938
23938,14939
23938,14940
23938,14941
23938,14942
23938,14943
23938,14944
23938,14945
23938,14946
23938,14947
23938,14948
23938,14949
23938,14950
23938,14951
23938,14952
23938,14953
23938,14954
23938,14955
23938,14956
23938,14957
23939,14931
23939,14932
23939,14933
23939,14934
23939,14935
23939,14936
23939,14937
23939,14938
23939,14939
23939,14940
23939,14941
23939,14942
23939,14943
23939,14944
23939,14945
23939,14946
23939,14947
23939,14948
23939,14949
23939,14950
23939,14951
23939,14952
23939,14953
23939,14954
23939,14955
23939,14956
23939,14957
23939,14958
23939,14959
23939,14960
23939,14961
23940,14930
23940,14931
23940,14932
23940,14933
23940,14934
23940,14935
23940,14936
23940,14937
23940,14938
23940,14939
23940,14940
23940,14941
23940,14942
23940,14943
23940,14944
23940,14945
23940,14946
23940,14947
23940,14948
23940,14949
23940,14950
23940,14951
23940,14952
23940,14953
23940,14954
23940,14955
23940,14956
23940,14957
23940,14958
23940,14959
23940,14960
23940,14961
23940,14962
23940,14963
23940,14964
23941,14930
23941,14931
23941,14932
23941,14933
23941,14934
23941,14935
23941,14936
23941,14937
23941,14938
23941,14939
23941,14940
23941,14941
23941,14942
23941,14943
23941,14944
23941,14945
23941,14946
23941,14947
23941,14948
23941,14949
23941,14950
23941,14951
23941,14952
23941,14953
23941,14954
23941,14955
23941,14956
23941,14957
23941,14958
23941,14959
23941,14960
23941,14961
23941,14962
23941,14963
23941,14964
23941,14965
23942,14929
23942,14930
23942,14931
23942,14932
23942,14933
23942,14934
23942,14935
23942,14936
23942,14937
23942,14938
23942,14939
23942,14940
23942,14941
23942,14942
23942,14943
