"X","Y"
13560,19827
13509,19826
13619,19918
13433,19968
13544,19955
13594,19908
13535,19843
13461,19948
13541,19946
13609,19893
13538,19829
13624,19866
13553,19924
13495,19945
13569,19823
13615,19848
13528,19938
13587,19839
13633,19917
13534,19819
13554,19869
13527,19905
13456,19918
13447,19924
13634,19892
13556,19942
13531,19868
13506,19846
13537,19959
13605,19922
13546,19823
13565,19905
13543,19806
13521,19831
13540,19925
13536,19944
13586,19841
13509,19978
13508,19974
13561,19807
13614,19923
13484,19980
13483,19939
13573,19821
13589,19907
13530,19838
13582,19925
13430,19935
13604,19836
13501,19852
13572,19913
13533,19924
13581,19845
13601,19919
13508,19930
13607,19862
13548,19875
13567,19841
13523,19923
13542,19869
13498,19907
13551,19873
13526,19869
13622,19892
13494,19991
13600,19823
13597,19902
13591,19799
13500,19848
13519,19868
13606,19892
13475,19942
13450,19964
13509,19943
13529,19929
13544,19838
13484,19967
13574,19833
13504,19909
13498,19975
13535,19828
13603,19867
13578,19947
13538,19848
13550,19879
13547,19802
13525,19871
13528,19821
13637,19924
13575,19914
13522,19816
13497,19850
13559,19932
13593,19891
13534,19926
13571,19816
13602,19875
13437,19928
13577,19891
13431,19922
13462,19939
13477,19882
13474,19893
13563,19859
13520,19867
13556,19817
13511,19883
13531,19817
13515,19913
13546,19922
13490,19933
13521,19948
13536,19811
13586,19828
13487,19960
13524,19928
13629,19870
13555,19921
13570,19956
13499,19910
13530,19909
13583,19837
13492,19878
13545,19844
13505,19965
13595,19839
13467,19932
13473,19895
13488,19976
13451,19949
13482,19902
13466,19902
13560,19917
13517,19849
13433,19934
13610,19885
13566,19830
13585,19893
13631,19906
13486,19907
13557,19857
13532,19845
13569,19893
13454,19909
13507,19885
13516,19877
13438,19955
13518,19883
13463,19966
13493,19916
13439,19968
13513,19846
13468,19954
13488,19856
13443,19936
13479,19942
13621,19880
13547,19927
13596,19886
13522,19935
13552,19890
13568,19895
13543,19840
13465,19865
13571,19925
13512,19880
13503,19902
13573,19843
13471,19940
13446,19966
13562,19820
13464,19965
13455,19957
13632,19914
13572,19811
13592,19873
13496,19989
13533,19834
13549,19851
13564,19877
13487,19981
13508,19836
13434,19937
13539,19853
13463,19979
13480,19925
13567,19835
13583,19910
13542,19835
13514,19944
13510,19901
13489,19946
13457,19884
13617,19854
13590,19924
13472,19986
13560,19800
13529,19831
13544,19864
13504,19823
13535,19886
13461,19927
13541,19957
13538,19822
13550,19837
13525,19829
13470,19886
13575,19820
13426,19930
13587,19810
13559,19814
13554,19830
13456,19939
13447,19955
13453,19978
13563,19837
13556,19843
13531,19891
13506,19875
13537,19946
13611,19848
13630,19892
13536,19917
13481,19932
13586,19866
13614,19892
13555,19819
13589,19886
13430,19952
13579,19801
13562,19955
13558,19911
13572,19926
13533,19919
13508,19943
13517,19823
13548,19896
13567,19948
13613,19912
13542,19958
13588,19886
13551,19852
13585,19795
13622,19881
13494,19976
13597,19929
13500,19941
13519,19899
13606,19849
13475,19917
13450,19929
13599,19840
13529,19964
13574,19858
13504,19962
13594,19828
13513,19836
13609,19909
13538,19941
13550,19848
13553,19876
13584,19921
13547,19825
13525,19962
13528,19858
13575,19937
13618,19868
13559,19963
13593,19926
13534,19963
13554,19949
13602,19868
13527,19889
13524,19969
13577,19862
13502,19901
13462,19908
13477,19893
13474,19886
13563,19958
13520,19888
13511,19910
13605,19874
13565,19889
13580,19892
13521,19847
13540,19877
13496,19951
13487,19943
13524,19909
13555,19956
13499,19901
13530,19950
13492,19907
13545,19887
13595,19858
13467,19955
13604,19916
13442,19939
13473,19882
13579,19922
13501,19964
13476,19954
13451,19904
13482,19931
13491,19883
13601,19903
13560,19890
13576,19895
13517,19940
13477,19981
13610,19894
13498,19891
13514,19970
13566,19803
13585,19912
13631,19881
13486,19876
13557,19900
13532,19874
13569,19880
13454,19950
13507,19888
13506,19973
13591,19911
13516,19842
13438,19924
13463,19925
13459,19958
13484,19855
13493,19959
13513,19945
13468,19951
13488,19957
13578,19835
13479,19965
13547,19946
13507,19980
13522,19960
13627,19890
13552,19863
13568,19884
13497,19962
13543,19871
13472,19940
13465,19900
13512,19853
13503,19845
13573,19886
13478,19865
13492,19986
13467,19968
13464,19938
13425,19931
13490,19885
13558,19821
13623,19863
13549,19878
13564,19842
13598,19871
13434,19914
13539,19856
13480,19962
13570,19812
13542,19804
13616,19934
13514,19957
13489,19917
13457,19911
13597,19839
13590,19913
13497,19983
13441,19920
13619,19864
13544,19901
13594,19850
13535,19893
13461,19890
13566,19910
13541,19920
13628,19913
13550,19814
13495,19875
13584,19835
13457,19971
13615,19922
13470,19891
13593,19820
13518,19931
13554,19795
13456,19960
13453,19941
13556,19880
13621,19928
13537,19917
13611,19887
13481,19943
13586,19895
13561,19877
13503,19982
13614,19865
13483,19869
13478,19988
13589,19849
13582,19939
13562,19932
13558,19960
13572,19955
13592,19921
13533,19946
13437,19969
13508,19852
