"X","Y"
24117,11346
24117,11347
24117,11348
24117,11349
24117,11350
24117,11352
24117,11355
24117,11356
24117,11358
24117,11359
24118,11327
24118,11328
24118,11329
24118,11330
24118,11331
24118,11339
24118,11340
24118,11341
24118,11342
24118,11343
24118,11344
24118,11345
24118,11346
24118,11347
24118,11348
24118,11349
24118,11350
24118,11351
24118,11352
24118,11353
24118,11354
24118,11355
24118,11356
24118,11357
24118,11358
24118,11359
24118,11360
24118,11361
24118,11362
24119,11322
24119,11324
24119,11325
24119,11326
24119,11327
24119,11328
24119,11329
24119,11330
24119,11331
24119,11332
24119,11333
24119,11334
24119,11336
24119,11337
24119,11338
24119,11339
24119,11340
24119,11341
24119,11342
24119,11343
24119,11344
24119,11345
24119,11346
24119,11347
24119,11348
24119,11349
24119,11350
24119,11351
24119,11352
24119,11353
24119,11354
24119,11355
24119,11356
24119,11357
24119,11358
24119,11359
24119,11360
24119,11361
24119,11362
24119,11363
24119,11364
24119,11365
24119,11366
24119,11367
24119,11368
24119,11369
24120,11318
24120,11319
24120,11320
24120,11321
24120,11322
24120,11323
24120,11324
24120,11325
24120,11326
24120,11327
24120,11328
24120,11329
24120,11330
24120,11331
24120,11332
24120,11333
24120,11334
24120,11335
24120,11336
24120,11337
24120,11338
24120,11339
24120,11340
24120,11341
24120,11342
24120,11343
24120,11344
24120,11345
24120,11346
24120,11347
24120,11348
24120,11349
24120,11350
24120,11351
24120,11352
24120,11353
24120,11354
24120,11355
24120,11356
24120,11357
24120,11358
24120,11359
24120,11360
24120,11361
24120,11362
24120,11363
24120,11364
24120,11365
24120,11366
24120,11367
24120,11368
24120,11369
24120,11370
24120,11371
24120,11372
24121,11315
24121,11316
24121,11317
24121,11318
24121,11319
24121,11320
24121,11321
24121,11322
24121,11323
24121,11324
24121,11325
24121,11326
24121,11327
24121,11328
24121,11329
24121,11330
24121,11331
24121,11332
24121,11333
24121,11334
24121,11335
24121,11336
24121,11337
24121,11338
24121,11339
24121,11340
24121,11341
24121,11342
24121,11343
24121,11344
24121,11345
24121,11346
24121,11347
24121,11348
24121,11349
24121,11350
24121,11351
24121,11352
24121,11353
24121,11354
24121,11355
24121,11356
24121,11357
24121,11358
24121,11359
24121,11360
24121,11361
24121,11362
24121,11363
24121,11364
24121,11365
24121,11366
24121,11367
24121,11368
24121,11369
24121,11370
24121,11371
24121,11372
24121,11373
24121,11374
24121,11375
24122,11311
24122,11312
24122,11313
24122,11314
24122,11315
24122,11316
24122,11317
24122,11318
24122,11319
24122,11320
24122,11321
24122,11322
24122,11323
24122,11324
24122,11325
24122,11326
24122,11327
24122,11328
24122,11329
24122,11330
24122,11331
24122,11332
24122,11333
24122,11334
24122,11335
24122,11336
24122,11337
24122,11338
24122,11339
24122,11340
24122,11341
24122,11342
24122,11343
24122,11344
24122,11345
24122,11346
24122,11347
24122,11348
24122,11349
24122,11350
24122,11351
24122,11352
24122,11353
24122,11354
24122,11355
24122,11356
24122,11357
24122,11358
24122,11359
24122,11360
24122,11361
24122,11362
24122,11363
24122,11364
24122,11365
24122,11366
24122,11367
24122,11368
24122,11369
24122,11370
24122,11371
24122,11372
24122,11373
24122,11374
24122,11375
24122,11376
24122,11377
24122,11378
24122,11379
24122,11380
24123,11305
24123,11306
24123,11307
24123,11308
24123,11309
24123,11310
24123,11311
24123,11312
24123,11313
24123,11314
24123,11315
24123,11316
24123,11317
24123,11318
24123,11319
24123,11320
24123,11321
24123,11322
24123,11323
24123,11324
24123,11325
24123,11326
24123,11327
24123,11328
24123,11329
24123,11330
24123,11331
24123,11332
24123,11333
24123,11334
24123,11335
24123,11336
24123,11337
24123,11338
24123,11339
24123,11340
24123,11341
24123,11342
24123,11343
24123,11344
24123,11345
24123,11346
24123,11347
24123,11348
24123,11349
24123,11350
24123,11351
24123,11352
24123,11353
24123,11354
24123,11355
24123,11356
24123,11357
24123,11358
24123,11359
24123,11360
24123,11361
24123,11362
24123,11363
24123,11364
24123,11365
24123,11366
24123,11367
24123,11368
24123,11369
24123,11370
24123,11371
24123,11372
24123,11373
24123,11374
24123,11375
24123,11376
24123,11377
24123,11378
24123,11379
24123,11380
24123,11381
24123,11382
24123,11383
24123,11384
24124,11302
24124,11303
24124,11304
24124,11305
24124,11306
24124,11307
24124,11308
24124,11309
24124,11310
24124,11311
24124,11312
24124,11313
24124,11314
24124,11315
24124,11316
24124,11317
24124,11318
24124,11319
24124,11320
24124,11321
24124,11322
24124,11323
24124,11324
24124,11325
24124,11326
24124,11327
24124,11328
24124,11329
24124,11330
24124,11331
24124,11332
24124,11333
24124,11334
24124,11335
24124,11336
24124,11337
24124,11338
24124,11339
24124,11340
24124,11341
24124,11342
24124,11343
24124,11344
24124,11345
24124,11346
24124,11347
24124,11348
24124,11349
24124,11350
24124,11351
24124,11352
24124,11353
24124,11354
24124,11355
24124,11356
24124,11357
24124,11358
24124,11359
24124,11360
24124,11361
24124,11362
24124,11363
24124,11364
24124,11365
24124,11366
24124,11367
24124,11368
24124,11369
24124,11370
24124,11371
24124,11372
24124,11373
24124,11374
24124,11375
24124,11376
24124,11377
24124,11378
24124,11379
24124,11380
24124,11381
24124,11382
24124,11383
24124,11384
24124,11385
24124,11386
24124,11387
24125,11300
24125,11301
24125,11302
24125,11303
24125,11304
24125,11305
24125,11306
24125,11307
24125,11308
24125,11309
24125,11310
24125,11311
24125,11312
24125,11313
24125,11314
24125,11315
24125,11316
24125,11317
24125,11318
24125,11319
24125,11320
24125,11321
24125,11322
24125,11323
24125,11324
24125,11325
24125,11326
24125,11327
24125,11328
24125,11329
24125,11330
24125,11331
24125,11332
24125,11333
24125,11334
24125,11335
24125,11336
24125,11337
24125,11338
24125,11339
24125,11340
24125,11341
24125,11342
24125,11343
24125,11344
24125,11345
24125,11346
24125,11347
24125,11348
24125,11349
24125,11350
24125,11351
24125,11352
24125,11353
24125,11354
24125,11355
24125,11356
24125,11357
24125,11358
24125,11359
24125,11360
24125,11361
24125,11362
24125,11363
24125,11364
24125,11365
24125,11366
24125,11367
24125,11368
24125,11369
24125,11370
24125,11371
24125,11372
24125,11373
24125,11374
24125,11375
24125,11376
24125,11377
24125,11378
24125,11379
24125,11380
24125,11381
24125,11382
24125,11383
24125,11384
24125,11385
24125,11386
24125,11387
24125,11388
24125,11389
24125,11403
24125,11407
24126,11297
24126,11298
24126,11299
24126,11300
24126,11301
24126,11302
24126,11303
24126,11304
24126,11305
24126,11306
24126,11307
24126,11308
24126,11309
24126,11310
24126,11311
24126,11312
24126,11313
24126,11314
24126,11315
24126,11316
24126,11317
24126,11318
24126,11319
24126,11320
24126,11321
24126,11322
24126,11323
24126,11324
24126,11325
24126,11326
24126,11327
24126,11328
24126,11329
24126,11330
24126,11331
24126,11332
24126,11333
24126,11334
24126,11335
24126,11336
24126,11337
24126,11338
24126,11339
24126,11340
24126,11341
24126,11342
24126,11343
24126,11344
24126,11345
24126,11346
24126,11347
24126,11348
24126,11349
24126,11350
24126,11351
24126,11352
24126,11353
24126,11354
24126,11355
24126,11356
24126,11357
24126,11358
24126,11359
24126,11360
24126,11361
24126,11362
24126,11363
24126,11364
24126,11365
24126,11366
24126,11367
24126,11368
24126,11369
24126,11370
24126,11371
24126,11372
24126,11373
24126,11374
24126,11375
24126,11376
24126,11377
24126,11378
24126,11379
24126,11380
24126,11381
24126,11382
24126,11383
24126,11384
24126,11385
24126,11386
24126,11387
24126,11388
24126,11389
24126,11390
24126,11391
24126,11392
24126,11400
24126,11401
24126,11402
24126,11403
24126,11404
24126,11405
24126,11406
24126,11407
24126,11408
24126,11409
24126,11410
24126,11411
24126,11412
24126,11421
24127,11293
24127,11294
24127,11295
24127,11296
24127,11297
24127,11298
24127,11299
24127,11300
24127,11301
24127,11302
24127,11303
24127,11304
24127,11305
24127,11306
24127,11307
24127,11308
24127,11309
24127,11310
24127,11311
24127,11312
24127,11313
24127,11314
24127,11315
24127,11316
24127,11317
24127,11318
24127,11319
24127,11320
24127,11321
24127,11322
24127,11323
24127,11324
24127,11325
24127,11326
24127,11327
24127,11328
24127,11329
24127,11330
24127,11331
24127,11332
24127,11333
24127,11334
24127,11335
24127,11336
24127,11337
24127,11338
24127,11339
24127,11340
24127,11341
24127,11342
24127,11343
24127,11344
24127,11345
24127,11346
24127,11347
24127,11348
24127,11349
24127,11350
24127,11351
24127,11352
24127,11353
24127,11354
24127,11355
24127,11356
24127,11357
24127,11358
24127,11359
24127,11360
24127,11361
24127,11362
24127,11363
24127,11364
24127,11365
24127,11366
24127,11367
24127,11368
24127,11369
24127,11370
24127,11371
24127,11372
24127,11373
24127,11374
24127,11375
24127,11376
24127,11377
24127,11378
24127,11379
24127,11380
24127,11381
24127,11382
24127,11383
24127,11384
24127,11385
24127,11386
24127,11387
24127,11388
24127,11389
24127,11390
24127,11391
24127,11392
24127,11393
24127,11394
24127,11395
24127,11397
24127,11398
24127,11399
24127,11400
24127,11401
24127,11402
24127,11403
24127,11404
24127,11405
24127,11406
24127,11407
24127,11408
24127,11409
24127,11410
24127,11411
24127,11412
24127,11413
24127,11414
24127,11415
24127,11417
24127,11418
24127,11419
24127,11420
24127,11421
24127,11422
24127,11423
24127,11424
24128,11289
24128,11290
24128,11291
24128,11292
24128,11293
24128,11294
24128,11295
24128,11296
24128,11297
24128,11298
24128,11299
24128,11300
24128,11301
24128,11302
24128,11303
24128,11304
24128,11305
24128,11306
24128,11307
24128,11308
24128,11309
24128,11310
24128,11311
24128,11312
24128,11313
24128,11314
24128,11315
24128,11316
24128,11317
24128,11318
24128,11319
24128,11320
24128,11321
24128,11322
24128,11323
24128,11324
24128,11325
24128,11326
24128,11327
24128,11328
24128,11329
24128,11330
24128,11331
24128,11332
24128,11333
24128,11334
24128,11335
24128,11336
24128,11337
24128,11338
24128,11339
24128,11340
24128,11341
24128,11342
24128,11343
24128,11344
24128,11345
24128,11346
24128,11347
24128,11348
24128,11349
24128,11350
24128,11351
24128,11352
24128,11353
24128,11354
24128,11355
24128,11356
24128,11357
24128,11358
24128,11359
24128,11360
24128,11361
24128,11362
24128,11363
24128,11364
24128,11365
24128,11366
24128,11367
24128,11368
24128,11369
24128,11370
24128,11371
24128,11372
24128,11373
24128,11374
24128,11375
24128,11376
24128,11377
24128,11378
24128,11379
24128,11380
24128,11381
24128,11382
24128,11383
24128,11384
24128,11385
24128,11386
24128,11387
24128,11388
24128,11389
24128,11390
24128,11391
24128,11392
24128,11393
24128,11394
24128,11395
24128,11396
24128,11397
24128,11398
24128,11399
24128,11400
24128,11401
24128,11402
24128,11403
24128,11404
24128,11405
24128,11406
24128,11407
24128,11408
24128,11409
24128,11410
24128,11411
24128,11412
24128,11413
24128,11414
24128,11415
24128,11416
24128,11417
24128,11418
24128,11419
24128,11420
24128,11421
24128,11422
24128,11423
24128,11424
24128,11425
24128,11426
24129,11286
24129,11287
24129,11288
24129,11289
24129,11290
24129,11291
24129,11292
24129,11293
24129,11294
24129,11295
24129,11296
24129,11297
24129,11298
24129,11299
24129,11300
24129,11301
24129,11302
24129,11303
24129,11304
24129,11305
24129,11306
24129,11307
24129,11308
24129,11309
24129,11310
24129,11311
24129,11312
24129,11313
24129,11314
24129,11315
24129,11316
24129,11317
24129,11318
24129,11319
24129,11320
24129,11321
24129,11322
24129,11323
24129,11324
24129,11325
24129,11326
24129,11327
24129,11328
24129,11329
24129,11330
24129,11331
24129,11332
24129,11333
24129,11334
24129,11335
24129,11336
24129,11337
24129,11338
24129,11339
24129,11340
24129,11341
24129,11342
24129,11343
24129,11344
24129,11345
24129,11346
24129,11347
24129,11348
24129,11349
24129,11350
24129,11351
24129,11352
24129,11353
24129,11354
24129,11355
24129,11356
24129,11357
24129,11358
24129,11359
24129,11360
24129,11361
24129,11362
24129,11363
24129,11364
24129,11365
24129,11366
24129,11367
24129,11368
24129,11369
24129,11370
24129,11371
24129,11372
24129,11373
24129,11374
24129,11375
24129,11376
24129,11377
24129,11378
24129,11379
24129,11380
24129,11381
24129,11382
24129,11383
24129,11384
24129,11385
24129,11386
24129,11387
24129,11388
24129,11389
24129,11390
24129,11391
24129,11392
24129,11393
24129,11394
24129,11395
24129,11396
24129,11397
24129,11398
24129,11399
24129,11400
24129,11401
24129,11402
24129,11403
24129,11404
24129,11405
24129,11406
24129,11407
24129,11408
24129,11409
24129,11410
24129,11411
24129,11412
24129,11413
24129,11414
24129,11415
24129,11416
24129,11417
24129,11418
24129,11419
24129,11420
24129,11421
24129,11422
24129,11423
24129,11424
24129,11425
24129,11426
24129,11427
24129,11428
24130,11283
24130,11284
24130,11285
24130,11286
24130,11287
24130,11288
24130,11289
24130,11290
24130,11291
24130,11292
24130,11293
24130,11294
24130,11295
24130,11296
24130,11297
24130,11298
24130,11299
24130,11300
24130,11301
24130,11302
24130,11303
24130,11304
24130,11305
24130,11306
24130,11307
24130,11308
24130,11309
24130,11310
24130,11311
24130,11312
24130,11313
24130,11314
24130,11315
24130,11316
24130,11317
24130,11318
24130,11319
24130,11320
24130,11321
24130,11322
24130,11323
24130,11324
24130,11325
24130,11326
24130,11327
24130,11328
24130,11329
24130,11330
24130,11331
24130,11332
24130,11333
24130,11334
24130,11335
24130,11336
24130,11337
24130,11338
24130,11339
24130,11340
24130,11341
24130,11342
24130,11343
24130,11344
24130,11345
24130,11346
24130,11347
24130,11348
24130,11349
24130,11350
24130,11351
24130,11352
24130,11353
24130,11354
24130,11355
24130,11356
24130,11357
24130,11358
24130,11359
24130,11360
24130,11361
24130,11362
24130,11363
24130,11364
24130,11365
24130,11366
24130,11367
24130,11368
24130,11369
24130,11370
24130,11371
24130,11372
24130,11373
24130,11374
24130,11375
24130,11376
24130,11377
24130,11378
24130,11379
24130,11380
24130,11381
24130,11382
24130,11383
24130,11384
24130,11385
24130,11386
24130,11387
24130,11388
24130,11389
24130,11390
24130,11391
24130,11392
24130,11393
24130,11394
24130,11395
24130,11396
24130,11397
24130,11398
24130,11399
24130,11400
24130,11401
24130,11402
24130,11403
24130,11404
24130,11405
24130,11406
24130,11407
24130,11408
24130,11409
24130,11410
24130,11411
24130,11412
24130,11413
24130,11414
24130,11415
24130,11416
24130,11417
24130,11418
24130,11419
24130,11420
24130,11421
24130,11422
24130,11423
24130,11424
24130,11425
24130,11426
24130,11427
24130,11428
24130,11429
24130,11430
24131,11282
24131,11283
24131,11284
24131,11285
24131,11286
24131,11287
24131,11288
24131,11289
24131,11290
24131,11291
24131,11292
24131,11293
24131,11294
24131,11295
24131,11296
24131,11297
24131,11298
24131,11299
24131,11300
24131,11301
24131,11302
24131,11303
24131,11304
24131,11305
24131,11306
24131,11307
24131,11308
24131,11309
24131,11310
24131,11311
24131,11312
24131,11313
24131,11314
24131,11315
24131,11316
24131,11317
24131,11318
24131,11319
24131,11320
24131,11321
24131,11322
24131,11323
24131,11324
24131,11325
24131,11326
24131,11327
24131,11328
24131,11329
24131,11330
24131,11331
24131,11332
24131,11333
24131,11334
24131,11335
24131,11336
24131,11337
24131,11338
24131,11339
24131,11340
24131,11341
24131,11342
24131,11343
24131,11344
24131,11345
24131,11346
24131,11347
24131,11348
24131,11349
24131,11350
24131,11351
24131,11352
24131,11353
24131,11354
24131,11355
24131,11356
24131,11357
24131,11358
24131,11359
24131,11360
24131,11361
24131,11362
24131,11363
24131,11364
24131,11365
24131,11366
24131,11367
24131,11368
24131,11369
24131,11370
24131,11371
24131,11372
24131,11373
24131,11374
24131,11375
24131,11376
24131,11377
24131,11378
24131,11379
24131,11380
24131,11381
24131,11382
24131,11383
24131,11384
24131,11385
24131,11386
24131,11387
24131,11388
24131,11389
24131,11390
24131,11391
24131,11392
24131,11393
24131,11394
24131,11395
24131,11396
24131,11397
24131,11398
24131,11399
24131,11400
24131,11401
24131,11402
24131,11403
24131,11404
24131,11405
24131,11406
24131,11407
24131,11408
24131,11409
24131,11410
24131,11411
24131,11412
24131,11413
24131,11414
24131,11415
24131,11416
24131,11417
24131,11418
24131,11419
24131,11420
24131,11421
24131,11422
24131,11423
24131,11424
24131,11425
24131,11426
24131,11427
24131,11428
24131,11429
24131,11430
24131,11431
24132,11280
24132,11281
24132,11282
24132,11283
24132,11284
24132,11285
24132,11286
24132,11287
24132,11288
24132,11289
24132,11290
24132,11291
24132,11292
24132,11293
24132,11294
24132,11295
24132,11296
24132,11297
24132,11298
24132,11299
24132,11300
24132,11301
24132,11302
24132,11303
24132,11304
24132,11305
24132,11306
24132,11307
24132,11308
24132,11309
24132,11310
24132,11311
24132,11312
24132,11313
24132,11314
24132,11315
24132,11316
24132,11317
24132,11318
24132,11319
24132,11320
24132,11321
24132,11322
24132,11323
24132,11324
24132,11325
24132,11326
24132,11327
24132,11328
24132,11329
24132,11330
24132,11331
24132,11332
24132,11333
24132,11334
24132,11335
24132,11336
24132,11337
24132,11338
24132,11339
24132,11340
24132,11341
24132,11342
24132,11343
24132,11344
24132,11345
24132,11346
24132,11347
24132,11348
24132,11349
24132,11350
24132,11351
24132,11352
24132,11353
24132,11354
24132,11355
24132,11356
24132,11357
24132,11358
24132,11359
24132,11360
24132,11361
24132,11362
24132,11363
24132,11364
24132,11365
24132,11366
24132,11367
24132,11368
24132,11369
24132,11370
24132,11371
24132,11372
24132,11373
24132,11374
24132,11375
24132,11376
24132,11377
24132,11378
24132,11379
