"X","Y"
20766,12786
20767,12783
20767,12784
20767,12785
20767,12786
20767,12787
20767,12788
20767,12789
20768,12781
20768,12782
20768,12783
20768,12784
20768,12785
20768,12786
20768,12787
20768,12788
20768,12789
20768,12790
20768,12791
20768,12795
20769,12780
20769,12781
20769,12782
20769,12783
20769,12784
20769,12785
20769,12786
20769,12787
20769,12788
20769,12789
20769,12790
20769,12791
20769,12792
20769,12793
20769,12794
20769,12795
20769,12796
20769,12797
20769,12798
20770,12779
20770,12780
20770,12781
20770,12782
20770,12783
20770,12784
20770,12785
20770,12786
20770,12787
20770,12788
20770,12789
20770,12790
20770,12791
20770,12792
20770,12793
20770,12794
20770,12795
20770,12796
20770,12797
20770,12798
20770,12799
20771,12778
20771,12779
20771,12780
20771,12781
20771,12782
20771,12783
20771,12784
20771,12785
20771,12786
20771,12787
20771,12788
20771,12789
20771,12790
20771,12791
20771,12792
20771,12793
20771,12794
20771,12795
20771,12796
20771,12797
20771,12798
20771,12799
20771,12800
20772,12772
20772,12777
20772,12778
20772,12779
20772,12780
20772,12781
20772,12782
20772,12783
20772,12784
20772,12785
20772,12786
20772,12787
20772,12788
20772,12789
20772,12790
20772,12791
20772,12792
20772,12793
20772,12794
20772,12795
20772,12796
20772,12797
20772,12798
20772,12799
20772,12800
20772,12801
20772,12802
20773,12769
20773,12770
20773,12771
20773,12772
20773,12773
20773,12774
20773,12775
20773,12776
20773,12777
20773,12778
20773,12779
20773,12780
20773,12781
20773,12782
20773,12783
20773,12784
20773,12785
20773,12786
20773,12787
20773,12788
20773,12789
20773,12790
20773,12791
20773,12792
20773,12793
20773,12794
20773,12795
20773,12796
20773,12797
20773,12798
20773,12799
20773,12800
20773,12801
20773,12802
20773,12803
20774,12767
20774,12768
20774,12769
20774,12770
20774,12771
20774,12772
20774,12773
20774,12774
20774,12775
20774,12776
20774,12777
20774,12778
20774,12779
20774,12780
20774,12781
20774,12782
20774,12783
20774,12784
20774,12785
20774,12786
20774,12787
20774,12788
20774,12789
20774,12790
20774,12791
20774,12792
20774,12793
20774,12794
20774,12795
20774,12796
20774,12797
20774,12798
20774,12799
20774,12800
20774,12801
20774,12802
20774,12803
20774,12804
20774,12805
20774,12806
20775,12766
20775,12767
20775,12768
20775,12769
20775,12770
20775,12771
20775,12772
20775,12773
20775,12774
20775,12775
20775,12776
20775,12777
20775,12778
20775,12779
20775,12780
20775,12781
20775,12782
20775,12783
20775,12784
20775,12785
20775,12786
20775,12787
20775,12788
20775,12789
20775,12790
20775,12791
20775,12792
20775,12793
20775,12794
20775,12795
20775,12796
20775,12797
20775,12798
20775,12799
20775,12800
20775,12801
20775,12802
20775,12803
20775,12804
20775,12805
20775,12806
20775,12807
20775,12808
20776,12765
20776,12766
20776,12767
20776,12768
20776,12769
20776,12770
20776,12771
20776,12772
20776,12773
20776,12774
20776,12775
20776,12776
20776,12777
20776,12778
20776,12779
20776,12780
20776,12781
20776,12782
20776,12783
20776,12784
20776,12785
20776,12786
20776,12787
20776,12788
20776,12789
20776,12790
20776,12791
20776,12792
20776,12793
20776,12794
20776,12795
20776,12796
20776,12797
20776,12798
20776,12799
20776,12800
20776,12801
20776,12802
20776,12803
20776,12804
20776,12805
20776,12806
20776,12807
20776,12808
20776,12809
20777,12764
20777,12765
20777,12766
20777,12767
20777,12768
20777,12769
20777,12770
20777,12771
20777,12772
20777,12773
20777,12774
20777,12775
20777,12776
20777,12777
20777,12778
20777,12779
20777,12780
20777,12781
20777,12782
20777,12783
20777,12784
20777,12785
20777,12786
20777,12787
20777,12788
20777,12789
20777,12790
20777,12791
20777,12792
20777,12793
20777,12794
20777,12795
20777,12796
20777,12797
20777,12798
20777,12799
20777,12800
20777,12801
20777,12802
20777,12803
20777,12804
20777,12805
20777,12806
20777,12807
20777,12808
20777,12809
20777,12810
20777,12811
20778,12762
20778,12763
20778,12764
20778,12765
20778,12766
20778,12767
20778,12768
20778,12769
20778,12770
20778,12771
20778,12772
20778,12773
20778,12774
20778,12775
20778,12776
20778,12777
20778,12778
20778,12779
20778,12780
20778,12781
20778,12782
20778,12783
20778,12784
20778,12785
20778,12786
20778,12787
20778,12788
20778,12789
20778,12790
20778,12791
20778,12792
20778,12793
20778,12794
20778,12795
20778,12796
20778,12797
20778,12798
20778,12799
20778,12800
20778,12801
20778,12802
20778,12803
20778,12804
20778,12805
20778,12806
20778,12807
20778,12808
20778,12809
20778,12810
20778,12811
20778,12812
20778,12813
20779,12760
20779,12761
20779,12762
20779,12763
20779,12764
20779,12765
20779,12766
20779,12767
20779,12768
20779,12769
20779,12770
20779,12771
20779,12772
20779,12773
20779,12774
20779,12775
20779,12776
20779,12777
20779,12778
20779,12779
20779,12780
20779,12781
20779,12782
20779,12783
20779,12784
20779,12785
20779,12786
20779,12787
20779,12788
20779,12789
20779,12790
20779,12791
20779,12792
20779,12793
20779,12794
20779,12795
20779,12796
20779,12797
20779,12798
20779,12799
20779,12800
20779,12801
20779,12802
20779,12803
20779,12804
20779,12805
20779,12806
20779,12807
20779,12808
20779,12809
20779,12810
20779,12811
20779,12812
20779,12813
20779,12814
20780,12758
20780,12759
20780,12760
20780,12761
20780,12762
20780,12763
20780,12764
20780,12765
20780,12766
20780,12767
20780,12768
20780,12769
20780,12770
20780,12771
20780,12772
20780,12773
20780,12774
20780,12775
20780,12776
20780,12777
20780,12778
