"X","Y"
9785,50754
9786,50751
9786,50752
9786,50753
9786,50754
9786,50755
9786,50756
9787,50750
9787,50751
9787,50752
9787,50753
9787,50754
9787,50755
9787,50756
9787,50757
9788,50742
9788,50749
9788,50750
9788,50751
9788,50752
9788,50753
9788,50754
9788,50755
9788,50756
9788,50757
9788,50758
9789,50740
9789,50741
9789,50742
9789,50743
9789,50744
9789,50745
9789,50748
9789,50749
9789,50750
9789,50751
9789,50752
9789,50753
9789,50754
9789,50755
9789,50756
9789,50757
9789,50758
9789,50759
9790,50739
9790,50740
9790,50741
9790,50742
9790,50743
9790,50744
9790,50745
9790,50746
9790,50747
9790,50748
9790,50749
9790,50750
9790,50751
9790,50752
9790,50753
9790,50754
9790,50755
9790,50756
9790,50757
9790,50758
9790,50759
9791,50738
9791,50739
9791,50740
9791,50741
9791,50742
9791,50743
9791,50744
9791,50745
9791,50746
9791,50747
9791,50748
9791,50749
9791,50750
9791,50751
9791,50752
9791,50753
9791,50754
9791,50755
9791,50756
9791,50757
9791,50758
9791,50759
9791,50820
9792,50737
9792,50738
9792,50739
9792,50740
9792,50741
9792,50742
9792,50743
9792,50744
9792,50745
9792,50746
9792,50747
9792,50748
9792,50749
9792,50750
9792,50751
9792,50752
9792,50753
9792,50754
9792,50755
9792,50756
9792,50757
9792,50758
9792,50759
9792,50760
9792,50762
9792,50780
9792,50781
9792,50817
9792,50818
9792,50819
9792,50820
9792,50821
9792,50822
9793,50736
9793,50737
9793,50738
9793,50739
9793,50740
9793,50741
9793,50742
9793,50743
9793,50744
9793,50745
9793,50746
9793,50747
9793,50748
9793,50749
9793,50750
9793,50751
9793,50752
9793,50753
9793,50754
9793,50755
9793,50756
9793,50757
9793,50758
9793,50759
9793,50760
9793,50761
9793,50762
9793,50763
9793,50764
9793,50765
9793,50777
9793,50778
9793,50779
9793,50780
9793,50781
9793,50782
9793,50783
9793,50815
9793,50816
9793,50817
9793,50818
9793,50819
9793,50820
9793,50821
9793,50822
9793,50823
9794,50707
9794,50708
9794,50736
9794,50737
9794,50738
9794,50739
9794,50740
9794,50741
9794,50742
