"X","Y"
8767,11441
8767,11442
8767,11443
8767,11445
8768,11428
8768,11429
8768,11430
8768,11431
8768,11432
8768,11433
8768,11434
8768,11438
8768,11439
8768,11440
8768,11441
8768,11442
8768,11443
8768,11444
8768,11445
8768,11446
8768,11447
8768,11448
8769,11425
8769,11426
8769,11427
8769,11428
8769,11429
8769,11430
8769,11431
8769,11432
8769,11433
8769,11434
8769,11435
8769,11436
8769,11437
8769,11438
8769,11439
8769,11440
8769,11441
8769,11442
8769,11443
8769,11444
8769,11445
8769,11446
8769,11447
8769,11448
8769,11449
8769,11450
8770,11423
8770,11424
8770,11425
8770,11426
8770,11427
8770,11428
8770,11429
8770,11430
8770,11431
8770,11432
8770,11433
8770,11434
8770,11435
8770,11436
8770,11437
8770,11438
8770,11439
8770,11440
8770,11441
8770,11442
8770,11443
8770,11444
8770,11445
8770,11446
8770,11447
8770,11448
8770,11449
8770,11450
8770,11451
8771,11422
8771,11423
8771,11424
8771,11425
8771,11426
8771,11427
8771,11428
8771,11429
8771,11430
8771,11431
8771,11432
8771,11433
8771,11434
8771,11435
8771,11436
8771,11437
8771,11438
8771,11439
8771,11440
8771,11441
8771,11442
8771,11443
8771,11444
8771,11445
8771,11446
8771,11447
8771,11448
8771,11449
8771,11450
8771,11451
8771,11452
8772,11421
8772,11422
8772,11423
8772,11424
8772,11425
8772,11426
8772,11427
8772,11428
8772,11429
8772,11430
8772,11431
8772,11432
8772,11433
8772,11434
8772,11435
8772,11436
8772,11437
8772,11438
8772,11439
8772,11440
8772,11441
8772,11442
8772,11443
8772,11444
8772,11445
8772,11446
8772,11447
8772,11448
8772,11449
8772,11450
8772,11451
8772,11452
8772,11453
8773,11420
8773,11421
8773,11422
8773,11423
8773,11424
8773,11425
8773,11426
8773,11427
8773,11428
8773,11429
8773,11430
8773,11431
8773,11432
8773,11433
8773,11434
8773,11435
8773,11436
8773,11437
8773,11438
8773,11439
8773,11440
8773,11441
8773,11442
8773,11443
8773,11444
8773,11445
8773,11446
8773,11447
8773,11448
8773,11449
8773,11450
8773,11451
8773,11452
8773,11453
8773,11454
8774,11419
8774,11420
8774,11421
8774,11422
8774,11423
8774,11424
8774,11425
8774,11426
8774,11427
8774,11428
8774,11429
8774,11430
8774,11431
8774,11432
8774,11433
8774,11434
8774,11435
8774,11436
8774,11437
8774,11438
8774,11439
8774,11440
8774,11441
8774,11442
8774,11443
8774,11444
8774,11445
8774,11446
8774,11447
8774,11448
8774,11449
8774,11450
8774,11451
8774,11452
8774,11453
8774,11454
8775,11418
8775,11419
8775,11420
8775,11421
8775,11422
8775,11423
8775,11424
8775,11425
8775,11426
8775,11427
8775,11428
8775,11429
8775,11430
8775,11431
8775,11432
8775,11433
8775,11434
8775,11435
8775,11436
8775,11437
8775,11438
8775,11439
8775,11440
8775,11441
8775,11442
8775,11443
8775,11444
8775,11445
8775,11446
8775,11447
8775,11448
8775,11449
8775,11450
8775,11451
8775,11452
8775,11453
8775,11454
8775,11455
8775,11456
8775,11457
8776,11416
8776,11417
8776,11418
8776,11419
8776,11420
8776,11421
8776,11422
8776,11423
8776,11424
8776,11425
8776,11426
8776,11427
8776,11428
8776,11429
8776,11430
8776,11431
8776,11432
8776,11433
8776,11434
8776,11435
8776,11436
8776,11437
8776,11438
8776,11439
8776,11440
8776,11441
8776,11442
8776,11443
