"X","Y"
17925,14956
17926,14954
17926,14955
17926,14956
17926,14957
17926,14958
17926,14959
17927,14953
17927,14954
17927,14955
17927,14956
17927,14957
17927,14958
17927,14959
17927,14960
17928,14952
17928,14953
17928,14954
17928,14955
17928,14956
17928,14957
17928,14958
17928,14959
17928,14960
17928,14961
17929,14917
17929,14951
17929,14952
17929,14953
17929,14954
17929,14955
17929,14956
17929,14957
17929,14958
17929,14959
17929,14960
17929,14961
17929,14964
17929,14965
17929,14966
17930,14915
17930,14916
17930,14917
17930,14918
17930,14919
17930,14920
17930,14951
17930,14952
17930,14953
17930,14954
17930,14955
17930,14956
17930,14957
17930,14958
17930,14959
17930,14960
17930,14961
17930,14962
17930,14963
17930,14964
17930,14965
17930,14966
17930,14967
17930,14968
17930,14969
17931,14914
17931,14915
17931,14916
17931,14917
17931,14918
17931,14919
17931,14920
17931,14921
17931,14950
17931,14951
17931,14952
17931,14953
17931,14954
17931,14955
17931,14956
17931,14957
17931,14958
17931,14959
17931,14960
17931,14961
17931,14962
17931,14963
17931,14964
17931,14965
17931,14966
17931,14967
17931,14968
17931,14969
17931,14970
17932,14913
17932,14914
17932,14915
17932,14916
17932,14917
17932,14918
17932,14919
17932,14920
17932,14921
17932,14922
17932,14950
17932,14951
17932,14952
17932,14953
17932,14954
17932,14955
17932,14956
17932,14957
17932,14958
17932,14959
17932,14960
17932,14961
17932,14962
17932,14963
17932,14964
17932,14965
17932,14966
17932,14967
17932,14968
17932,14969
17932,14970
17932,14971
17933,14912
17933,14913
17933,14914
17933,14915
17933,14916
17933,14917
17933,14918
17933,14919
17933,14920
17933,14921
17933,14922
17933,14923
17933,14950
17933,14951
17933,14952
17933,14953
17933,14954
17933,14955
17933,14956
17933,14957
17933,14958
17933,14959
17933,14960
17933,14961
17933,14962
17933,14963
17933,14964
17933,14965
17933,14966
17933,14967
17933,14968
17933,14969
17933,14970
17933,14971
17933,14972
17933,14975
17933,14976
17933,14977
17934,14912
17934,14913
17934,14914
17934,14915
17934,14916
17934,14917
17934,14918
17934,14919
17934,14920
17934,14921
17934,14922
17934,14923
17934,14924
17934,14949
17934,14950
17934,14951
17934,14952
17934,14953
17934,14954
17934,14955
17934,14956
17934,14957
17934,14958
17934,14959
17934,14960
17934,14961
17934,14962
17934,14963
17934,14964
17934,14965
17934,14966
17934,14967
17934,14968
17934,14969
17934,14970
17934,14971
17934,14972
17934,14973
17934,14974
17934,14975
17934,14976
17934,14977
17934,14978
17934,14979
17934,14980
17935,14912
17935,14913
17935,14914
17935,14915
17935,14916
17935,14917
17935,14918
17935,14919
17935,14920
17935,14921
17935,14922
17935,14923
17935,14924
17935,14950
17935,14951
17935,14952
17935,14953
17935,14954
17935,14955
17935,14956
17935,14957
17935,14958
17935,14959
17935,14960
17935,14961
17935,14962
17935,14963
17935,14964
17935,14965
17935,14966
17935,14967
17935,14968
17935,14969
17935,14970
17935,14971
17935,14972
17935,14973
17935,14974
17935,14975
17935,14976
17935,14977
17935,14978
17935,14979
17935,14980
17935,14981
17935,14982
17936,14911
17936,14912
17936,14913
17936,14914
17936,14915
17936,14916
17936,14917
17936,14918
17936,14919
17936,14920
17936,14921
17936,14922
17936,14923
17936,14924
17936,14950
17936,14951
17936,14952
17936,14953
17936,14954
17936,14955
17936,14956
17936,14957
17936,14958
17936,14959
17936,14960
17936,14961
17936,14962
17936,14963
17936,14964
17936,14965
17936,14966
17936,14967
17936,14968
17936,14969
17936,14970
17936,14971
17936,14972
