"X","Y"
8820,41280
8821,41277
8821,41278
8821,41279
8821,41280
8821,41281
8821,41282
8822,41275
8822,41276
8822,41277
8822,41278
8822,41279
8822,41280
8822,41281
8822,41282
8822,41283
8823,41274
8823,41275
8823,41276
8823,41277
8823,41278
8823,41279
8823,41280
8823,41281
8823,41282
8823,41283
8823,41284
8824,41273
8824,41274
8824,41275
8824,41276
8824,41277
8824,41278
8824,41279
8824,41280
8824,41281
8824,41282
8824,41283
8824,41284
8825,41271
8825,41272
8825,41273
8825,41274
8825,41275
8825,41276
8825,41277
8825,41278
8825,41279
8825,41280
8825,41281
8825,41282
8825,41283
8825,41284
8825,41285
8826,41270
8826,41271
8826,41272
8826,41273
8826,41274
8826,41275
8826,41276
8826,41277
8826,41278
8826,41279
8826,41280
8826,41281
8826,41282
8826,41283
8826,41284
8827,41269
8827,41270
8827,41271
8827,41272
8827,41273
8827,41274
8827,41275
8827,41276
8827,41277
8827,41278
8827,41279
8827,41280
8827,41281
8827,41282
8827,41283
8827,41284
8828,41269
8828,41270
8828,41271
8828,41272
8828,41273
8828,41274
8828,41275
8828,41276
8828,41277
8828,41278
8828,41279
8828,41280
8828,41281
8828,41282
8828,41283
8828,41284
8829,41268
8829,41269
8829,41270
8829,41271
8829,41272
8829,41273
8829,41274
8829,41275
8829,41276
8829,41277
8829,41278
8829,41279
8829,41280
8829,41281
8829,41282
8829,41283
8830,41269
8830,41270
8830,41271
8830,41272
8830,41273
8830,41274
8830,41275
8830,41276
8830,41277
8830,41278
8830,41279
8830,41280
8830,41281
8830,41282
8831,41269
8831,41270
8831,41271
8831,41272
8831,41273
8831,41274
8831,41275
8831,41276
8831,41277
8831,41278
8831,41279
8831,41280
8831,41281
8831,41282
8831,41285
8832,41270
8832,41271
8832,41272
8832,41273
8832,41274
8832,41275
8832,41276
8832,41277
8832,41278
8832,41279
8832,41280
8832,41281
8832,41282
8832,41283
8832,41284
8832,41285
8832,41286
8832,41287
8833,41271
8833,41272
8833,41273
8833,41274
8833,41275
8833,41276
8833,41277
8833,41278
8833,41279
8833,41280
8833,41281
8833,41282
8833,41283
8833,41284
8833,41285
8833,41286
8833,41287
8833,41288
8834,41273
8834,41274
8834,41278
8834,41281
8834,41282
8834,41283
8834,41284
8834,41285
8834,41286
8834,41287
8834,41288
8834,41289
8835,41281
8835,41282
8835,41283
8835,41284
8835,41285
8835,41286
8835,41287
8835,41288
8835,41289
8836,41280
8836,41281
8836,41282
8836,41283
8836,41284
8836,41285
8836,41286
8836,41287
8836,41288
8836,41289
8836,41290
8837,41276
8837,41277
8837,41281
8837,41282
8837,41283
8837,41284
8837,41285
8837,41286
8837,41287
8837,41288
8837,41289
8837,41290
8837,41291
8838,41273
8838,41274
8838,41275
8838,41276
8838,41277
8838,41278
8838,41279
8838,41280
8838,41281
8838,41282
8838,41283
8838,41284
8838,41285
8838,41286
8838,41287
8838,41288
8838,41289
8838,41290
8838,41291
8838,41292
8838,41293
8839,41233
8839,41272
8839,41273
8839,41274
8839,41275
8839,41276
8839,41277
8839,41278
8839,41279
8839,41280
8839,41281
8839,41282
8839,41283
8839,41284
8839,41285
8839,41286
8839,41287
8839,41288
8839,41289
8839,41290
8839,41291
8839,41292
8839,41293
8839,41294
8840,41230
8840,41231
8840,41232
8840,41233
8840,41234
8840,41235
8840,41236
8840,41269
8840,41270
8840,41271
8840,41272
8840,41273
8840,41274
8840,41275
8840,41276
8840,41277
8840,41278
8840,41279
8840,41280
8840,41281
8840,41282
8840,41283
8840,41284
8840,41285
8840,41286
8840,41287
8840,41288
8840,41289
8840,41290
8840,41291
8840,41292
8840,41293
8840,41294
8840,41295
8841,41229
8841,41230
8841,41231
8841,41232
8841,41233
8841,41234
8841,41235
8841,41236
8841,41237
8841,41246
8841,41247
8841,41268
8841,41269
8841,41270
8841,41271
8841,41272
8841,41273
8841,41274
8841,41275
8841,41276
8841,41277
8841,41278
8841,41279
8841,41280
8841,41281
8841,41282
8841,41283
8841,41284
8841,41285
8841,41286
8841,41287
8841,41288
8841,41289
8841,41290
8841,41291
8841,41292
8841,41293
8841,41294
8841,41295
8842,41228
8842,41229
8842,41230
8842,41231
8842,41232
8842,41233
8842,41234
8842,41235
8842,41236
8842,41237
8842,41238
8842,41244
8842,41245
8842,41246
8842,41247
8842,41248
8842,41249
8842,41266
8842,41267
8842,41268
8842,41269
8842,41270
8842,41271
8842,41272
8842,41273
8842,41274
8842,41275
8842,41276
8842,41277
8842,41278
8842,41279
8842,41280
8842,41281
8842,41282
8842,41283
8842,41284
8842,41285
8842,41286
8842,41287
8842,41288
8842,41289
8842,41290
8842,41291
8842,41292
8842,41293
8842,41294
8842,41295
8842,41296
8843,41227
8843,41228
8843,41229
8843,41230
8843,41231
8843,41232
8843,41233
8843,41234
8843,41235
8843,41236
8843,41237
8843,41238
8843,41239
8843,41243
8843,41244
8843,41245
8843,41246
8843,41247
8843,41248
8843,41249
8843,41250
8843,41265
8843,41266
8843,41267
8843,41268
8843,41269
8843,41270
8843,41271
8843,41272
8843,41273
8843,41274
8843,41275
8843,41276
8843,41277
8843,41278
8843,41279
8843,41280
8843,41281
8843,41282
8843,41283
8843,41284
8843,41285
8843,41286
8843,41287
8843,41288
8843,41289
8843,41290
8843,41291
8843,41292
8843,41293
8843,41294
8843,41295
