"X","Y"
11494,26724
11495,26721
11495,26722
11495,26723
11495,26724
11495,26725
11495,26726
11495,26727
11496,26719
11496,26720
11496,26721
11496,26722
11496,26723
11496,26724
11496,26725
11496,26726
11496,26727
11496,26728
11496,26729
11497,26717
11497,26718
11497,26719
11497,26720
11497,26721
11497,26722
11497,26723
11497,26724
11497,26725
11497,26726
11497,26727
11497,26728
11497,26729
11497,26730
11497,26734
11498,26716
11498,26717
11498,26718
11498,26719
11498,26720
11498,26721
11498,26722
11498,26723
11498,26724
11498,26725
11498,26726
11498,26727
11498,26728
11498,26729
11498,26730
11498,26731
11498,26732
11498,26733
11498,26734
11498,26735
11498,26736
11499,26715
11499,26716
11499,26717
11499,26718
11499,26719
11499,26720
11499,26721
11499,26722
11499,26723
11499,26724
11499,26725
11499,26726
11499,26727
11499,26728
11499,26729
11499,26730
11499,26731
11499,26732
11499,26733
11499,26734
11499,26735
11499,26736
11499,26737
11500,26715
11500,26716
11500,26717
11500,26718
11500,26719
11500,26720
11500,26721
11500,26722
11500,26723
11500,26724
11500,26725
11500,26726
11500,26727
11500,26728
11500,26729
11500,26730
11500,26731
11500,26732
11500,26733
11500,26734
11500,26735
11500,26736
11500,26737
11500,26738
11501,26715
11501,26716
11501,26717
11501,26718
11501,26719
11501,26720
11501,26721
11501,26722
11501,26723
11501,26724
11501,26725
11501,26726
11501,26727
11501,26728
11501,26729
11501,26730
11501,26731
11501,26732
11501,26733
11501,26734
11501,26735
11501,26736
11501,26737
11501,26738
11502,26714
11502,26715
11502,26716
11502,26717
11502,26718
11502,26719
11502,26720
11502,26721
11502,26722
11502,26723
11502,26724
11502,26725
11502,26726
11502,26727
11502,26728
11502,26729
11502,26730
11502,26731
11502,26732
11502,26733
11502,26734
11502,26735
11502,26736
11502,26737
11502,26738
11502,26739
11503,26715
11503,26716
11503,26717
11503,26718
11503,26719
11503,26720
11503,26721
11503,26722
11503,26723
11503,26724
11503,26725
11503,26726
11503,26727
11503,26728
11503,26729
11503,26730
11503,26731
11503,26732
11503,26733
11503,26734
11503,26735
11503,26736
11503,26737
11503,26738
11503,26775
11503,26779
11504,26715
11504,26716
11504,26717
11504,26718
11504,26719
11504,26720
11504,26721
11504,26722
11504,26723
11504,26724
11504,26725
11504,26726
11504,26727
11504,26728
11504,26729
11504,26730
11504,26731
11504,26732
11504,26733
11504,26734
11504,26735
11504,26736
11504,26737
11504,26738
11504,26772
11504,26773
11504,26774
11504,26775
11504,26776
11504,26777
11504,26778
11504,26779
11504,26780
11504,26781
11504,26782
11504,26783
11505,26715
11505,26716
11505,26717
11505,26718
11505,26719
11505,26720
11505,26721
11505,26722
11505,26723
11505,26724
11505,26725
11505,26726
11505,26727
11505,26728
11505,26729
11505,26730
11505,26731
11505,26732
11505,26733
11505,26734
11505,26735
11505,26736
11505,26737
