"X","Y"
21678,20566
21678,20567
21678,20568
21679,20565
21679,20566
21679,20567
21679,20568
21679,20569
21680,20564
21680,20565
21680,20566
21680,20567
21680,20568
21680,20569
21680,20570
21681,20563
21681,20564
21681,20565
21681,20566
21681,20567
21681,20568
21681,20569
21681,20570
21681,20571
21682,20563
21682,20564
21682,20565
21682,20566
21682,20567
21682,20568
21682,20569
21682,20570
21682,20571
21682,20572
21683,20562
21683,20563
21683,20564
21683,20565
21683,20566
21683,20567
21683,20568
21683,20569
21683,20570
21683,20571
21683,20572
21683,20573
21684,20561
21684,20562
21684,20563
21684,20564
21684,20565
21684,20566
21684,20567
21684,20568
21684,20569
21684,20570
21684,20571
21684,20572
21684,20573
21684,20574
21685,20560
21685,20561
21685,20562
21685,20563
21685,20564
21685,20565
21685,20566
21685,20567
21685,20568
21685,20569
21685,20570
21685,20571
21685,20572
21685,20573
21685,20574
21685,20575
21686,20559
21686,20560
21686,20561
21686,20562
21686,20563
21686,20564
21686,20565
21686,20566
21686,20567
21686,20568
21686,20569
21686,20570
21686,20571
21686,20572
21686,20573
21686,20574
21686,20575
21686,20576
21687,20558
21687,20559
21687,20560
21687,20561
21687,20562
21687,20563
21687,20564
21687,20565
21687,20566
21687,20567
21687,20568
21687,20569
21687,20570
21687,20571
21687,20572
21687,20573
21687,20574
21687,20575
21687,20576
21687,20577
21688,20558
21688,20559
21688,20560
21688,20561
21688,20562
21688,20563
21688,20564
21688,20565
21688,20566
21688,20567
21688,20568
21688,20569
21688,20570
21688,20571
21688,20572
21688,20573
21688,20574
21688,20575
21688,20576
21688,20577
21688,20578
21689,20558
21689,20559
21689,20560
21689,20561
21689,20562
21689,20563
21689,20564
21689,20565
21689,20566
21689,20567
21689,20568
21689,20569
21689,20570
21689,20571
21689,20572
21689,20573
21689,20574
21689,20575
21689,20576
21689,20577
21689,20578
21689,20579
21690,20557
21690,20558
21690,20559
21690,20560
21690,20561
21690,20562
21690,20563
21690,20564
21690,20565
21690,20566
21690,20567
21690,20568
21690,20569
21690,20570
21690,20571
21690,20572
21690,20573
21690,20574
21690,20575
21690,20576
21690,20577
21690,20578
21690,20579
21690,20580
21691,20558
21691,20559
21691,20560
21691,20561
21691,20562
21691,20563
21691,20564
21691,20565
21691,20566
21691,20567
21691,20568
21691,20569
21691,20570
21691,20571
21691,20572
21691,20573
21691,20574
21691,20575
21691,20576
21691,20577
21691,20578
21691,20579
21691,20580
21691,20581
21692,20557
21692,20558
21692,20559
21692,20560
21692,20561
21692,20562
21692,20563
21692,20564
21692,20565
21692,20566
21692,20567
21692,20568
21692,20569
21692,20570
21692,20571
21692,20572
21692,20573
21692,20574
21692,20575
21692,20576
21692,20577
21692,20578
21692,20579
21692,20580
21692,20581
21692,20582
21693,20557
21693,20558
21693,20559
21693,20560
21693,20561
21693,20562
21693,20563
21693,20564
21693,20565
21693,20566
21693,20567
21693,20568
21693,20569
21693,20570
21693,20571
21693,20572
21693,20573
21693,20574
21693,20575
21693,20576
21693,20577
21693,20578
21693,20579
21693,20580
21693,20581
21693,20582
21693,20583
21694,20557
21694,20558
21694,20559
21694,20560
21694,20561
21694,20562
21694,20563
21694,20564
21694,20565
21694,20566
21694,20567
21694,20568
21694,20569
21694,20570
21694,20571
21694,20572
21694,20573
21694,20574
21694,20575
21694,20576
21694,20577
21694,20578
21694,20579
21694,20580
21694,20581
21694,20582
21694,20583
21694,20584
21694,20585
21694,20586
21694,20587
21694,20588
21694,20589
21694,20590
21694,20591
21694,20592
21695,20555
21695,20556
21695,20557
21695,20558
21695,20559
21695,20560
21695,20561
21695,20562
21695,20563
21695,20564
21695,20565
21695,20566
21695,20567
21695,20568
21695,20569
21695,20570
21695,20571
21695,20572
21695,20573
21695,20574
21695,20575
21695,20576
21695,20577
21695,20578
21695,20579
21695,20580
21695,20581
21695,20582
21695,20583
21695,20584
21695,20585
21695,20586
21695,20587
21695,20588
21695,20589
21695,20590
21695,20591
21695,20592
21695,20593
21695,20594
21695,20595
21695,20596
21695,20597
21695,20598
21695,20599
21695,20600
21695,20601
21695,20602
21695,20603
21696,20554
21696,20555
21696,20556
21696,20557
21696,20558
21696,20559
21696,20560
21696,20561
21696,20562
21696,20563
21696,20564
21696,20565
21696,20566
21696,20567
21696,20568
21696,20569
21696,20570
21696,20571
21696,20572
21696,20573
21696,20574
21696,20575
21696,20576
21696,20577
21696,20578
21696,20579
21696,20580
21696,20581
21696,20582
21696,20583
21696,20584
21696,20585
21696,20586
21696,20587
21696,20588
21696,20589
21696,20590
21696,20591
21696,20592
21696,20593
21696,20594
21696,20595
21696,20596
21696,20597
21696,20598
21696,20599
21696,20600
21696,20601
21696,20602
21696,20603
21696,20604
21697,20553
21697,20554
21697,20555
21697,20556
21697,20557
21697,20558
21697,20559
21697,20560
21697,20561
21697,20562
21697,20563
21697,20564
21697,20565
21697,20566
21697,20567
21697,20568
21697,20569
21697,20570
21697,20571
21697,20572
21697,20573
21697,20574
21697,20575
21697,20576
21697,20577
21697,20578
21697,20579
21697,20580
21697,20581
21697,20582
21697,20583
21697,20584
21697,20585
21697,20586
21697,20587
21697,20588
21697,20589
21697,20590
21697,20591
21697,20592
21697,20593
21697,20594
21697,20595
21697,20596
21697,20597
21697,20598
21697,20599
21697,20600
21697,20601
21697,20602
21697,20603
21697,20604
21697,20605
21698,20552
21698,20553
21698,20554
21698,20555
21698,20556
21698,20557
21698,20558
21698,20559
21698,20560
21698,20561
21698,20562
21698,20563
21698,20564
21698,20565
21698,20566
21698,20567
21698,20568
21698,20569
21698,20570
21698,20571
21698,20572
21698,20573
21698,20574
21698,20575
21698,20576
21698,20577
21698,20578
21698,20579
21698,20580
21698,20581
21698,20582
21698,20583
21698,20584
21698,20585
21698,20586
21698,20587
21698,20588
21698,20589
21698,20590
21698,20591
21698,20592
21698,20593
21698,20594
21698,20595
21698,20596
21698,20597
21698,20598
21698,20599
21698,20600
21698,20601
21698,20602
21698,20603
21698,20604
21698,20605
21698,20606
21699,20552
21699,20553
21699,20554
21699,20555
21699,20556
21699,20557
21699,20558
21699,20559
