"X","Y"
7903,13864
7903,13865
7903,13866
7903,13867
7904,13861
7904,13862
7904,13863
7904,13864
7904,13865
7904,13866
7904,13867
7904,13868
7904,13869
7904,13870
7905,13860
7905,13861
7905,13862
7905,13863
7905,13864
7905,13865
7905,13866
7905,13867
7905,13868
7905,13869
7905,13870
7905,13871
7905,13872
7905,13873
7906,13846
7906,13857
7906,13858
7906,13859
7906,13860
7906,13861
7906,13862
7906,13863
7906,13864
7906,13865
7906,13866
7906,13867
7906,13868
7906,13869
7906,13870
7906,13871
7906,13872
7906,13873
7906,13874
7906,13875
7907,13843
7907,13844
7907,13845
7907,13846
7907,13847
7907,13848
7907,13855
7907,13856
7907,13857
7907,13858
7907,13859
7907,13860
7907,13861
7907,13862
7907,13863
7907,13864
7907,13865
7907,13866
7907,13867
7907,13868
7907,13869
7907,13870
7907,13871
7907,13872
7907,13873
7907,13874
7907,13875
7907,13876
7908,13842
7908,13843
7908,13844
7908,13845
7908,13846
7908,13847
7908,13848
7908,13849
7908,13854
7908,13855
7908,13856
7908,13857
7908,13858
7908,13859
7908,13860
7908,13861
7908,13862
7908,13863
7908,13864
7908,13865
7908,13866
7908,13867
7908,13868
7908,13869
7908,13870
7908,13871
7908,13872
7908,13873
7908,13874
7908,13875
7908,13876
7908,13877
7909,13841
7909,13842
7909,13843
7909,13844
7909,13845
7909,13846
7909,13847
7909,13848
7909,13849
7909,13850
7909,13853
7909,13854
7909,13855
7909,13856
7909,13857
7909,13858
7909,13859
7909,13860
7909,13861
7909,13862
7909,13863
7909,13864
7909,13865
7909,13866
7909,13867
7909,13868
7909,13869
7909,13870
7909,13871
7909,13872
7909,13873
7909,13874
7909,13875
7909,13876
7909,13877
7909,13878
7909,13880
7910,13840
7910,13841
7910,13842
7910,13843
7910,13844
7910,13845
7910,13846
7910,13847
7910,13848
7910,13849
7910,13850
7910,13851
7910,13852
7910,13853
7910,13854
7910,13855
7910,13856
7910,13857
7910,13858
7910,13859
7910,13860
7910,13861
7910,13862
7910,13863
7910,13864
7910,13865
7910,13866
7910,13867
7910,13868
7910,13869
7910,13870
7910,13871
7910,13872
7910,13873
7910,13874
7910,13875
7910,13876
7910,13877
7910,13878
7910,13879
7910,13880
7910,13881
7910,13882
7911,13837
7911,13838
7911,13839
7911,13840
7911,13841
7911,13842
7911,13843
7911,13844
7911,13845
7911,13846
7911,13847
7911,13848
7911,13849
7911,13850
7911,13851
7911,13852
7911,13853
7911,13854
7911,13855
7911,13856
7911,13857
7911,13858
7911,13859
7911,13860
7911,13861
7911,13862
7911,13863
7911,13864
7911,13865
7911,13866
7911,13867
7911,13868
7911,13869
7911,13870
7911,13871
7911,13872
7911,13873
7911,13874
7911,13875
7911,13876
7911,13877
7911,13878
7911,13879
7911,13880
7911,13881
7911,13882
7911,13883
7912,13836
7912,13837
7912,13838
7912,13839
7912,13840
7912,13841
7912,13842
7912,13843
7912,13844
7912,13845
7912,13846
7912,13847
7912,13848
7912,13849
7912,13850
7912,13851
7912,13852
7912,13853
7912,13854
7912,13855
7912,13856
7912,13857
7912,13858
7912,13859
7912,13860
7912,13861
7912,13862
7912,13863
7912,13864
7912,13865
7912,13866
7912,13867
7912,13868
7912,13869
7912,13870
7912,13871
7912,13872
7912,13873
7912,13874
7912,13875
7912,13876
7912,13877
7912,13878
7912,13879
7912,13880
7912,13881
7912,13882
7912,13883
7912,13884
7913,13835
7913,13836
7913,13837
7913,13838
7913,13839
7913,13840
7913,13841
7913,13842
7913,13843
7913,13844
7913,13845
7913,13846
7913,13847
7913,13848
7913,13849
7913,13850
7913,13851
7913,13852
7913,13853
7913,13854
7913,13855
7913,13856
7913,13857
7913,13858
7913,13859
7913,13860
7913,13861
7913,13862
7913,13863
7913,13864
7913,13865
7913,13866
7913,13867
7913,13868
7913,13869
7913,13870
7913,13871
7913,13872
7913,13873
7913,13874
7913,13875
7913,13876
7913,13877
7913,13878
7913,13879
7913,13880
7913,13881
7913,13882
7913,13883
7913,13884
7914,13834
7914,13835
7914,13836
7914,13837
7914,13838
7914,13839
7914,13840
7914,13841
7914,13842
7914,13843
7914,13844
7914,13845
7914,13846
7914,13847
7914,13848
7914,13849
7914,13850
7914,13851
7914,13852
7914,13853
7914,13854
7914,13855
7914,13856
7914,13857
7914,13858
7914,13859
7914,13860
7914,13861
7914,13862
7914,13863
7914,13864
7914,13865
7914,13866
7914,13867
7914,13868
7914,13869
7914,13870
7914,13871
7914,13872
7914,13873
7914,13874
7914,13875
7914,13876
7914,13877
7914,13878
7914,13879
7914,13880
7914,13881
7914,13882
7914,13883
7914,13884
7914,13885
7915,13828
7915,13832
7915,13833
7915,13834
7915,13835
7915,13836
7915,13837
7915,13838
7915,13839
7915,13840
7915,13841
7915,13842
7915,13843
7915,13844
7915,13845
7915,13846
7915,13847
7915,13848
7915,13849
7915,13850
7915,13851
7915,13852
7915,13853
7915,13854
7915,13855
7915,13856
7915,13857
7915,13858
7915,13859
7915,13860
7915,13861
7915,13862
7915,13863
7915,13864
7915,13865
7915,13866
7915,13867
7915,13868
7915,13869
7915,13870
7915,13871
7915,13872
7915,13873
7915,13874
7915,13875
7915,13876
7915,13877
7915,13878
7915,13879
7915,13880
7915,13881
7915,13882
7915,13883
7915,13884
7915,13885
7915,13886
7915,13887
7915,13888
7916,13825
7916,13826
7916,13827
7916,13828
7916,13829
7916,13830
7916,13831
7916,13832
7916,13833
7916,13834
7916,13835
7916,13836
7916,13837
7916,13838
7916,13839
7916,13840
7916,13841
7916,13842
7916,13843
7916,13844
7916,13845
7916,13846
7916,13847
7916,13848
7916,13849
7916,13850
7916,13851
7916,13852
7916,13853
7916,13854
7916,13855
7916,13856
7916,13857
7916,13858
7916,13859
7916,13860
7916,13861
7916,13862
7916,13863
7916,13864
7916,13865
7916,13866
7916,13867
7916,13868
7916,13869
7916,13870
7916,13871
7916,13872
7916,13873
7916,13874
7916,13875
7916,13876
7916,13877
7916,13878
7916,13879
7916,13880
7916,13881
7916,13882
7916,13883
7916,13884
7916,13885
7916,13886
7916,13887
7916,13888
7916,13889
7917,13817
7917,13818
7917,13820
7917,13823
7917,13824
7917,13825
7917,13826
7917,13827
7917,13828
7917,13829
7917,13830
7917,13831
7917,13832
7917,13833
7917,13834
7917,13835
7917,13836
7917,13837
7917,13838
7917,13839
7917,13840
7917,13841
7917,13842
7917,13843
7917,13844
7917,13845
7917,13846
7917,13847
7917,13848
7917,13849
7917,13850
7917,13851
7917,13852
7917,13853
7917,13854
7917,13855
7917,13856
7917,13857
7917,13858
7917,13859
7917,13860
7917,13861
7917,13862
7917,13863
7917,13864
7917,13865
7917,13866
7917,13867
7917,13868
7917,13869
7917,13870
7917,13871
7917,13872
7917,13873
7917,13874
7917,13875
7917,13876
7917,13877
7917,13878
7917,13879
7917,13880
7917,13881
7917,13882
7917,13883
7917,13884
7917,13885
7917,13886
7917,13887
7917,13888
7917,13889
7917,13890
7918,13815
7918,13816
7918,13817
7918,13818
7918,13819
7918,13820
7918,13821
7918,13822
7918,13823
7918,13824
7918,13825
7918,13826
7918,13827
7918,13828
7918,13829
7918,13830
7918,13831
7918,13832
7918,13833
7918,13834
7918,13835
7918,13836
7918,13837
7918,13838
7918,13839
7918,13840
7918,13841
7918,13842
7918,13843
7918,13844
7918,13845
7918,13846
7918,13847
7918,13848
7918,13849
7918,13850
7918,13851
7918,13852
7918,13853
7918,13854
7918,13855
7918,13856
7918,13857
7918,13858
7918,13859
7918,13860
7918,13861
7918,13862
7918,13863
7918,13864
7918,13865
7918,13866
7918,13867
7918,13868
7918,13869
7918,13870
7918,13871
7918,13872
7918,13873
7918,13874
7918,13875
7918,13876
