"X","Y"
20114,15570
20114,15573
20114,15574
20115,15520
20115,15521
20115,15566
20115,15567
20115,15568
20115,15569
20115,15570
20115,15571
20115,15572
20115,15573
20115,15574
20115,15575
20115,15576
20116,15517
20116,15518
20116,15519
20116,15520
20116,15521
20116,15522
20116,15523
20116,15524
20116,15563
20116,15564
20116,15565
20116,15566
20116,15567
20116,15568
20116,15569
20116,15570
20116,15571
20116,15572
20116,15573
20116,15574
20116,15575
20116,15576
20116,15577
20117,15515
20117,15516
20117,15517
20117,15518
20117,15519
20117,15520
20117,15521
20117,15522
20117,15523
20117,15524
20117,15525
20117,15560
20117,15561
20117,15562
20117,15563
20117,15564
20117,15565
20117,15566
20117,15567
20117,15568
20117,15569
20117,15570
20117,15571
20117,15572
20117,15573
20117,15574
20117,15575
20117,15576
20117,15577
20117,15578
20118,15513
20118,15514
20118,15515
20118,15516
20118,15517
20118,15518
20118,15519
20118,15520
20118,15521
20118,15522
20118,15523
20118,15524
20118,15525
20118,15526
20118,15558
20118,15559
20118,15560
20118,15561
20118,15562
20118,15563
20118,15564
20118,15565
20118,15566
20118,15567
20118,15568
20118,15569
20118,15570
20118,15571
20118,15572
20118,15573
20118,15574
20118,15575
20118,15576
20118,15577
20118,15578
20118,15579
20119,15510
20119,15511
20119,15512
20119,15513
20119,15514
20119,15515
20119,15516
20119,15517
20119,15518
20119,15519
20119,15520
20119,15521
20119,15522
20119,15523
20119,15524
20119,15525
20119,15526
20119,15527
20119,15557
20119,15558
20119,15559
20119,15560
20119,15561
20119,15562
20119,15563
20119,15564
20119,15565
20119,15566
20119,15567
20119,15568
20119,15569
20119,15570
20119,15571
20119,15572
20119,15573
20119,15574
20119,15575
20119,15576
20119,15577
20119,15578
20119,15579
20120,15508
20120,15509
20120,15510
20120,15511
20120,15512
20120,15513
20120,15514
20120,15515
20120,15516
20120,15517
20120,15518
20120,15519
20120,15520
20120,15521
20120,15522
20120,15523
20120,15524
20120,15525
20120,15526
20120,15527
20120,15528
20120,15555
20120,15556
20120,15557
20120,15558
20120,15559
20120,15560
20120,15561
20120,15562
20120,15563
20120,15564
20120,15565
20120,15566
20120,15567
20120,15568
20120,15569
20120,15570
20120,15571
20120,15572
20120,15573
20120,15574
20120,15575
20120,15576
20120,15577
20120,15578
20120,15579
20120,15580
20121,15507
20121,15508
20121,15509
20121,15510
20121,15511
20121,15512
20121,15513
20121,15514
20121,15515
20121,15516
20121,15517
20121,15518
20121,15519
20121,15520
20121,15521
20121,15522
20121,15523
20121,15524
20121,15525
20121,15526
20121,15527
20121,15528
20121,15554
20121,15555
20121,15556
20121,15557
20121,15558
20121,15559
20121,15560
20121,15561
20121,15562
20121,15563
20121,15564
20121,15565
20121,15566
20121,15567
20121,15568
20121,15569
20121,15570
20121,15571
20121,15572
20121,15573
20121,15574
20121,15575
20121,15576
20121,15577
20121,15578
20121,15579
20121,15580
20122,15506
20122,15507
20122,15508
20122,15509
20122,15510
20122,15511
20122,15512
20122,15513
20122,15514
20122,15515
20122,15516
20122,15517
20122,15518
20122,15519
20122,15520
20122,15521
20122,15522
20122,15523
20122,15524
20122,15525
20122,15526
20122,15527
20122,15528
20122,15529
20122,15553
20122,15554
20122,15555
20122,15556
20122,15557
20122,15558
20122,15559
20122,15560
20122,15561
20122,15562
20122,15563
20122,15564
20122,15565
20122,15566
20122,15567
20122,15568
20122,15569
20122,15570
20122,15571
20122,15572
20122,15573
20122,15574
20122,15575
20122,15576
20122,15577
20122,15578
20122,15579
20122,15580
20123,15503
20123,15504
20123,15505
20123,15506
20123,15507
20123,15508
20123,15509
20123,15510
20123,15511
20123,15512
20123,15513
20123,15514
20123,15515
20123,15516
20123,15517
20123,15518
20123,15519
20123,15520
20123,15521
20123,15522
20123,15523
20123,15524
20123,15525
20123,15526
20123,15527
20123,15528
20123,15529
20123,15552
20123,15553
20123,15554
20123,15555
20123,15556
20123,15557
20123,15558
20123,15559
20123,15560
20123,15561
20123,15562
20123,15563
20123,15564
20123,15565
20123,15566
20123,15567
20123,15568
20123,15569
20123,15570
20123,15571
20123,15572
20123,15573
20123,15574
20123,15575
20123,15576
20123,15577
20123,15578
20123,15579
20123,15580
20123,15581
20123,15582
20124,15500
20124,15501
20124,15502
20124,15503
20124,15504
20124,15505
20124,15506
20124,15507
20124,15508
20124,15509
20124,15510
20124,15511
20124,15512
20124,15513
20124,15514
20124,15515
20124,15516
20124,15517
20124,15518
20124,15519
20124,15520
20124,15521
20124,15522
20124,15523
20124,15524
20124,15525
20124,15526
20124,15527
20124,15528
20124,15529
20124,15551
20124,15552
20124,15553
20124,15554
20124,15555
20124,15556
20124,15557
20124,15558
20124,15559
20124,15560
20124,15561
20124,15562
20124,15563
20124,15564
20124,15565
20124,15566
20124,15567
20124,15568
20124,15569
20124,15570
20124,15571
20124,15572
20124,15573
20124,15574
20124,15575
20124,15576
20124,15577
20124,15578
20124,15579
20124,15580
20124,15581
20124,15582
20124,15583
20125,15497
20125,15498
20125,15499
20125,15500
20125,15501
20125,15502
20125,15503
20125,15504
20125,15505
20125,15506
20125,15507
20125,15508
20125,15509
20125,15510
20125,15511
20125,15512
20125,15513
20125,15514
20125,15515
20125,15516
20125,15517
20125,15518
20125,15519
20125,15520
20125,15521
20125,15522
20125,15523
20125,15524
20125,15525
20125,15526
20125,15527
20125,15528
20125,15529
20125,15530
20125,15550
20125,15551
20125,15552
20125,15553
20125,15554
20125,15555
20125,15556
20125,15557
20125,15558
20125,15559
20125,15560
20125,15561
20125,15562
20125,15563
20125,15564
20125,15565
20125,15566
20125,15567
20125,15568
20125,15569
20125,15570
20125,15571
20125,15572
20125,15573
20125,15574
20125,15575
20125,15576
20125,15577
20125,15578
20125,15579
20125,15580
20125,15581
20125,15582
20125,15583
20125,15584
20126,15495
20126,15496
20126,15497
20126,15498
20126,15499
20126,15500
20126,15501
20126,15502
20126,15503
20126,15504
20126,15505
20126,15506
20126,15507
20126,15508
20126,15509
20126,15510
20126,15511
20126,15512
20126,15513
20126,15514
20126,15515
20126,15516
20126,15517
20126,15518
20126,15519
20126,15520
20126,15521
20126,15522
20126,15523
20126,15524
20126,15525
20126,15526
20126,15527
20126,15528
20126,15529
20126,15530
20126,15531
20126,15543
20126,15548
20126,15549
20126,15550
20126,15551
20126,15552
20126,15553
20126,15554
20126,15555
20126,15556
20126,15557
20126,15558
20126,15559
20126,15560
20126,15561
20126,15562
20126,15563
20126,15564
20126,15565
20126,15566
20126,15567
20126,15568
20126,15569
20126,15570
20126,15571
20126,15572
20126,15573
20126,15574
20126,15575
20126,15576
20126,15577
20126,15578
20126,15579
20126,15580
20126,15581
20126,15582
20126,15583
20126,15584
20127,15494
20127,15495
20127,15496
20127,15497
20127,15498
20127,15499
20127,15500
20127,15501
20127,15502
20127,15503
20127,15504
20127,15505
20127,15506
20127,15507
20127,15508
20127,15509
20127,15510
20127,15511
20127,15512
