"X","Y"
15890,19211
15891,19208
15891,19209
15891,19210
15891,19211
15891,19212
15891,19213
15891,19214
15891,19231
15891,19232
15891,19233
15892,19086
15892,19087
15892,19093
15892,19095
15892,19096
15892,19097
15892,19100
15892,19102
15892,19206
15892,19207
15892,19208
15892,19209
15892,19210
15892,19211
15892,19212
15892,19213
15892,19214
15892,19215
15892,19228
15892,19229
15892,19230
15892,19231
15892,19232
15892,19233
15892,19234
15892,19235
15893,19083
15893,19084
15893,19085
15893,19086
15893,19087
15893,19088
15893,19089
15893,19090
15893,19091
15893,19092
15893,19093
15893,19094
15893,19095
15893,19096
15893,19097
15893,19098
15893,19099
15893,19100
15893,19101
15893,19102
15893,19103
15893,19104
15893,19205
15893,19206
15893,19207
15893,19208
15893,19209
15893,19210
15893,19211
15893,19212
15893,19213
15893,19214
15893,19215
15893,19216
15893,19227
15893,19228
15893,19229
15893,19230
15893,19231
15893,19232
15893,19233
15893,19234
15893,19235
15893,19236
15894,19081
15894,19082
15894,19083
15894,19084
15894,19085
15894,19086
15894,19087
15894,19088
15894,19089
15894,19090
15894,19091
15894,19092
15894,19093
15894,19094
15894,19095
15894,19096
15894,19097
15894,19098
15894,19099
15894,19100
15894,19101
15894,19102
15894,19103
15894,19104
15894,19105
15894,19204
15894,19205
15894,19206
15894,19207
15894,19208
15894,19209
15894,19210
15894,19211
15894,19212
15894,19213
15894,19214
15894,19215
15894,19216
15894,19226
15894,19227
15894,19228
15894,19229
15894,19230
15894,19231
15894,19232
15894,19233
15894,19234
15894,19235
15894,19236
15894,19237
15895,19080
15895,19081
15895,19082
15895,19083
15895,19084
15895,19085
15895,19086
15895,19087
15895,19088
15895,19089
15895,19090
15895,19091
15895,19092
15895,19093
15895,19094
15895,19095
15895,19096
15895,19097
15895,19098
15895,19099
15895,19100
15895,19101
15895,19102
15895,19103
15895,19104
15895,19105
15895,19106
15895,19203
15895,19204
15895,19205
15895,19206
15895,19207
15895,19208
15895,19209
15895,19210
15895,19211
15895,19212
15895,19213
15895,19214
15895,19215
15895,19216
15895,19226
15895,19227
15895,19228
15895,19229
15895,19230
15895,19231
15895,19232
15895,19233
15895,19234
15895,19235
15895,19236
15895,19237
15896,19079
15896,19080
15896,19081
15896,19082
15896,19083
15896,19084
15896,19085
15896,19086
15896,19087
15896,19088
15896,19089
15896,19090
15896,19091
15896,19092
15896,19093
15896,19094
15896,19095
15896,19096
15896,19097
15896,19098
15896,19099
15896,19100
15896,19101
15896,19102
15896,19103
15896,19104
15896,19105
15896,19106
15896,19202
15896,19203
15896,19204
15896,19205
15896,19206
15896,19207
15896,19208
15896,19209
15896,19210
15896,19211
15896,19212
15896,19213
15896,19214
15896,19215
15896,19216
15896,19217
15896,19225
15896,19226
15896,19227
15896,19228
15896,19229
15896,19230
15896,19231
15896,19232
15896,19233
15896,19234
15896,19235
15896,19236
15896,19237
15896,19238
15897,19079
15897,19080
15897,19081
15897,19082
15897,19083
15897,19084
15897,19085
15897,19086
15897,19087
15897,19088
15897,19089
15897,19090
15897,19091
15897,19092
15897,19093
15897,19094
15897,19095
15897,19096
15897,19097
15897,19098
15897,19099
15897,19100
15897,19101
15897,19102
15897,19103
15897,19104
15897,19105
15897,19106
15897,19107
15897,19202
15897,19203
15897,19204
15897,19205
15897,19206
15897,19207
15897,19208
15897,19209
15897,19210
15897,19211
15897,19212
15897,19213
15897,19214
15897,19215
15897,19216
15897,19217
15897,19224
15897,19225
15897,19226
15897,19227
15897,19228
15897,19229
15897,19230
15897,19231
15897,19232
15897,19233
15897,19234
15897,19235
15897,19236
15897,19237
15898,19078
15898,19079
15898,19080
15898,19081
15898,19082
15898,19083
15898,19084
15898,19085
15898,19086
15898,19087
15898,19088
15898,19089
15898,19090
15898,19091
15898,19092
15898,19093
15898,19094
15898,19095
15898,19096
15898,19097
15898,19098
15898,19099
15898,19100
15898,19101
15898,19102
15898,19103
15898,19104
15898,19105
15898,19106
15898,19194
15898,19196
15898,19199
15898,19200
15898,19201
15898,19202
15898,19203
15898,19204
15898,19205
15898,19206
15898,19207
15898,19208
15898,19209
15898,19210
15898,19211
15898,19212
15898,19213
15898,19214
15898,19215
15898,19216
15898,19217
15898,19218
15898,19219
15898,19221
15898,19222
15898,19223
15898,19224
15898,19225
15898,19226
15898,19227
15898,19228
15898,19229
15898,19230
15898,19231
15898,19232
15898,19233
15898,19234
15898,19235
15898,19236
15898,19237
15898,19238
15899,19079
15899,19080
15899,19081
15899,19082
15899,19083
15899,19084
15899,19085
15899,19086
15899,19087
15899,19088
15899,19089
15899,19090
15899,19091
15899,19092
15899,19093
15899,19094
15899,19095
15899,19096
15899,19097
15899,19098
15899,19099
15899,19100
15899,19101
15899,19102
15899,19103
15899,19104
15899,19105
15899,19106
15899,19191
15899,19192
15899,19193
15899,19194
15899,19195
15899,19196
15899,19197
15899,19198
15899,19199
15899,19200
15899,19201
15899,19202
15899,19203
15899,19204
15899,19205
15899,19206
15899,19207
15899,19208
15899,19209
15899,19210
15899,19211
15899,19212
15899,19213
15899,19214
15899,19215
15899,19216
15899,19217
15899,19218
15899,19219
15899,19220
15899,19221
15899,19222
15899,19223
15899,19224
15899,19225
15899,19226
15899,19227
15899,19228
15899,19229
15899,19230
15899,19231
15899,19232
15899,19233
15899,19234
15899,19235
15899,19236
15899,19237
15899,19238
15899,19239
15899,19243
15899,19244
15900,19078
15900,19079
15900,19080
15900,19081
15900,19082
15900,19083
15900,19084
15900,19085
15900,19086
15900,19087
15900,19088
15900,19089
15900,19090
15900,19091
15900,19092
15900,19093
15900,19094
15900,19095
15900,19096
15900,19097
15900,19098
15900,19099
15900,19100
15900,19101
15900,19102
15900,19103
15900,19104
15900,19105
15900,19106
15900,19190
15900,19191
15900,19192
15900,19193
15900,19194
15900,19195
15900,19196
15900,19197
15900,19198
15900,19199
15900,19200
15900,19201
15900,19202
15900,19203
15900,19204
15900,19205
15900,19206
15900,19207
15900,19208
15900,19209
15900,19210
15900,19211
15900,19212
15900,19213
15900,19214
15900,19215
15900,19216
15900,19217
15900,19218
15900,19219
15900,19220
15900,19221
15900,19222
15900,19223
15900,19224
15900,19225
15900,19226
15900,19227
15900,19228
15900,19229
15900,19230
15900,19231
15900,19232
15900,19233
15900,19234
15900,19235
15900,19236
15900,19237
15900,19238
15900,19239
15900,19240
15900,19241
15900,19242
15900,19243
15900,19244
15900,19245
15900,19246
15900,19247
15901,19079
15901,19080
15901,19081
15901,19082
15901,19083
15901,19084
15901,19085
15901,19086
15901,19087
15901,19088
15901,19089
15901,19090
15901,19091
15901,19092
15901,19093
15901,19094
15901,19095
15901,19096
15901,19097
15901,19098
15901,19099
15901,19100
15901,19101
15901,19102
15901,19103
15901,19104
15901,19105
15901,19106
15901,19107
15901,19188
15901,19189
15901,19190
15901,19191
15901,19192
15901,19193
15901,19194
15901,19195
15901,19196
15901,19197
15901,19198
15901,19199
15901,19200
15901,19201
15901,19202
15901,19203
15901,19204
15901,19205
15901,19206
15901,19207
15901,19208
15901,19209
15901,19210
15901,19211
15901,19212
15901,19213
15901,19214
15901,19215
15901,19216
15901,19217
15901,19218
15901,19219
15901,19220
15901,19221
15901,19222
15901,19223
15901,19224
15901,19225
15901,19226
15901,19227
15901,19228
15901,19229
15901,19230
15901,19231
15901,19232
15901,19233
15901,19234
15901,19235
15901,19236
15901,19237
15901,19238
15901,19239
15901,19240
15901,19241
15901,19242
15901,19243
15901,19244
15901,19245
15901,19246
15901,19247
15901,19248
15901,19250
15901,19252
15902,19079
15902,19080
15902,19081
15902,19082
15902,19083
15902,19084
15902,19085
15902,19086
15902,19087
15902,19088
15902,19089
15902,19090
15902,19091
15902,19092
15902,19093
15902,19094
15902,19095
15902,19096
15902,19097
15902,19098
15902,19099
15902,19100
15902,19101
15902,19102
15902,19103
15902,19104
15902,19105
15902,19106
15902,19107
