"X","Y"
17625,16518
17626,16480
17626,16515
17626,16516
17626,16517
17626,16518
17626,16519
17626,16520
17627,16478
17627,16479
17627,16480
17627,16481
17627,16482
17627,16514
17627,16515
17627,16516
17627,16517
17627,16518
17627,16519
17627,16520
17627,16521
17628,16477
17628,16478
17628,16479
17628,16480
17628,16481
17628,16482
17628,16483
17628,16507
17628,16510
17628,16511
17628,16512
17628,16513
17628,16514
17628,16515
17628,16516
17628,16517
17628,16518
17628,16519
17628,16520
17628,16521
17628,16522
17629,16476
17629,16477
17629,16478
17629,16479
17629,16480
17629,16481
17629,16482
17629,16483
17629,16484
17629,16504
17629,16505
17629,16506
17629,16507
17629,16508
17629,16509
17629,16510
17629,16511
17629,16512
17629,16513
17629,16514
17629,16515
17629,16516
17629,16517
17629,16518
17629,16519
17629,16520
17629,16521
17629,16522
17630,16472
17630,16473
17630,16474
17630,16475
17630,16476
17630,16477
17630,16478
17630,16479
17630,16480
17630,16481
17630,16482
17630,16483
17630,16484
17630,16490
17630,16494
17630,16502
17630,16503
17630,16504
17630,16505
17630,16506
17630,16507
17630,16508
17630,16509
17630,16510
17630,16511
17630,16512
17630,16513
17630,16514
17630,16515
17630,16516
17630,16517
17630,16518
17630,16519
17630,16520
17630,16521
17630,16522
17630,16523
17631,16468
17631,16469
17631,16470
17631,16471
17631,16472
17631,16473
17631,16474
17631,16475
17631,16476
17631,16477
17631,16478
17631,16479
17631,16480
17631,16481
17631,16482
17631,16483
17631,16484
17631,16485
17631,16486
17631,16487
17631,16488
17631,16489
17631,16490
17631,16491
17631,16492
17631,16493
17631,16494
17631,16495
17631,16496
17631,16497
17631,16501
17631,16502
17631,16503
17631,16504
17631,16505
17631,16506
17631,16507
17631,16508
17631,16509
17631,16510
17631,16511
17631,16512
17631,16513
17631,16514
17631,16515
17631,16516
17631,16517
17631,16518
17631,16519
17631,16520
17631,16521
17631,16522
17631,16523
17632,16465
17632,16466
17632,16467
17632,16468
17632,16469
17632,16470
17632,16471
17632,16472
17632,16473
17632,16474
17632,16475
17632,16476
17632,16477
17632,16478
17632,16479
17632,16480
17632,16481
17632,16482
17632,16483
17632,16484
17632,16485
17632,16486
17632,16487
17632,16488
17632,16489
17632,16490
17632,16491
17632,16492
17632,16493
17632,16494
17632,16495
17632,16496
17632,16497
17632,16498
17632,16499
17632,16500
17632,16501
17632,16502
17632,16503
17632,16504
17632,16505
17632,16506
17632,16507
17632,16508
17632,16509
17632,16510
17632,16511
17632,16512
17632,16513
17632,16514
17632,16515
17632,16516
17632,16517
17632,16518
17632,16519
17632,16520
17632,16521
17632,16522
17632,16523
17632,16524
17633,16407
17633,16408
17633,16462
17633,16463
17633,16464
17633,16465
17633,16466
17633,16467
17633,16468
17633,16469
17633,16470
17633,16471
17633,16472
17633,16473
17633,16474
17633,16475
17633,16476
17633,16477
17633,16478
17633,16479
17633,16480
17633,16481
17633,16482
17633,16483
17633,16484
17633,16485
17633,16486
17633,16487
17633,16488
17633,16489
17633,16490
17633,16491
17633,16492
17633,16493
17633,16494
17633,16495
17633,16496
17633,16497
17633,16498
17633,16499
17633,16500
17633,16501
17633,16502
17633,16503
17633,16504
17633,16505
17633,16506
17633,16507
17633,16508
17633,16509
17633,16510
17633,16511
17633,16512
17633,16513
17633,16514
17633,16515
17633,16516
17633,16517
17633,16518
17633,16519
17633,16520
17633,16521
17633,16522
17633,16523
17633,16524
17634,16388
17634,16389
17634,16390
17634,16402
17634,16403
17634,16404
17634,16405
17634,16406
17634,16407
17634,16408
17634,16409
17634,16410
17634,16411
17634,16412
17634,16413
17634,16414
17634,16415
17634,16416
17634,16460
17634,16461
17634,16462
17634,16463
17634,16464
17634,16465
17634,16466
17634,16467
17634,16468
17634,16469
17634,16470
17634,16471
17634,16472
17634,16473
17634,16474
17634,16475
17634,16476
17634,16477
17634,16478
17634,16479
17634,16480
17634,16481
17634,16482
17634,16483
17634,16484
17634,16485
17634,16486
17634,16487
17634,16488
17634,16489
17634,16490
17634,16491
17634,16492
17634,16493
17634,16494
17634,16495
17634,16496
17634,16497
17634,16498
17634,16499
17634,16500
17634,16501
17634,16502
17634,16503
17634,16504
17634,16505
17634,16506
17634,16507
17634,16508
17634,16509
17634,16510
17634,16511
17634,16512
17634,16513
17634,16514
17634,16515
17634,16516
17634,16517
17634,16518
17634,16519
17634,16520
17634,16521
17634,16522
17634,16523
17634,16524
17635,16383
17635,16384
17635,16385
17635,16386
17635,16387
17635,16388
17635,16389
17635,16390
17635,16391
17635,16392
17635,16393
17635,16399
17635,16400
17635,16401
17635,16402
17635,16403
17635,16404
17635,16405
17635,16406
17635,16407
17635,16408
17635,16409
17635,16410
17635,16411
17635,16412
17635,16413
17635,16414
17635,16415
17635,16416
17635,16417
17635,16418
17635,16458
17635,16459
17635,16460
17635,16461
17635,16462
17635,16463
17635,16464
17635,16465
17635,16466
17635,16467
17635,16468
17635,16469
17635,16470
17635,16471
17635,16472
17635,16473
17635,16474
17635,16475
17635,16476
17635,16477
17635,16478
17635,16479
17635,16480
17635,16481
17635,16482
17635,16483
17635,16484
17635,16485
17635,16486
17635,16487
17635,16488
17635,16489
17635,16490
17635,16491
17635,16492
17635,16493
17635,16494
17635,16495
17635,16496
17635,16497
17635,16498
17635,16499
17635,16500
17635,16501
17635,16502
17635,16503
17635,16504
17635,16505
17635,16506
17635,16507
17635,16508
17635,16509
17635,16510
17635,16511
17635,16512
17635,16513
17635,16514
17635,16515
17635,16516
17635,16517
17635,16518
17635,16519
17635,16520
17635,16521
17635,16522
17635,16523
17635,16524
17635,16525
17636,16378
17636,16380
17636,16381
17636,16382
17636,16383
17636,16384
17636,16385
17636,16386
17636,16387
17636,16388
17636,16389
17636,16390
17636,16391
17636,16392
17636,16393
17636,16394
17636,16395
17636,16397
17636,16398
17636,16399
17636,16400
17636,16401
17636,16402
17636,16403
17636,16404
17636,16405
17636,16406
17636,16407
17636,16408
17636,16409
17636,16410
17636,16411
17636,16412
17636,16413
17636,16414
17636,16415
17636,16416
17636,16417
17636,16418
17636,16419
17636,16447
17636,16448
17636,16455
17636,16456
17636,16457
17636,16458
17636,16459
17636,16460
17636,16461
17636,16462
17636,16463
17636,16464
17636,16465
17636,16466
17636,16467
17636,16468
17636,16469
17636,16470
17636,16471
17636,16472
17636,16473
17636,16474
17636,16475
17636,16476
17636,16477
17636,16478
17636,16479
17636,16480
17636,16481
17636,16482
17636,16483
17636,16484
17636,16485
17636,16486
17636,16487
17636,16488
17636,16489
17636,16490
17636,16491
17636,16492
17636,16493
17636,16494
17636,16495
17636,16496
17636,16497
17636,16498
17636,16499
17636,16500
17636,16501
17636,16502
17636,16503
17636,16504
17636,16505
17636,16506
17636,16507
17636,16508
17636,16509
17636,16510
17636,16511
17636,16512
17636,16513
17636,16514
17636,16515
