"X","Y"
14838,21882
14838,21883
14839,21881
14839,21882
14839,21883
14839,21884
14839,21885
14839,21886
14839,21887
14839,21888
14839,21889
14839,21890
14839,21891
14839,21892
14839,21893
14839,21894
14839,21895
14839,21896
14839,21897
14839,21898
14839,21899
14839,21900
14839,21901
14839,21902
14839,21903
14839,21904
14839,21905
14839,21906
14839,21907
14839,21908
14839,21909
14839,21910
14839,21911
14839,21912
14839,21913
14840,21880
14840,21881
14840,21882
14840,21883
14840,21884
14840,21885
14840,21886
14840,21887
14840,21888
14840,21889
14840,21890
14840,21891
14840,21892
14840,21893
14840,21894
14840,21895
14840,21896
14840,21897
14840,21898
14840,21899
14840,21900
14840,21901
14840,21902
14840,21903
14840,21904
14840,21905
14840,21906
14840,21907
14840,21908
14840,21909
14840,21910
14840,21911
14840,21912
14840,21913
14840,21914
14840,21915
14840,21916
14840,21917
14840,21918
14840,21919
14840,21920
14840,21921
14840,21922
14840,21923
14840,21924
14840,21925
14840,21926
14840,21927
14840,21928
14840,21929
14840,21930
14840,21931
14840,21932
14840,21933
14840,21934
14840,21935
14840,21936
14840,21937
14840,21938
14841,21879
14841,21880
14841,21881
14841,21882
14841,21883
14841,21884
14841,21885
14841,21886
14841,21887
14841,21888
14841,21889
14841,21890
14841,21891
14841,21892
14841,21893
14841,21894
14841,21895
14841,21896
14841,21897
14841,21898
14841,21899
14841,21900
14841,21901
14841,21902
14841,21903
14841,21904
14841,21905
14841,21906
14841,21907
14841,21908
14841,21909
14841,21910
14841,21911
14841,21912
14841,21913
14841,21914
14841,21915
14841,21916
14841,21917
14841,21918
14841,21919
14841,21920
14841,21921
14841,21922
14841,21923
14841,21924
14841,21925
14841,21926
14841,21927
14841,21928
14841,21929
14841,21930
14841,21931
14841,21932
14841,21933
14841,21934
14841,21935
14841,21936
14841,21937
14841,21938
14841,21939
14842,21872
14842,21873
14842,21874
14842,21875
14842,21876
14842,21877
14842,21878
14842,21879
14842,21880
14842,21881
14842,21882
14842,21883
14842,21884
14842,21885
14842,21886
14842,21887
14842,21888
14842,21889
14842,21890
14842,21891
14842,21892
14842,21893
14842,21894
14842,21895
14842,21896
14842,21897
14842,21898
14842,21899
14842,21900
14842,21901
14842,21902
14842,21903
14842,21904
14842,21905
14842,21906
14842,21907
14842,21908
14842,21909
14842,21910
14842,21911
14842,21912
14842,21913
14842,21914
14842,21915
14842,21916
14842,21917
14842,21918
14842,21919
14842,21920
14842,21921
14842,21922
14842,21923
14842,21924
14842,21925
14842,21926
14842,21927
14842,21928
14842,21929
14842,21930
14842,21931
14842,21932
14842,21933
14842,21934
14842,21935
14842,21936
14842,21937
14842,21938
14842,21939
14842,21940
14843,21869
14843,21870
14843,21871
14843,21872
14843,21873
14843,21874
14843,21875
14843,21876
14843,21877
14843,21878
14843,21879
14843,21880
14843,21881
14843,21882
14843,21883
14843,21884
14843,21885
14843,21886
14843,21887
14843,21888
14843,21889
14843,21890
14843,21891
14843,21892
14843,21893
14843,21894
14843,21895
14843,21896
14843,21897
14843,21898
14843,21899
14843,21900
14843,21901
14843,21902
14843,21903
14843,21904
14843,21905
14843,21906
14843,21907
14843,21908
14843,21909
14843,21910
14843,21911
14843,21912
14843,21913
14843,21914
14843,21915
14843,21916
14843,21917
14843,21918
14843,21919
14843,21920
14843,21921
14843,21922
14843,21923
14843,21924
14843,21925
14843,21926
14843,21927
14843,21928
14843,21929
14843,21930
14843,21931
14843,21932
14843,21933
14843,21934
14843,21935
14843,21936
14843,21937
14843,21938
14843,21939
14843,21940
14843,21941
14844,21867
14844,21868
14844,21869
14844,21870
14844,21871
14844,21872
14844,21873
14844,21874
14844,21875
14844,21876
14844,21877
14844,21878
14844,21879
14844,21880
14844,21881
14844,21882
14844,21883
14844,21884
14844,21885
14844,21886
14844,21887
14844,21888
14844,21889
14844,21890
14844,21891
14844,21892
14844,21893
14844,21894
14844,21895
14844,21896
14844,21897
14844,21898
14844,21899
14844,21900
14844,21901
14844,21902
14844,21903
14844,21904
14844,21905
14844,21906
14844,21907
14844,21908
14844,21909
14844,21910
14844,21911
14844,21912
14844,21913
14844,21914
14844,21915
14844,21916
14844,21917
14844,21918
14844,21919
14844,21920
14844,21921
14844,21922
14844,21923
14844,21924
14844,21925
14844,21926
14844,21927
14844,21928
14844,21929
14844,21930
14844,21931
14844,21932
14844,21933
14844,21934
14844,21935
14844,21936
14844,21937
14844,21938
14844,21939
14844,21940
14844,21941
14844,21942
14845,21865
14845,21866
14845,21867
14845,21868
14845,21869
14845,21870
14845,21871
14845,21872
14845,21873
14845,21874
14845,21875
14845,21876
14845,21877
14845,21878
14845,21879
14845,21880
14845,21881
14845,21882
14845,21883
14845,21884
14845,21885
14845,21886
14845,21887
14845,21888
14845,21889
14845,21890
14845,21891
14845,21892
14845,21893
14845,21894
14845,21895
14845,21896
14845,21897
14845,21898
14845,21899
14845,21900
14845,21901
14845,21902
14845,21903
14845,21904
14845,21905
14845,21906
14845,21907
14845,21908
14845,21909
14845,21910
14845,21911
14845,21912
14845,21913
14845,21914
14845,21915
14845,21916
14845,21917
14845,21918
14845,21919
14845,21920
14845,21921
14845,21922
14845,21923
14845,21924
14845,21925
14845,21926
14845,21927
14845,21928
14845,21929
14845,21930
14845,21931
14845,21932
14845,21933
14845,21934
14845,21935
14845,21936
14845,21937
14845,21938
14845,21939
14845,21940
14845,21941
14845,21942
14845,21943
14846,21862
14846,21863
14846,21864
14846,21865
14846,21866
14846,21867
14846,21868
14846,21869
14846,21870
14846,21871
14846,21872
14846,21873
14846,21874
14846,21875
14846,21876
14846,21877
14846,21878
14846,21879
14846,21880
14846,21881
14846,21882
14846,21883
14846,21884
14846,21885
14846,21886
14846,21887
14846,21888
14846,21889
14846,21890
14846,21891
14846,21892
14846,21893
14846,21894
14846,21895
14846,21896
14846,21897
14846,21898
14846,21899
14846,21900
14846,21901
14846,21902
14846,21903
14846,21904
14846,21905
14846,21906
14846,21907
14846,21908
14846,21909
14846,21910
14846,21911
14846,21912
14846,21913
14846,21914
14846,21915
14846,21916
14846,21917
14846,21918
14846,21919
14846,21920
14846,21921
14846,21922
14846,21923
14846,21924
14846,21925
14846,21926
14846,21927
14846,21928
14846,21929
14846,21930
14846,21931
14846,21932
14846,21933
14846,21934
14846,21935
14846,21936
14846,21937
14846,21938
14846,21939
14846,21940
14846,21941
14846,21942
14847,21857
14847,21861
14847,21862
14847,21863
14847,21864
14847,21865
14847,21866
14847,21867
14847,21868
14847,21869
14847,21870
14847,21871
14847,21872
14847,21873
14847,21874
14847,21875
14847,21876
14847,21877
14847,21878
14847,21879
14847,21880
14847,21881
14847,21882
14847,21883
14847,21884
14847,21885
14847,21886
14847,21887
14847,21888
14847,21889
14847,21890
14847,21891
14847,21892
14847,21893
14847,21894
14847,21895
14847,21896
14847,21897
14847,21898
14847,21899
14847,21900
