"X","Y"
9573,39630
9574,39628
9574,39629
9574,39630
9574,39631
9574,39632
9575,39627
9575,39628
9575,39629
9575,39630
9575,39631
9575,39632
9575,39633
9576,39626
9576,39627
9576,39628
9576,39629
9576,39630
9576,39631
9576,39632
9576,39633
9576,39634
9577,39626
9577,39627
9577,39628
9577,39629
9577,39630
9577,39631
9577,39632
9577,39633
9577,39634
9578,39625
9578,39626
9578,39627
9578,39628
9578,39629
9578,39630
9578,39631
9578,39632
9578,39633
9578,39634
9578,39635
9579,39626
9579,39627
9579,39628
9579,39629
9579,39630
9579,39631
9579,39632
9579,39633
9579,39634
9580,39625
9580,39626
9580,39627
9580,39628
9580,39629
9580,39630
9580,39631
9580,39632
9580,39633
9580,39634
9580,39638
9581,39625
9581,39626
9581,39627
9581,39628
9581,39629
9581,39630
9581,39631
9581,39632
9581,39633
9581,39634
9581,39635
9581,39636
9581,39637
9581,39638
9581,39639
9581,39640
9582,39623
9582,39624
9582,39625
9582,39626
9582,39627
9582,39628
9582,39629
9582,39630
9582,39631
9582,39632
9582,39633
9582,39634
9582,39635
9582,39636
9582,39637
9582,39638
9582,39639
9582,39640
9582,39641
9583,39622
9583,39623
9583,39624
9583,39625
9583,39626
9583,39627
9583,39628
9583,39629
9583,39630
9583,39631
9583,39632
9583,39633
9583,39634
9583,39635
9583,39636
9583,39637
9583,39638
9583,39639
9583,39640
9583,39641
9583,39642
9584,39621
9584,39622
9584,39623
9584,39624
9584,39625
9584,39626
9584,39627
9584,39628
9584,39629
9584,39630
9584,39631
9584,39632
9584,39633
9584,39634
9584,39635
9584,39636
9584,39637
9584,39638
9584,39639
9584,39640
9584,39641
9584,39642
9585,39621
9585,39622
9585,39623
9585,39624
9585,39625
9585,39626
9585,39627
9585,39628
9585,39629
9585,39630
9585,39631
9585,39632
9585,39633
9585,39634
9585,39635
9585,39636
9585,39637
9585,39638
9585,39639
9585,39640
9585,39641
9585,39642
9585,39643
9586,39620
9586,39621
9586,39622
9586,39623
9586,39624
9586,39625
9586,39626
9586,39627
9586,39628
9586,39629
9586,39630
9586,39631
9586,39632
9586,39633
9586,39634
9586,39635
9586,39636
9586,39637
9586,39638
9586,39639
9586,39640
9586,39641
9586,39642
9587,39621
9587,39622
9587,39623
9587,39624
9587,39625
9587,39626
9587,39627
9587,39628
9587,39629
9587,39630
9587,39631
9587,39632
9587,39633
9587,39634
9587,39635
9587,39636
9587,39637
9587,39638
9587,39639
9587,39640
9587,39641
9587,39642
9588,39621
9588,39622
9588,39623
9588,39624
9588,39625
9588,39626
9588,39627
9588,39628
9588,39629
9588,39630
9588,39631
9588,39632
9588,39633
9588,39634
9588,39635
9588,39636
9588,39637
9588,39638
9588,39639
9588,39640
9588,39641
9589,39621
9589,39622
9589,39623
9589,39624
9589,39625
9589,39626
9589,39627
9589,39628
9589,39629
9589,39630
9589,39631
9589,39632
9589,39633
9589,39634
9589,39635
9589,39636
9589,39637
9589,39638
9589,39639
9589,39640
9590,39619
9590,39620
9590,39621
9590,39622
9590,39623
9590,39624
9590,39625
9590,39626
9590,39627
9590,39628
9590,39629
9590,39630
9590,39631
9590,39632
9590,39633
