"Cell","fliC-fliX"
"100_3",17
"101_1",19
"101_2",16
"101_6",8
"102_7",33
"103_14",20
"104_12",27
"104_4",10
"105_1",34
"106_9",20
"107_1",19
"107_13",11
"108_1",12
"108_6",31
"108_9",20
"109_1",29
"109_11",37
"109_18",14
"109_7",14
"110_13",15
"110_2",19
"110_5",23
"111_1",19
"111_5",16
"111_6",19
"111_8",28
"111_9",20
"112_10",24
"112_5",14
"112_8",21
"112_9",22
"113_2",16
"113_3",13
"113_6",18
"114_14",28
"114_2",33
"115_1",19
"115_4",34
"115_5",22
"115_6",17
"115_8",20
"116_1",9
"116_2",31
"116_5",24
"117_11",15
"117_13",32
"117_15",13
"117_7",34
"118_10",17
"118_11",33
"118_4",35
"119_11",14
"119_12",20
"119_2",21
"120_14",13
"120_3",12
"120_9",16
"122_1",14
"122_13",25
"122_15",18
"123_13",19
"123_14",17
"123_3",74
"123_5",27
"123_7",20
"124_6",28
"126_10",12
"127_14",30
"127_7",25
"129_2",15
"13_3",15
"130_1",21
"130_3",10
"132_1",24
"135_5",19
"137_1",20
"138_2",19
"138_4",21
"138_6",12
"139_1",14
"139_15",17
"141_5",27
"141_8",20
"142_13",27
"142_4",29
"143_4",9
"144_2",21
"144_4",23
"145_1",26
"145_7",16
"146_1",27
"146_8",20
"147_11",30
"147_12",11
"147_5",18
"147_6",24
"148_14",12
"148_15",24
"148_2",21
"149_10",23
"149_2",15
"149_4",25
"149_5",21
"149_6",24
"150_2",29
"150_3",9
"151_12",15
"151_13",19
"151_2",21
"151_3",17
"151_7",19
"151_9",29
"152_11",21
"152_12",19
"152_17",13
"152_2",23
"152_6",17
"153_10",14
"153_15",18
"153_3",30
"154_11",18
"154_12",24
"154_2",15
"154_6",15
"154_9",23
"155_10",17
"155_11",34
"155_4",22
"156_8",34
"157_9",27
"158_14",22
"158_3",15
"158_5",27
"159_1",16
"159_13",18
"159_17",24
"159_3",19
"159_4",26
"159_8",13
"162_5",28
"163_2",17
"165_1",19
"165_12",31
"165_13",37
"170_6",15
"171_2",24
"174_5",15
"175_16",14
"182_1",20
"182_11",32
"182_13",39
"182_15",15
"182_2",16
"182_3",21
"183_1",17
"183_11",20
"183_4",27
"183_7",23
"183_8",24
"184_7",17
"184_8",9
"186_1",13
"186_14",17
"186_2",19
"186_5",14
"186_6",14
"186_9",13
"187_2",5
"187_9",21
"188_10",24
"188_11",22
"188_6",15
"188_8",22
"189_10",8
"189_3",14
"189_4",20
"189_7",7
"189_8",16
"190_1",34
"190_3",23
"191_7",15
"192_10",13
"192_9",17
"193_12",34
"193_4",22
"193_6",25
"193_7",12
"194_10",31
"194_4",26
"195_15",23
"197_2",28
"197_7",17
"210_3",13
"211_1",17
"219_10",33
"219_6",15
"220_3",16
"220_6",11
"220_8",17
"221_6",16
"222_1",33
"222_11",9
"222_12",17
"222_8",17
"223_11",23
"223_3",30
"223_5",16
"224_14",28
"224_2",14
"225_1",33
"226_6",15
"226_8",12
"227_5",26
"227_6",23
"228_10",17
"228_14",15
"228_5",15
"228_6",16
"228_7",21
"228_8",29
"228_9",13
"229_1",23
"229_7",14
"23_5",17
"23_9",12
"230_18",26
"230_5",9
"231_1",27
"231_9",17
"232_3",24
"232_7",18
"235_11",17
"235_8",19
"236_15",20
"236_7",23
"237_1",8
"237_10",12
"24_1",15
"24_11",17
"242_1",17
"246_1",38
"246_4",16
"248_10",16
"248_11",16
"25_1",19
"251_3",13
"252_9",22
"254_4",23
"255_11",8
"256_1",29
"256_6",12
"256_8",32
"257_1",22
"257_13",9
"257_5",13
"257_6",8
"257_7",16
"257_8",12
"258_4",10
"259_10",18
"259_7",20
"26_2",10
"26_5",19
"26_7",25
"260_6",20
"261_2",14
"261_9",20
"263_4",17
"264_10",12
"265_10",20
"265_19",24
"265_21",12
"265_6",27
"265_7",29
"266_7",18
"267_2",11
"267_3",17
"267_9",22
"268_4",20
"268_6",19
"269_8",24
"270_10",20
"271_10",14
"271_2",16
"273_1",13
"273_7",16
"274_4",20
"274_9",16
"275_5",6
"275_9",17
"277_2",21
"278_5",13
"28_5",15
"28_6",14
"28_7",21
"280_1",27
